State_Name,SL_No,District_Name,Total_Projects_Outlay,ApprShare_Center,ApprShare_State,ApprShare_Beneficiary,Rof_Center,Rof_State,Rof_Beneficiary,Rof_Total,ExpReported_Center,ExpReported_State,ExpReported_Beneficiary,ExpReported_Total,PO_IHHL_BPL,PO_IHHL_APL,PO_IHHL_TOTAL,PO_SCW,PO_School_Toilets,PO_Anganwadi_Toilets,PO_RSM,PO_PC,PP_IHHL_BPL,PP_IHHL_APL,PP_IHHL_TOTAL,PP_SCW,PP_School_Toilets,PP_Anganwadi_Toilets,PP_RSM,PP_PC,BPL_Appr.(C+S+B),BPL_Exp.(C+S+B),BPL_(%)_age,School_Appr.(C+S+B),School_Exp.(C+S+B),School_(%)_age,Anganwadi_Appr.(C+S+B),Anganwadi_Exp.(C+S+B),Anganwadi_(%)_age,Sanitary_Complex_Appr.(C+S+B),Sanitary_Complex_Exp.(C+S+B),Sanitary_Complex_(%)_age,IHHL_Objective_BPL,IHHL_Objective_APL,IHHL_Objective_Total,IHHL_BPL_Ach_Total_BPL,IHHL_BPL_Ach_SC,IHHL_BPL_Ach_ST,IHHL_BPL_Ach_General,IHHL_BPL_Ach_PH,IHHL_BPL_Ach_%_SC_ST,IHHL_APL_Ach_Total_APL,IHHL_APL_Ach_SC,IHHL_APL_Ach_ST,IHHL_APL_Ach_Small_Marginal_Farmers,IHHL_APL_Ach_Landless_Labourers,IHHL_APL_Ach_PH,IHHL_APL_Ach_Women_Headed_Households,IHHL_Total,Rural_Households
ANDHRA PRADESH,16,PRAKASAM,11629.20,7674.58,2891.99,1062.63,4617.50,1000.81,199.74,5818.05,3489.05,999.93,198.88,4687.86,386617,193493,580110,0,7224,780,10,0,309463,143279,452742,0,7234,770,41,0,8947.35,3178.91,35.53,1540.80,1148.94,74.57,43.66,8.49,19.45,0.00,0.00,0.00,386617,193493,580110,309463,56340,19428,233695,0,24.48,143279,0,0,0,0,0,0,452742,692542
ANDHRA PRADESH,17,RANGAREDDI,5820.64,3846.08,1396.59,577.97,2979.96,1594.80,142.82,4717.58,1864.39,1590.10,128.32,3582.81,212629,71610,284239,0,3726,467,10,0,180554,69147,249701,0,3726,467,10,0,3911.58,2597.35,66.40,783.00,458.23,58.52,26.77,19.54,72.99,0.00,0.00,0.00,212629,71610,284239,180554,31488,10421,138645,0,23.21,69147,0,0,0,0,0,0,249701,352247
ANDHRA PRADESH,18,SRIKAKULAM,11000.93,7286.19,2778.43,936.31,3235.39,1183.51,113.87,4532.77,1952.98,871.57,113.86,2938.40,302221,225272,527493,40,6398,266,10,0,130836,82270,213106,16,5712,128,38,3,8143.71,1927.71,23.67,1553.36,742.35,47.79,18.49,2.53,13.68,80.00,10.88,13.60,302221,225272,527493,130836,13701,9502,103832,0,17.73,82270,0,0,0,0,0,0,213106,580048
ANDHRA PRADESH,19,VISAKHAPATNAM,7601.64,5006.22,1857.77,737.65,3547.35,3980.80,432.83,7960.98,1718.58,3086.87,399.24,5204.68,252875,156460,409335,20,5074,0,10,0,180129,75765,255894,20,6378,605,0,0,5244.76,3694.94,70.45,1014.80,1117.55,100.00,30.25,16.87,55.77,40.00,43.52,100.00,252875,156460,409335,180129,17088,21961,139721,0,21.68,75765,0,0,0,0,0,0,255894,583474
ANDHRA PRADESH,20,VIZIANAGARAM,5074.86,3369.99,1205.77,499.10,2012.02,855.89,315.26,3183.17,1345.44,843.78,257.41,2446.64,220051,245678,465729,10,2999,1668,10,0,166966,159984,326950,8,3368,350,12,0,3307.45,1622.45,49.05,599.80,470.54,78.45,129.33,7.35,5.68,20.00,13.91,69.55,220051,245678,465729,166966,24357,10388,130242,0,20.81,159984,0,0,0,0,0,0,326950,475145
ANDHRA PRADESH,21,WARANGAL,6027.11,3819.19,1309.33,898.59,2488.92,1044.29,184.76,3717.97,1540.37,556.45,184.76,2281.57,330260,138180,468440,0,4122,2157,10,0,359732,345450,705182,0,4122,507,0,0,3929.91,1160.33,29.53,870.60,809.92,93.03,168.49,23.76,14.10,0.00,0.00,0.00,330260,138180,468440,359732,30645,15980,113831,0,12.96,345450,0,0,0,0,0,0,705182,652254
ANDHRA PRADESH,22,WEST GODAVARI,9050.90,5877.01,2264.52,909.37,4280.96,5850.00,1148.58,11279.54,3769.11,5440.15,1123.37,10332.63,344272,294425,638697,385,4551,216,10,0,319797,294425,614222,837,4716,501,97,0,5595.99,7955.84,100.00,1209.60,1366.41,100.00,19.26,14.58,75.70,281.05,498.54,100.00,344272,294425,638697,319797,108175,14026,185733,0,38.21,294425,100,20,0,0,0,0,614222,870607
ARUNACHAL PRADESH,1,ANJAW,177.73,124.04,40.39,13.30,93.46,46.78,0.00,140.24,55.56,29.24,0.00,84.80,3232,0,3232,8,44,46,1,0,1490,0,1490,2,48,48,0,0,117.93,52.14,44.21,8.80,13.60,100.00,2.60,1.95,75.00,16.00,1.60,10.0,3232,0,3232,1490,0,1490,0,0,100.00,0,0,0,0,0,0,0,1490,4060
ARUNACHAL PRADESH,2,CHANGLANG,842.74,590.62,191.87,60.25,446.15,96.22,38.47,580.84,322.16,83.15,38.47,443.78,15716,2799,18515,25,384,250,0,0,7295,2450,9745,24,384,228,1,0,548.48,226.85,41.36,76.80,76.80,100,17.96,22.60,100.00,50.00,46.80,93.60,15716,2799,18515,7295,0,7181,114,0,98.44,2450,0,2450,0,0,0,0,9745,24444
ARUNACHAL PRADESH,3,DIBANG VALLEY,90.02,63.88,21.47,4.67,58.87,24.62,4.16,87.65,37.45,12.45,3.58,53.48,1085,0,1085,0,102,27,0,0,1088,0,1088,0,40,10,0,0,34.86,32.64,93.63,32.98,10.80,32.75,2.22,0.00,0.00,0.00,0.00,0.00,1085,0,1085,1088,0,1088,0,0,100.00,0,0,0,0,0,0,0,1088,1297
ARUNACHAL PRADESH,4,EAST KAMENG,440.35,306.80,102.83,30.72,266.78,92.23,8.84,367.85,185.21,43.96,8.84,238.01,7016,1280,8296,25,288,216,0,0,5576,1280,6856,2,288,216,0,0,221.03,92.82,41.99,57.60,90.30,100.00,18.00,5.32,29.56,50.00,2.00,4.00,7016,1280,8296,5576,0,5576,0,0,100.00,1280,0,0,0,0,0,0,6856,11078
ARUNACHAL PRADESH,5,EAST SIANG,457.78,311.35,113.17,33.26,267.43,112.25,0.00,379.68,184.00,68.46,0.00,252.46,8222,4723,12945,25,244,42,6,0,4537,1718,6255,4,244,50,0,0,294.88,162.61,55.14,48.80,47.10,96.52,2.10,1.83,87.14,50.00,7.67,15.34,8222,4723,12945,4537,0,4537,0,0,100.00,1718,0,1680,0,0,0,0,6255,12904
ARUNACHAL PRADESH,6,KURUNG KUMEY,1306.32,919.89,303.61,82.82,680.65,121.83,0.00,802.48,448.99,47.84,0.00,496.84,22036,0,22036,30,684,164,0,0,11671,0,11671,3,684,164,0,0,819.12,255.83,31.23,196.56,136.80,69.60,8.20,8.20,100,60.00,3.60,6.00,22036,0,22036,11671,0,783,0,0,6.71,0,0,0,0,0,0,0,11671,15417
