State_Name,District_Name,Center_Release_of_funds,State_Release_of_funds,Beneficiary_Release_of_funds,Total_Release_of_funds,Center_Expenditure_Reported,State_Expenditure_Reported,Beneficiary_Expenditure_Reported,Total_Expenditure_Reported
ASSAM,LAKHIMPUR,2007.79,393.74,101.48,2503.01,1771.52,377.93,101.48,2250.93
ASSAM,MARIGAON,1178.34,217.59,144.68,1540.61,1110.01,217.59,142.38,1469.98
ASSAM,NAGAON,4478.82,758.00,481.70,5718.52,3880.30,756.03,378.69,5015.02
ASSAM,NALBARI,1858.97,337.55,78.35,2274.87,889.72,246.74,78.35,1214.81
ASSAM,NORTH CACHAR HILLS,502.17,0.00,16.19,518.36,103.50,0.00,16.19,119.69
ASSAM,SIBSAGAR,2101.24,449.78,163.41,2714.43,1856.97,449.78,162.51,2469.26
ASSAM,SONITPUR,3113.68,538.30,242.92,3894.90,2941.55,537.95,242.92,3722.43
ASSAM,TINSUKIA,1687.92,444.17,35.92,2168.01,1057.56,408.66,33.93,1500.15
ASSAM,UDALGURI,2400.11,459.95,154.31,3014.37,1638.05,441.22,154.31,2233.58
BIHAR,ARARIA,1562.53,500.93,109.25,2172.71,1117.70,494.35,85.25,1697.29
BIHAR,ARWAL,904.46,276.60,0.00,1181.06,733.31,272.81,0.00,1006.12
BIHAR,AURANGABAD,2431.36,574.73,68.26,3074.34,1537.82,570.25,68.26,2176.32
BIHAR,BANKA,1432.13,670.14,360.35,2462.62,982.33,566.03,289.14,1837.50
BIHAR,BEGUSARAI,3870.43,1154.61,137.41,5162.45,3243.59,1033.57,136.77,4413.94
BIHAR,BHAGALPUR,2721.47,1263.77,246.34,4231.58,2318.14,884.86,246.34,3449.34
BIHAR,BHOJPUR,2841.12,813.95,119.44,3774.51,2225.16,813.95,118.96,3158.08
BIHAR,BUXAR,1477.14,450.43,9.48,1937.05,1388.69,426.69,4.42,1819.81
BIHAR,DARBHANGA,5487.27,1360.70,203.94,7051.91,2967.01,1047.18,203.94,4218.13
BIHAR,GAYA,4776.54,1373.80,316.48,6466.82,2149.90,1022.89,306.39,3479.19
BIHAR,GOPALGANJ,2569.84,762.90,8.72,3341.46,1820.88,648.19,8.72,2477.78
BIHAR,JAMUI,1951.33,509.11,14.89,2475.33,1436.92,508.14,14.89,1959.95
BIHAR,JEHANABAD,1012.79,430.09,0.00,1442.88,734.52,383.70,0.00,1118.22
BIHAR,KAIMUR(BHABUA),1467.95,460.06,66.83,1994.84,1125.76,454.24,66.83,1646.83
BIHAR,KATIHAR,5224.26,1370.22,629.13,7223.62,3581.91,1285.23,623.18,5490.33
BIHAR,KHAGARIA,2210.38,721.80,135.12,3067.30,1417.48,523.42,135.12,2076.01
BIHAR,KISHANGANJ,1630.70,608.77,251.32,2490.79,1528.08,551.14,251.32,2330.54
BIHAR,LAKHISARAI,1390.93,397.39,0.00,1788.32,1208.09,397.38,0.00,1605.47
BIHAR,MADHEPURA,3181.47,766.88,5.18,3953.52,1808.52,743.06,5.18,2556.75
BIHAR,MADHUBANI,1684.73,729.24,135.40,2549.37,1554.53,724.30,135.40,2414.22
BIHAR,MUNGER,1438.29,374.37,37.80,1850.46,614.32,291.43,37.80,943.55
BIHAR,MUZAFFARPUR,6703.90,1942.10,112.36,8758.36,5638.22,1760.37,105.77,7504.36
BIHAR,NALANDA,2824.11,813.64,265.77,3903.52,1497.77,761.94,140.25,2399.96
BIHAR,NAWADA,2855.15,634.00,8.21,3497.36,1431.37,630.94,8.21,2070.52
BIHAR,PASHCHIM CHAMPARAN,3757.00,1088.76,0.00,4845.76,2368.41,1040.82,0.00,3409.23
BIHAR,PATNA,5880.32,1532.46,66.62,7479.40,3806.58,1293.54,64.90,5165.02
BIHAR,PURBA CHAMPARAN,4837.09,1139.43,25.88,6002.40,3203.96,1138.19,25.88,4368.02
BIHAR,PURNIA,4165.92,1036.47,324.49,5526.88,3259.23,1033.90,324.49,4617.61
BIHAR,SAHARSA,2433.79,829.23,25.67,3288.69,1876.18,657.50,25.67,2559.35
BIHAR,SAMASTIPUR,5459.92,1283.72,385.76,7129.40,4726.66,1253.61,385.76,6366.03
BIHAR,SARAN,5048.68,1260.47,0.27,6309.42,3120.86,1123.30,0.00,4244.16
BIHAR,SASARAM(ROHTAS),2950.00,865.79,0.00,3815.79,2094.25,865.79,0.00,2960.04
BIHAR,SHEIKHPURA,1295.09,408.50,0.40,1703.99,796.65,312.47,0.40,1109.52
BIHAR,SHEOHAR,928.03,260.80,38.90,1227.73,927.76,260.80,28.40,1216.96
BIHAR,SITAMARHI,2359.00,640.48,0.00,2999.48,1966.62,624.35,0.00,2590.97
BIHAR,SIWAN,3818.76,986.25,24.57,4829.58,3242.32,891.11,24.57,4158.00
BIHAR,SUPAUL,2618.37,621.28,41.08,3280.73,1644.59,565.99,41.08,2251.66
BIHAR,VAISHALI,3926.00,1498.12,138.00,5562.12,3513.19,1424.27,138.00,5075.45
CHHATTISGARH,BASTAR(JAGDALPUR),2926.06,1557.10,1.60,4484.76,2358.72,1304.07,0.00,3662.79
CHHATTISGARH,BILASPUR,4319.00,1559.90,334.29,6213.19,2999.26,1341.06,334.29,4674.61
CHHATTISGARH,DANTEWADA,1720.32,861.12,172.63,2754.07,1278.02,717.44,172.63,2168.10
CHHATTISGARH,DHAMTARI,997.70,358.79,96.16,1452.65,757.16,260.24,96.16,1113.56
CHHATTISGARH,DURG,1798.18,1247.11,279.00,3324.29,1402.69,728.78,278.87,2410.34
CHHATTISGARH,JANJGIR - CHAMPA,2247.23,1174.32,325.92,3747.47,1627.10,692.93,203.61,2523.64
CHHATTISGARH,JASHPUR,1589.05,683.99,78.25,2351.29,1446.55,604.88,78.19,2129.62
CHHATTISGARH,KANKER,1286.76,562.27,133.76,1982.79,1288.85,475.85,111.60,1876.30
CHHATTISGARH,KAWARDHA(KABIRDHAM),991.20,504.44,0.00,1495.64,693.28,504.32,0.00,1197.60
CHHATTISGARH,KORBA,1478.97,658.45,224.27,2361.69,1216.74,493.20,224.26,1934.20
CHHATTISGARH,KORIYA,1118.12,479.41,95.83,1693.36,791.29,409.27,94.55,1295.12
CHHATTISGARH,MAHASAMUND,2134.21,962.23,216.65,3313.09,1237.41,445.09,216.65,1899.15
CHHATTISGARH,RAIGARH,2368.80,873.74,255.54,3498.08,2165.49,786.13,220.04,3171.66
CHHATTISGARH,RAIPUR,3418.80,1366.08,0.00,4784.88,2486.16,1326.56,0.00,3812.72
CHHATTISGARH,RAJNANDGAON,2414.56,1869.45,145.24,4429.25,2378.80,1040.24,101.17,3520.21
CHHATTISGARH,SURGUJA,3271.21,1441.53,441.42,5154.16,2514.70,913.88,441.41,3869.99
D & N HAVELI,DADRA AND NAGAR HAVELI,3.15,0.00,0.00,3.15,1.67,0.00,0.00,1.67
GOA,NORTH GOA,124.67,112.86,0.00,237.53,149.93,97.97,0.00,247.90
GOA,SOUTH GOA,47.65,0.00,0.00,47.65,0.00,0.00,0.00,0.00
