State_Name,District_Name,Center_Release_of_funds,State_Release_of_funds,Beneficiary_Release_of_funds,Total_Release_of_funds,Center_Expenditure_Reported,State_Expenditure_Reported,Beneficiary_Expenditure_Reported,Total_Expenditure_Reported
KERALA,PATHANAMTHITTA,496.59,325.94,397.43,1219.96,557.12,282.08,378.39,1217.59
KERALA,THIRUVANANTHAPURAM,1174.77,385.20,1323.18,2883.15,1195.91,385.14,382.88,1963.93
KERALA,THRISSUR,658.62,344.45,639.15,1642.22,647.52,262.35,555.14,1465.01
KERALA,WAYANAD,656.39,219.77,121.64,997.80,626.43,219.70,121.64,967.77
MADHYA PRADESH,ALIRAJPUR,775.06,244.26,116.42,1135.74,760.32,244.26,72.99,1077.57
MADHYA PRADESH,ANUPPUR,563.28,284.40,125.33,973.01,719.31,284.18,103.72,1107.21
MADHYA PRADESH,ASHOKNAGAR,1142.40,454.60,245.83,1842.83,1090.37,454.60,129.40,1674.37
MADHYA PRADESH,BALAGHAT,3791.64,1289.49,233.49,5314.62,3735.60,1227.76,231.86,5195.22
MADHYA PRADESH,BARWANI,2160.67,824.98,85.95,3071.60,2160.45,818.56,85.49,3064.50
MADHYA PRADESH,BETUL,1231.67,450.10,261.08,1942.85,1239.35,450.10,153.93,1843.37
MADHYA PRADESH,BHIND,1105.29,386.03,110.04,1601.36,1052.11,384.81,3.91,1440.83
MADHYA PRADESH,BHOPAL,527.37,182.21,47.40,756.98,560.33,182.21,47.40,789.94
MADHYA PRADESH,BURHANPUR,1101.91,400.69,189.52,1692.12,1080.56,381.93,125.00,1587.48
MADHYA PRADESH,CHHATARPUR,2350.16,853.68,132.53,3336.37,1683.39,724.05,130.83,2538.28
MADHYA PRADESH,CHHINDWARA,3627.24,1274.70,340.70,5242.64,3551.54,1120.80,322.35,4994.69
MADHYA PRADESH,DAMOH,2595.95,888.48,207.34,3691.77,1938.60,655.84,196.38,2790.82
MADHYA PRADESH,DATIA,743.65,264.08,27.43,1035.16,727.06,263.53,27.43,1018.02
MADHYA PRADESH,DEWAS,1523.70,497.40,123.97,2145.07,1508.74,494.51,123.97,2127.22
MADHYA PRADESH,DHAR,2412.11,1167.02,396.09,3975.23,2520.85,1167.02,430.74,4118.62
MADHYA PRADESH,DINDORI,1715.87,587.17,966.26,3269.30,1756.03,586.15,346.27,2688.45
MADHYA PRADESH,GUNA,1944.13,568.95,451.13,2964.21,1283.88,387.35,177.26,1848.49
MADHYA PRADESH,GWALIOR,976.96,352.14,121.69,1450.79,1130.16,352.14,121.69,1603.99
MADHYA PRADESH,HARDA,800.25,268.29,128.07,1196.61,828.04,244.50,101.26,1173.80
MADHYA PRADESH,HOSHANGABAD,968.86,349.07,192.01,1509.94,1083.03,349.04,172.73,1604.80
MADHYA PRADESH,INDORE,1105.24,393.02,23.15,1521.41,1197.84,393.02,23.15,1614.01
MADHYA PRADESH,JABALPUR,1927.52,778.14,403.10,3108.76,1972.47,726.84,403.10,3102.42
MADHYA PRADESH,JHABUA,1703.99,608.78,148.65,2461.42,1868.58,585.54,130.98,2585.10
MADHYA PRADESH,KATNI,1408.17,575.00,8.17,1991.34,1564.83,530.04,0.09,2094.96
MADHYA PRADESH,KHANDWA(EAST NIMAR),1849.86,670.79,211.11,2731.76,1528.38,632.56,188.20,2349.14
MADHYA PRADESH,KHARGONE,2619.18,969.99,179.65,3768.82,2464.39,977.54,187.48,3629.41
MADHYA PRADESH,MANDLA,2306.71,928.75,398.73,3634.20,2158.34,666.08,368.00,3192.41
MADHYA PRADESH,MANDSAUR,1033.51,352.28,217.94,1603.73,1210.62,351.43,187.30,1749.35
MADHYA PRADESH,MORENA,1049.66,542.53,153.82,1746.01,1306.80,488.23,141.84,1936.86
MADHYA PRADESH,NARSINGHPUR,1518.58,527.84,239.33,2285.75,1505.81,527.84,238.53,2272.18
MADHYA PRADESH,NEEMUCH,913.41,311.31,97.93,1322.65,910.58,306.36,60.84,1277.78
MADHYA PRADESH,PANNA,3693.01,1226.97,490.77,5410.75,2535.69,1034.12,482.72,4052.53
MADHYA PRADESH,RAISEN,2075.71,752.69,592.27,3420.67,1810.26,661.74,302.89,2774.89
MADHYA PRADESH,RAJGARH,2322.07,852.12,2618.95,5793.14,2324.50,816.29,279.99,3420.78
MADHYA PRADESH,RATLAM,1198.10,412.09,210.58,1820.77,1188.91,403.31,210.58,1802.79
MADHYA PRADESH,REWA,4034.57,1664.90,1038.18,6737.65,3799.23,1661.35,1032.17,6492.74
MADHYA PRADESH,SAGAR,4902.12,1820.06,793.17,7515.35,3306.60,1312.10,394.74,5013.44
MADHYA PRADESH,SATNA,4998.51,1863.10,558.41,7420.02,4661.14,1656.26,505.37,6822.77
MADHYA PRADESH,SEHORE,1286.75,354.84,130.33,1771.92,1611.62,352.42,124.84,2088.88
MADHYA PRADESH,SEONI,2283.17,749.23,792.80,3825.20,2198.99,749.23,269.58,3217.80
MADHYA PRADESH,SHAHDOL,1963.65,661.07,288.03,2912.75,1413.61,601.33,226.58,2241.52
MADHYA PRADESH,SHAJAPUR,1966.37,669.43,269.31,2905.11,1779.32,643.81,269.31,2692.45
MADHYA PRADESH,SHEOPUR,652.54,152.50,49.04,854.08,783.16,144.54,31.55,959.25
MADHYA PRADESH,SHIVPURI,1940.32,654.99,241.03,2836.34,1593.25,623.17,185.15,2401.56
MADHYA PRADESH,SIDHI,2999.35,1127.72,482.03,4609.10,1967.84,871.82,365.58,3205.24
MADHYA PRADESH,SINGRAULI,1394.18,689.72,1299.44,3383.34,1299.55,621.83,0.00,1921.38
MADHYA PRADESH,TIKAMGARH,2808.40,717.59,188.85,3714.84,1817.04,644.22,184.32,2645.58
MADHYA PRADESH,UJJAIN,2311.65,792.31,558.85,3662.81,2159.97,732.43,270.58,3162.99
MADHYA PRADESH,UMARIA,1493.92,434.49,117.98,2046.39,1440.75,433.65,100.44,1974.84
MADHYA PRADESH,VIDISHA,2705.81,780.92,383.53,3870.26,2403.49,762.38,366.08,3531.95
MAHARASHTRA,AHMEDNAGAR,2341.59,1186.81,193.90,3722.30,2349.11,967.84,192.29,3509.24
MAHARASHTRA,AKOLA,938.04,942.72,42.98,1923.74,860.36,517.69,42.98,1421.03
MAHARASHTRA,AMRAVATI,2871.04,1041.91,450.35,4363.30,1988.27,885.65,307.98,3181.90
MAHARASHTRA,AURANGABAD,2240.18,1192.08,522.25,3954.51,1550.67,802.25,249.68,2602.60
MAHARASHTRA,BEED,1881.64,981.03,221.59,3084.26,1748.73,770.63,193.25,2712.61
MAHARASHTRA,BHANDARA,1498.05,706.90,217.67,2422.62,1268.49,511.27,134.82,1914.58
MAHARASHTRA,BULDHANA,2544.43,882.27,218.01,3644.71,2024.87,804.94,200.45,3030.26
MAHARASHTRA,CHANDRAPUR,2214.06,1662.34,2389.80,6266.20,1884.74,807.50,360.86,3053.10
MAHARASHTRA,DHULE,1744.71,674.27,108.65,2527.63,904.97,447.85,108.58,1461.40
MAHARASHTRA,GADCHIROLI,1272.49,869.30,38.07,2179.86,1567.21,525.24,13.77,2106.22
MAHARASHTRA,GONDIA,1652.08,1059.12,75.01,2786.21,1761.92,630.62,60.17,2452.71
MAHARASHTRA,HINGOLI,1408.34,724.28,183.44,2316.06,1559.64,454.74,153.06,2167.44
MAHARASHTRA,JALGAON,4337.86,1263.13,489.41,6090.40,3189.81,1148.41,488.76,4826.97
MAHARASHTRA,JALNA,1537.24,849.09,243.95,2630.28,1243.36,467.28,243.95,1954.59
MAHARASHTRA,KOLHAPUR,1663.54,668.99,177.07,2509.60,1367.63,629.46,177.07,2174.16
MAHARASHTRA,LATUR,1690.04,376.56,55.86,2122.46,1328.31,376.56,50.61,1755.48
MAHARASHTRA,NAGPUR,1810.27,975.09,242.68,3028.04,1431.22,958.01,242.28,2631.51
MAHARASHTRA,NANDED,2419.23,1043.85,349.11,3812.19,2114.99,903.17,311.98,3330.14
MAHARASHTRA,NANDURBAR,2558.15,1253.50,240.13,4051.77,1799.21,877.87,229.21,2906.28
MAHARASHTRA,NASHIK,2151.35,753.85,426.61,3331.81,1706.67,634.95,426.61,2768.23
MAHARASHTRA,OSMANABAD,976.58,513.83,242.98,1733.39,828.72,405.17,125.67,1359.56
MAHARASHTRA,PARBHANI,903.75,421.91,88.42,1414.08,761.27,308.65,88.25,1158.17
MAHARASHTRA,PUNE,2452.69,1270.51,310.81,4034.01,2476.54,1263.76,305.74,4046.04
MAHARASHTRA,RAIGAD,3357.00,1280.68,3526.42,8164.10,2949.40,1250.52,3525.71,7725.63
MAHARASHTRA,RATNAGIRI,1562.56,823.74,335.10,2721.40,1522.85,748.39,315.24,2586.48
MAHARASHTRA,SANGLI,2300.93,787.94,186.50,3275.37,1808.70,771.98,186.50,2767.18
MAHARASHTRA,SATARA,3280.42,1224.93,249.20,4754.55,2948.66,1112.20,249.20,4310.06
MAHARASHTRA,SINDHUDURG,1160.12,502.92,342.40,2005.44,1156.45,477.20,342.40,1976.05
MAHARASHTRA,SOLAPUR,2917.76,1074.55,259.39,4251.70,1905.13,692.08,220.67,2817.88
MAHARASHTRA,THANE,4219.98,1606.44,592.39,6418.81,3942.82,1426.00,589.10,5957.92
MAHARASHTRA,WARDHA,1181.56,492.86,96.82,1771.24,1288.42,485.18,96.82,1870.43
MAHARASHTRA,WASHIM,1250.89,714.66,76.66,2042.21,917.07,627.05,64.25,1608.37
MAHARASHTRA,YAVATMAL,2321.92,1467.18,184.27,3973.37,2689.76,1150.03,183.67,4023.46
MANIPUR,BISHNUPUR,446.46,115.05,19.51,581.02,364.85,115.05,19.51,499.41
MANIPUR,CHANDEL,657.49,96.00,36.00,789.49,459.01,96.00,36.00,591.01
MANIPUR,CHURACHANDPUR,1201.60,110.00,57.00,1368.60,737.00,110.00,57.00,904.00
MANIPUR,IMPHAL EAST,641.74,167.42,37.08,846.24,484.22,139.87,37.08,661.17
MANIPUR,IMPHAL WEST,598.93,129.35,16.13,744.41,298.17,113.42,16.13,427.72
MANIPUR,SENAPATI,1468.05,146.00,57.39,1671.44,893.41,143.26,57.39,1094.05
MANIPUR,TAMENGLONG,565.04,96.00,42.31,703.35,436.18,96.00,42.31,574.49
MANIPUR,THOUBAL,872.35,135.88,521.85,1530.08,537.12,135.01,62.87,734.99
MANIPUR,UKHRUL,493.95,49.13,2.99,546.07,157.48,30.33,2.99,190.80
MEGHALAYA,EAST GARO HILLS,1355.15,448.73,15.48,1819.36,1293.24,335.08,15.00,1643.32
MEGHALAYA,EAST KHASI HILLS,1957.65,583.62,99.39,2640.66,1770.11,482.17,86.26,2338.55
MEGHALAYA,JAINTIA HILLS,1141.78,325.45,37.17,1504.40,747.52,296.13,37.17,1080.82
MEGHALAYA,RI BHOI,1074.04,361.33,17.81,1453.17,884.91,308.81,14.89,1208.61
MEGHALAYA,SOUTH GARO HILLS,858.26,282.12,0.00,1140.38,542.34,244.95,0.00,787.29
MEGHALAYA,WEST GARO HILLS,1669.52,660.18,0.00,2329.70,1487.61,581.80,0.00,2069.41
MEGHALAYA,WEST KHASI HILLS,1506.47,473.33,1110.33,3090.13,1060.41,447.55,21.26,1529.22
MIZORAM,AIZAWL,573.27,155.74,60.82,789.83,531.04,125.30,60.82,717.16
MIZORAM,CHAMPHAI,554.50,146.09,51.96,752.55,510.83,131.11,51.96,693.90
MIZORAM,KOLASIB,279.27,71.19,28.79,379.25,243.33,68.58,28.79,340.70
MIZORAM,LAWNGTLAI,573.81,141.40,58.84,774.05,474.25,135.42,58.83,668.51
MIZORAM,LUNGLEI,652.04,162.52,73.09,887.65,536.41,162.46,73.09,771.96
MIZORAM,MAMIT,336.43,94.08,30.53,461.04,277.91,63.25,30.53,371.70
MIZORAM,SAIHA,228.33,46.68,18.18,293.19,199.88,46.56,18.18,264.62
MIZORAM,SERCHHIP,203.31,50.08,28.35,281.74,162.43,43.45,28.35,234.23
NAGALAND,DIMAPUR,862.44,179.22,9.73,1051.39,661.67,178.37,9.73,849.78
NAGALAND,KIPHIRE,553.82,0.00,0.00,553.82,10.00,0.00,0.00,10.00
NAGALAND,KOHIMA,506.55,138.23,36.44,681.22,453.80,138.22,36.44,628.46
NAGALAND,LONGLENG,232.30,0.00,0.00,232.30,10.00,0.00,0.00,10.00
NAGALAND,MOKOKCHUNG,355.89,87.39,15.53,458.81,283.72,86.79,15.05,385.56
NAGALAND,MON,653.49,95.75,16.40,765.64,393.95,92.09,16.40,502.44
NAGALAND,PEREN,275.18,68.13,13.83,357.14,245.91,68.13,13.83,327.87
NAGALAND,PHEK,505.50,149.45,32.06,687.01,449.05,149.45,30.28,628.77
NAGALAND,TUENSANG,393.34,120.56,14.11,528.01,296.54,119.41,12.84,428.78
NAGALAND,WOKHA,355.27,60.05,10.46,425.78,198.58,60.02,10.46,269.07
NAGALAND,ZUNHEBOTO,725.30,134.17,27.22,886.69,602.12,134.16,27.22,763.50
ORISSA,ANGUL,1615.06,581.98,114.22,2311.26,899.52,345.90,114.22,1359.64
ORISSA,BALANGIR,1825.45,670.97,249.48,2745.90,1460.64,614.50,241.64,2316.79
ORISSA,BALESWAR,3060.77,1082.21,463.73,4606.71,2541.54,982.86,463.73,3988.14
ORISSA,BARGARH,2061.41,829.77,376.78,3267.96,1575.14,542.93,370.03,2488.10
ORISSA,BHADRAK,1563.71,562.43,153.13,2279.27,824.48,312.75,153.13,1290.36
ORISSA,BOUDH,989.22,356.86,120.31,1466.39,755.05,299.06,120.30,1174.41
ORISSA,CUTTACK,2287.38,818.86,366.03,3472.27,1816.71,659.21,330.20,2806.12
ORISSA,DEBAGARH,507.81,194.96,40.22,742.99,344.54,131.48,40.09,516.11
ORISSA,DHENKANAL,1778.28,642.21,110.26,2530.75,911.43,330.68,110.26,1352.36
ORISSA,GAJAPATI,1157.95,390.47,117.47,1665.89,779.65,359.88,115.42,1254.95
ORISSA,GANJAM,2981.33,1153.01,383.96,4518.30,2173.19,735.61,383.96,3292.76
ORISSA,JAGATSINGHAPUR,1490.68,527.54,219.78,2238.00,1054.33,457.22,154.06,1665.62
ORISSA,JAJAPUR,1765.91,662.45,225.90,2654.26,1252.58,503.13,225.90,1981.61
ORISSA,JHARSUGUDA,646.34,229.64,18.96,894.94,411.75,185.58,18.96,616.28
ORISSA,KALAHANDI,1725.54,631.61,47.28,2404.43,1299.87,515.08,47.12,1862.07
ORISSA,KANDHAMAL,960.28,380.35,96.47,1437.10,804.28,255.40,86.93,1146.62
ORISSA,KENDRAPARA,1790.54,646.19,174.41,2611.14,1304.87,479.23,174.41,1958.51
ORISSA,KENDUJHAR,2517.79,939.67,148.99,3606.45,1738.72,715.86,148.99,2603.57
ORISSA,KHORDHA,1775.64,636.16,178.64,2590.44,890.75,316.94,178.64,1386.33
ORISSA,KORAPUT,2769.12,1020.50,248.33,4037.95,1350.43,527.88,236.13,2114.44
ORISSA,MALKANGIRI,1399.30,505.34,113.87,2018.51,789.59,304.10,113.86,1207.56
ORISSA,MAYURBHANJ,3254.89,1182.59,534.84,4972.32,3093.27,1180.76,534.11,4808.13
ORISSA,NABARANGAPUR,1265.99,470.11,38.52,1774.62,943.89,330.57,38.52,1312.98
ORISSA,NAYAGARH,1866.22,666.45,181.24,2713.91,1161.57,464.21,181.24,1807.03
ORISSA,NUAPADA,869.25,347.34,46.83,1263.42,780.24,258.87,46.83,1085.93
ORISSA,PURI,2324.50,828.99,268.64,3422.13,1403.67,535.90,268.64,2208.22
ORISSA,RAYAGADA,1286.37,470.83,55.98,1813.18,817.45,330.25,55.98,1203.68
ORISSA,SAMBALPUR,1011.98,362.69,83.95,1458.62,726.55,280.82,83.07,1090.44
ORISSA,SONEPUR,848.63,320.84,137.13,1306.60,610.30,242.07,136.61,988.99
ORISSA,SUNDARGARH,2279.58,836.66,282.64,3398.88,1456.67,541.41,284.80,2282.87
PUDUCHERRY,PONDICHERRY,94.84,0.00,0.00,94.84,79.07,0.00,0.00,79.07
PUNJAB,AMRITSAR,415.36,112.84,0.00,528.20,260.17,102.28,0.00,362.45
PUNJAB,BARNALA,107.58,0.00,0.00,107.58,42.03,0.00,0.00,42.03
PUNJAB,BATHINDA,409.39,112.64,16.94,538.97,145.77,71.70,16.80,234.27
PUNJAB,FARIDKOT,39.62,14.39,0.00,54.01,47.45,14.12,0.00,61.57
PUNJAB,FATEHGARH SAHIB,24.40,41.71,0.00,66.11,35.09,40.49,0.00,75.58
PUNJAB,FEROZEPUR,114.29,36.58,0.00,150.87,156.29,10.98,0.00,167.27
PUNJAB,GURDASPUR,86.87,53.01,1.51,141.39,28.59,12.23,0.77,41.58
PUNJAB,HOSHIARPUR,61.99,29.39,0.00,91.38,29.54,29.39,0.00,58.93
PUNJAB,JALANDHAR,91.51,45.53,0.00,137.04,60.15,5.24,0.00,65.39
PUNJAB,KAPURTHALA,132.33,23.05,0.00,155.38,47.01,22.82,0.00,69.83
PUNJAB,LUDHIANA,233.18,37.03,40.00,310.21,230.76,36.93,40.00,307.69
PUNJAB,MANSA,99.77,45.48,3.14,148.39,125.70,11.70,3.14,140.54
PUNJAB,MOGA,120.48,24.38,3.38,148.24,89.27,24.17,3.38,116.82
PUNJAB,MUKTSAR,142.44,24.45,20.92,187.81,115.52,24.45,20.92,160.89
PUNJAB,NAWANSHAHR,30.15,14.52,0.00,44.67,24.44,13.08,0.00,37.52
PUNJAB,PATIALA,16.52,37.95,0.98,55.45,21.29,36.19,0.98,58.46
PUNJAB,RUPNAGAR,94.75,41.96,0.00,136.71,38.50,10.59,0.00,49.09
PUNJAB,S.A.S NAGAR,63.29,0.00,0.00,63.29,30.39,0.00,0.00,30.39
PUNJAB,SANGRUR,96.59,127.30,19.42,243.31,90.70,61.61,19.41,171.72
PUNJAB,TARN TARAN,541.35,0.00,0.00,541.35,26.73,0.00,0.00,26.73
RAJASTHAN,AJMER,807.96,383.84,33.78,1225.58,810.15,219.15,33.52,1062.82
RAJASTHAN,ALWAR,1463.66,516.43,46.32,2026.41,972.15,364.92,41.11,1378.18
RAJASTHAN,BANSWARA,2088.79,488.41,10.90,2588.10,1289.81,486.38,10.90,1787.09
RAJASTHAN,BARAN,675.01,124.70,38.34,838.05,467.45,123.58,36.60,627.64
RAJASTHAN,BARMER,2684.88,603.80,288.73,3577.41,2060.32,603.80,243.59,2907.71
RAJASTHAN,BHARATPUR,627.66,115.69,17.22,760.57,362.66,110.53,17.22,490.42
RAJASTHAN,BHILWARA,2563.55,664.13,223.86,3451.54,2317.08,664.13,223.86,3205.07
RAJASTHAN,BIKANER,1577.40,392.76,52.00,2022.16,1295.91,390.24,51.12,1737.27
RAJASTHAN,BUNDI,900.86,187.37,25.74,1113.97,549.97,178.35,25.62,753.93
RAJASTHAN,CHITTORGARH,864.91,195.98,29.75,1090.64,665.07,195.01,29.71,889.79
RAJASTHAN,CHURU,993.12,226.05,143.17,1362.34,676.23,225.21,143.17,1044.60
RAJASTHAN,DAUSA,1060.23,273.63,33.42,1367.28,661.50,260.96,33.42,955.87
RAJASTHAN,DHOLPUR,484.40,116.40,0.54,601.34,346.22,115.77,0.00,461.99
RAJASTHAN,DUNGARPUR,2320.12,403.83,87.30,2811.25,1410.08,403.83,87.30,1901.22
RAJASTHAN,GANGANAGAR,1054.26,251.73,32.95,1338.94,655.79,234.97,31.52,922.28
RAJASTHAN,HANUMANGARH,799.11,166.22,40.34,1005.67,614.89,165.79,40.34,821.02
RAJASTHAN,JAIPUR,1147.59,465.35,47.29,1660.23,663.74,233.81,46.85,944.40
RAJASTHAN,JAISALMER,981.35,229.23,47.62,1258.20,666.36,216.23,47.62,930.21
RAJASTHAN,JALOR,1676.79,445.42,39.95,2162.16,1116.98,438.42,39.84,1595.24
RAJASTHAN,JHALAWAR,1292.68,258.08,785.41,2336.17,1140.89,257.73,772.67,2171.29
RAJASTHAN,JHUNJHUNU,683.78,400.82,113.48,1198.08,560.15,220.34,65.48,845.96
RAJASTHAN,JODHPUR,1751.12,419.42,72.42,2242.96,1103.58,338.31,72.42,1514.31
RAJASTHAN,KARAULI,1712.51,451.58,168.96,2333.05,1363.33,450.10,165.84,1979.27
RAJASTHAN,KOTA,971.72,243.89,15.45,1231.06,621.19,243.63,15.45,880.27
RAJASTHAN,NAGAUR,1048.33,190.37,110.56,1349.26,749.31,189.82,44.46,983.59
RAJASTHAN,PALI,1008.09,220.69,96.61,1325.39,595.63,199.67,84.28,879.58
RAJASTHAN,RAJSAMAND,1539.59,400.11,131.42,2071.12,905.48,339.83,116.72,1362.03
RAJASTHAN,SAWAI MADHOPUR,817.29,337.02,44.12,1198.43,566.99,212.88,42.90,822.78
RAJASTHAN,SIKAR,1006.40,274.76,34.84,1316.00,600.83,225.47,34.84,861.15
RAJASTHAN,SIROHI,832.91,190.37,0.00,1023.28,652.62,190.32,0.00,842.94
RAJASTHAN,TONK,950.13,221.35,29.63,1201.11,627.70,220.66,21.64,870.00
RAJASTHAN,UDAIPUR,4470.94,989.19,355.76,5815.89,2652.86,962.20,355.76,3970.82
SIKKIM,EAST SIKKIM,492.10,355.70,303.39,1151.19,432.58,355.70,303.39,1091.67
SIKKIM,NORTH SIKKIM,175.29,144.62,84.94,404.85,152.97,144.62,84.94,382.53
SIKKIM,SOUTH SIKKIM,274.88,259.08,143.70,677.66,126.94,259.08,143.70,529.72
SIKKIM,WEST SIKKIM,340.27,292.42,197.42,830.11,297.72,292.42,197.42,787.56
TAMIL NADU,COIMBATORE,1972.25,595.29,320.02,2887.56,1623.93,503.40,319.60,2446.93
TAMIL NADU,CUDDALORE,3391.16,2211.61,1439.65,7042.42,2742.71,1580.12,587.39,4910.22
TAMIL NADU,DHARMAPURI,2026.58,972.46,307.53,3306.57,1621.84,644.71,307.53,2574.09
TAMIL NADU,DINDIGUL,1779.43,938.66,411.99,3130.08,1480.54,855.43,405.46,2741.43
TAMIL NADU,ERODE,1787.48,704.16,378.43,2870.07,1772.24,675.08,382.43,2829.75
TAMIL NADU,KANCHIPURAM,1966.82,1365.54,818.40,4150.76,2350.25,1209.58,711.45,4271.28
TAMIL NADU,KANYAKUMARI(NAGERCOIL),842.11,567.98,379.43,1789.52,881.99,454.42,377.00,1713.40
TAMIL NADU,KARUR,1207.94,513.23,309.61,2030.78,1225.24,460.69,309.61,1995.53
TAMIL NADU,KRISHNAGIRI,3538.50,1144.71,422.01,5105.22,3020.02,810.71,394.42,4225.15
TAMIL NADU,MADURAI,2465.75,1231.24,518.97,4215.96,2270.56,1047.20,497.23,3814.99
TAMIL NADU,NAGAPATTINAM,2206.04,790.02,243.89,3239.95,1850.75,719.37,214.00,2784.12
TAMIL NADU,NAMAKKAL,1350.35,804.45,302.25,2457.04,1395.73,606.46,302.25,2304.43
TAMIL NADU,NILGIRIS(UDHAGAMANDALAM),500.76,321.31,88.82,910.89,442.83,218.79,88.82,750.44
TAMIL NADU,PERAMBALUR,1904.26,916.91,432.90,3254.07,2000.71,881.94,429.34,3311.99
TAMIL NADU,PUDUKKOTTAI,2336.21,1131.52,452.34,3920.07,2362.64,874.86,451.28,3688.79
TAMIL NADU,RAMANATHAPURAM,1061.87,606.44,626.85,2295.16,1046.88,526.39,535.45,2108.72
TAMIL NADU,SALEM,3368.61,1270.19,797.83,5436.62,3118.21,1212.06,797.81,5128.08
TAMIL NADU,SIVAGANGA,1733.70,731.90,376.06,2841.66,1448.76,613.05,372.33,2434.13
TAMIL NADU,THANJAVUR,3486.71,1799.33,804.00,6090.04,2296.08,1481.42,797.57,4575.07
TAMIL NADU,THENI,969.59,663.56,364.40,1997.55,932.87,524.96,364.40,1822.22
TAMIL NADU,THOOTHUKUDI,1071.47,728.60,478.54,2278.61,833.58,522.91,478.54,1835.03
TAMIL NADU,TIRUCHIRAPPALLI,841.71,543.87,468.11,1853.69,900.71,540.13,416.76,1857.60
TAMIL NADU,TIRUNELVELI,1530.91,693.97,338.33,2563.21,1664.97,672.78,338.03,2675.77
TAMIL NADU,TIRUVALLUR,3684.38,1186.62,132.66,5003.66,2135.78,1106.49,131.50,3373.78
TAMIL NADU,TIRUVANNAMALAI,2387.65,1516.12,562.40,4466.16,2274.03,1368.90,555.19,4198.13
TAMIL NADU,TIRUVARUR,1190.60,450.39,148.88,1789.86,1073.12,392.20,128.01,1593.34
TAMIL NADU,VELLORE,2488.01,957.66,437.73,3883.40,2127.16,849.59,440.16,3416.90
TAMIL NADU,VILLUPURAM,5235.69,2234.70,350.65,7821.04,6263.44,2188.63,311.67,8763.74
TAMIL NADU,VIRUDHUNAGAR,2470.28,1003.43,219.69,3693.40,1607.16,644.57,218.60,2470.32
TRIPURA,DHALAI,944.15,321.59,146.26,1412.00,957.23,301.59,149.26,1408.08
TRIPURA,NORTH TRIPURA,1087.88,396.14,101.85,1585.87,954.03,363.65,98.31,1415.99
TRIPURA,SOUTH TRIPURA,1790.33,725.08,554.98,3070.39,1575.49,699.47,554.98,2829.94
TRIPURA,WEST TRIPURA,1962.51,756.42,248.50,2967.43,1739.20,719.58,244.80,2703.58
UTTARAKHAND,ALMORA,977.49,378.80,136.21,1492.50,780.62,320.91,136.21,1237.74
UTTARAKHAND,BAGESHWAR,413.37,157.13,68.60,639.10,371.70,147.77,68.60,588.07
UTTARAKHAND,CHAMOLI,466.61,171.80,70.59,709.00,428.53,165.85,70.59,664.97
UTTARAKHAND,CHAMPAWAT,466.47,140.40,67.35,674.22,390.67,140.36,67.35,598.38
UTTARAKHAND,DEHRADUN,917.05,373.93,87.70,1378.68,596.84,248.18,87.70,932.72
UTTARAKHAND,HARIDWAR,665.46,245.74,122.05,1033.25,571.69,245.03,122.04,938.76
UTTARAKHAND,NAINITAL,293.82,118.50,36.24,448.57,305.19,118.50,36.24,459.93
UTTARAKHAND,PAURI(GARHWAL),792.32,308.67,97.71,1198.70,603.07,249.60,97.67,950.34
UTTARAKHAND,PITHORAGARH,869.63,324.10,99.52,1293.25,640.43,240.80,99.43,980.66
UTTARAKHAND,RUDRAPRAYAG,263.96,103.94,32.55,400.45,267.84,103.29,32.54,403.67
UTTARAKHAND,TEHRI GARHWAL,1037.08,390.84,112.68,1540.61,963.34,271.41,112.68,1347.43
UTTARAKHAND,UDHAM SINGH NAGAR,661.50,228.20,69.26,958.96,418.15,129.33,67.89,615.37
UTTARAKHAND,UTTARKASHI,487.11,159.76,32.13,679.00,323.47,91.56,32.13,447.16
UTTAR PRADESH,AGRA,1749.49,750.50,145.60,2645.59,1573.55,750.30,135.12,2458.97
UTTAR PRADESH,ALIGARH,2008.56,1089.37,272.03,3369.96,1695.81,974.84,244.08,2914.73
UTTAR PRADESH,ALLAHABAD,3029.45,3813.17,1252.25,8094.87,2952.78,2494.20,766.07,6213.06
UTTAR PRADESH,AMBEDKAR NAGAR,2537.46,2021.06,492.83,5051.35,2455.12,2021.06,451.34,4927.52
UTTAR PRADESH,AURAIYA,2619.75,1690.78,612.74,4923.27,1640.15,1221.70,599.20,3461.05
UTTAR PRADESH,AZAMGARH,3376.51,1926.92,355.97,5659.40,3188.24,1568.18,352.20,5108.62
UTTAR PRADESH,BAGPAT,800.08,514.09,100.35,1414.52,769.70,502.50,90.81,1363.01
UTTAR PRADESH,BAHRAICH,5599.05,2795.91,727.01,9121.97,4564.46,2712.93,676.15,7953.54
UTTAR PRADESH,BALLIA,2643.95,5520.93,909.68,9074.56,2321.29,2213.14,537.50,5071.93
UTTAR PRADESH,BALRAMPUR,1430.61,1274.30,194.51,2899.42,1495.24,1081.54,185.88,2762.66
UTTAR PRADESH,BANDA,2958.85,2398.41,448.23,5805.49,2226.40,1883.80,442.52,4552.72
UTTAR PRADESH,BARABANKI,3163.79,3184.24,737.63,7085.66,3145.44,3025.52,610.35,6781.31
UTTAR PRADESH,BAREILLY,2464.24,1801.56,1052.65,5318.45,2525.17,1571.15,837.92,4934.24
