State_Name,SL_No,District_Name,Total_Projects_Outlay,ApprShare_Center,ApprShare_State,ApprShare_Beneficiary,Rof_Center,Rof_State,Rof_Beneficiary,Rof_Total,ExpReported_Center,ExpReported_State,ExpReported_Beneficiary,ExpReported_Total,PO_IHHL_BPL,PO_IHHL_APL,PO_IHHL_TOTAL,PO_SCW,PO_School_Toilets,PO_Anganwadi_Toilets,PO_RSM,PO_PC,PP_IHHL_BPL,PP_IHHL_APL,PP_IHHL_TOTAL,PP_SCW,PP_School_Toilets,PP_Anganwadi_Toilets,PP_RSM,PP_PC,BPL_Appr.(C+S+B),BPL_Exp.(C+S+B),BPL_(%)_age,School_Appr.(C+S+B),School_Exp.(C+S+B),School_(%)_age,Anganwadi_Appr.(C+S+B),Anganwadi_Exp.(C+S+B),Anganwadi_(%)_age,Sanitary_Complex_Appr.(C+S+B),Sanitary_Complex_Exp.(C+S+B),Sanitary_Complex_(%)_age,IHHL_BPL_Ach_SC,IHHL_BPL_Ach_ST,IHHL_BPL_Ach_General,IHHL_BPL_Ach_PH,IHHL_BPL_Ach_%_SC_ST,IHHL_APL_Ach_SC,IHHL_APL_Ach_ST,IHHL_APL_Ach_Small_Marginal_Farmers,IHHL_APL_Ach_Landless_Labourers,IHHL_APL_Ach_PH,IHHL_APL_Ach_Women_Headed_Households,Rural_Households,Census_2001_IHHL
ANDHRA PRADESH,13,NALGONDA,4057.62,2623.60,973.78,460.24,3239.62,1390.03,663.87,5293.52,3363.93,682.75,494.92,4541.60,215058,156761,371819,0,6628,44,10,0,255459,87693,343152,0,7128,955,10,10,1794.62,2369.42,100.00,1455.80,1326.95,91.15,2.20,247.38,100.00,0.00,38.25,0.00,36228,16751,176934,0,20.74,0,0,0,0,0,0,720569,107110
ANDHRA PRADESH,8,NELLORE,6774.39,4452.20,1705.65,616.54,3505.18,882.80,498.12,4886.10,2779.02,830.90,346.83,3956.75,226725,116678,343403,0,6415,1396,10,0,178666,19462,198128,0,6207,579,0,0,4406.08,2309.24,52.41,1467.06,1244.13,84.80,105.77,43.19,40.83,0.00,0.00,0.00,28096,13408,137162,0,23.23,0,0,0,0,0,0,567914,87984
ANDHRA PRADESH,15,NIZAMABAD,3563.44,2292.61,788.33,482.50,2914.46,1210.88,2155.82,6281.16,2622.22,1151.40,317.81,4091.43,225519,9474,234993,0,2477,32,10,0,245117,64759,309876,0,2477,32,36,0,2231.44,2798.35,100.00,495.40,725.24,100.00,1.60,0.00,0.00,0.00,0.00,0.00,35217,13758,196142,0,19.98,0,0,0,0,0,0,462799,63145
ANDHRA PRADESH,9,PRAKASAM,11629.20,7674.58,2891.99,1062.63,5802.42,1000.81,199.74,7002.97,5185.97,1079.10,198.88,6463.95,386617,193493,580110,0,7224,780,10,0,332048,143298,475346,0,7234,770,41,0,8947.35,4616.09,51.59,1540.80,1162.59,75.45,43.66,8.49,19.45,0.00,0.00,0.00,61524,20584,249940,0,24.73,0,0,0,0,0,0,692542,93185
ANDHRA PRADESH,17,RANGAREDDI,5820.64,3846.08,1396.59,577.97,3446.20,1594.80,142.82,5183.82,3743.01,1590.10,128.32,5461.43,212629,71610,284239,0,3726,467,10,0,183384,69147,252531,0,4714,471,10,0,3911.58,3719.90,95.10,783.00,898.18,100.00,26.77,56.90,100.00,0.00,0.00,0.00,32373,10611,140400,0,23.44,0,0,0,0,0,0,352247,47862
ANDHRA PRADESH,10,SRIKAKULAM,11000.93,7286.19,2778.43,936.31,4346.64,1183.51,113.87,5644.02,2571.03,1058.73,119.96,3749.72,302221,225272,527493,40,6398,266,10,0,142456,82270,224726,19,5943,292,38,3,8143.71,2549.49,31.31,1553.36,823.21,53.00,18.49,19.57,100.00,80.00,10.88,13.60,15397,11042,116017,0,18.56,0,0,0,0,0,0,580048,47635
ANDHRA PRADESH,11,VISAKHAPATNAM,7601.64,5006.22,1857.77,737.65,3680.82,3980.80,432.83,8094.45,2113.33,3124.10,402.75,5640.19,252875,156460,409335,20,5074,0,10,0,190356,75765,266121,20,6733,703,0,0,5244.76,3876.81,73.92,1014.80,1236.20,100.00,30.25,27.03,89.36,40.00,43.52,100.00,17358,22472,150526,0,20.92,0,0,0,0,0,0,583474,68708
ANDHRA PRADESH,12,VIZIANAGARAM,5074.86,3369.99,1205.77,499.10,2104.22,855.89,315.26,3275.37,1960.45,850.42,258.91,3069.78,220051,245678,465729,10,2999,1668,10,0,168873,159984,328857,8,3368,360,12,0,3307.45,1711.66,51.75,599.80,810.54,100.00,129.33,8.15,6.30,20.00,13.91,69.55,24383,10394,130370,0,20.59,0,0,0,0,0,0,475145,34909
ANDHRA PRADESH,21,WARANGAL,6027.11,3819.19,1309.33,898.59,2805.84,1044.29,184.76,4034.89,2373.39,650.87,186.94,3211.20,330260,138180,468440,0,4122,2157,10,0,360558,345451,706009,0,4122,549,0,0,3929.91,1838.46,46.78,870.60,897.77,100.00,168.49,30.16,17.90,0.00,0.00,0.00,30775,16038,114469,0,12.98,0,0,0,0,0,0,652254,89391
ANDHRA PRADESH,13,WEST GODAVARI,9050.90,5877.01,2264.52,909.37,4786.51,5850.00,1148.58,11785.09,4367.09,5613.14,1123.37,11103.60,344272,294425,638697,385,4551,216,10,0,327774,294425,622199,837,4765,536,97,0,5595.99,8480.40,100.00,1209.60,1407.56,100.00,19.26,22.82,100.00,281.05,498.54,100.00,108287,14041,185838,0,37.32,100,20,0,0,0,0,870607,233584
ARUNACHAL PRADESH,1,ANJAW,177.73,124.04,40.39,13.30,110.46,68.92,0.00,179.38,89.00,29.24,0.00,118.24,3232,0,3232,8,44,46,1,0,1490,0,1490,2,48,48,0,0,117.93,80.48,68.24,8.80,13.60,100.00,2.60,1.95,75.00,16.00,4.00,25.00,0,1490,0,0,100.00,0,0,0,0,0,0,4060,8180
ARUNACHAL PRADESH,2,CHANGLANG,842.74,590.62,191.87,60.25,481.15,130.65,38.47,650.27,518.29,93.79,38.47,650.55,15716,2799,18515,25,384,250,0,0,8227,2670,10897,25,384,250,1,0,548.48,402.55,73.39,76.80,76.80,100,17.96,25.34,100.00,50.00,48.00,96.00,0,8113,114,0,98.61,0,2670,0,0,0,0,24444,9050
