State_Name,SL_No,District_Name,Total_Projects_Outlay,ApprShare_Center,ApprShare_State,ApprShare_Beneficiary,Rof_Center,Rof_State,Rof_Beneficiary,Rof_Total,ExpReported_Center,ExpReported_State,ExpReported_Beneficiary,ExpReported_Total,PO_IHHL_BPL,PO_IHHL_APL,PO_IHHL_TOTAL,PO_SCW,PO_School_Toilets,PO_Anganwadi_Toilets,PO_RSM,PO_PC,PP_IHHL_BPL,PP_IHHL_APL,PP_IHHL_TOTAL,PP_SCW,PP_School_Toilets,PP_Anganwadi_Toilets,PP_RSM,PP_PC,BPL_Appr.(C+S+B),BPL_Exp.(C+S+B),BPL_(%)_age,School_Appr.(C+S+B),School_Exp.(C+S+B),School_(%)_age,Anganwadi_Appr.(C+S+B),Anganwadi_Exp.(C+S+B),Anganwadi_(%)_age,Sanitary_Complex_Appr.(C+S+B),Sanitary_Complex_Exp.(C+S+B),Sanitary_Complex_(%)_age,IHHL_BPL_Ach_SC,IHHL_BPL_Ach_ST,IHHL_BPL_Ach_General,IHHL_BPL_Ach_PH,IHHL_BPL_Ach_%_SC_ST,IHHL_APL_Ach_SC,IHHL_APL_Ach_ST,IHHL_APL_Ach_Small_Marginal_Farmers,IHHL_APL_Ach_Landless_Labourers,IHHL_APL_Ach_PH,IHHL_APL_Ach_Women_Headed_Households,Rural_Households,Census_2001_IHHL
ANDHRA PRADESH,1,ADILABAD,7845.08,5210.61,1918.19,716.28,3334.5,1026.28,632.57,4993.35,3063.13,1026.28,619.96,4709.37,247475,148181,395656,0,4462,427,10,0,182210,52431,234641,0,5030,427,0,0,5592.07,3054.99,54.63,989,1254.1,100,30,13.5,45,0,0,0,27512,12171,140211,0,21.78,0,0,0,0,0,0,473949,44311
ANDHRA PRADESH,2,ANANTAPUR,6308.72,4059.29,1394.66,854.77,2213.51,1456.5,1331.82,5001.83,1242.57,1456.41,1325.3,4024.28,363314,181335,544649,0,3421,284,10,0,366557,42000,408557,0,4258,302,0,0,3838.47,3016.22,78.58,884.2,745.05,84.26,14.2,11.19,78.8,0,10.41,0,54984,18328,293245,0,20,0,0,0,0,0,0,698439,70929
ANDHRA PRADESH,3,CHITTOOR,7680.84,5036.09,1875.03,769.72,3909.82,1329.78,532.18,5771.78,2327.19,1154.35,532.18,4013.72,296465,236986,533451,0,8171,375,10,0,274247,196146,470393,0,8171,375,11,0,4829.6,2409.98,49.9,1800.86,1333.29,74.04,18.76,18.76,100,0,0,0,42872,8411,222964,0,18.7,0,0,0,0,0,0,727635,94962
ANDHRA PRADESH,4,CUDDAPAH,6440.21,3924.41,1662.14,853.66,2763.6,1332.28,1357.02,5452.9,1768.96,1332,796.67,3897.63,251653,251610,503263,0,6802,277,10,0,242319,125493,367812,0,5851,277,0,0,3835.4,2840.59,74.06,1659.96,672.04,40.49,14.76,3.6,24.39,0,0,0,36348,7269,198702,0,18,0,0,0,0,0,0,475919,77225
ANDHRA PRADESH,5,EAST GODAVARI,9690.38,6324.81,2329.86,1035.71,5302.66,1886.72,1081.32,8270.7,4886.99,1886.62,1063.13,7836.75,370255,191400,561655,50,7004,1164,10,0,363763,191400,555163,49,7004,781,20,0,6674.52,5551.06,83.17,1475.66,1481.44,100,81.16,21.48,26.47,100,88.2,88.2,88898,34192,218826,0,33.84,44022,19140,0,0,0,0,1063044,231280
ANDHRA PRADESH,6,GUNTUR,12563.94,6298.09,3611.81,2654.04,3986.24,1783.72,698.21,6468.17,2802.11,1783.72,698.21,5284.05,370996,319053,690049,0,5346,215,10,0,271407,85950,357357,0,5116,215,37,0,9644.83,3885.1,40.28,1332.16,983.83,73.85,13.19,9.93,75.28,0,0,0,36638,12674,221777,0,18.17,0,0,0,0,0,0,877109,199735
ANDHRA PRADESH,7,KARIMNAGAR,10849.48,7165.48,2612.85,1071.15,5602.87,2489.38,176.13,8268.38,6480.63,2486.03,176.13,9142.79,365267,219763,585030,0,5848,298,10,0,408430,63125,471555,0,6200,475,13,0,7893.18,7791.21,98.71,1169.6,757.12,64.73,14.9,8.04,53.96,0,0,0,73014,17108,318308,7992,22.07,0,0,0,0,0,0,746956,107825
ANDHRA PRADESH,8,KHAMMAM,5033.95,3296.76,1226.56,510.63,2779.69,732.81,510.65,4023.15,3369.11,732.08,294.02,4395.21,189225,4860,194085,0,6318,521,10,0,200897,4870,205767,0,6318,521,15,10,2990.37,2493.54,83.39,1263.6,1257.6,99.53,31.94,44.28,100,0,0,0,63593,32066,102728,0,47.62,0,0,0,0,0,0,578490,87256
ANDHRA PRADESH,9,KRISHNA,9115.68,5977.79,2174.82,963.07,3883.94,777.11,283.63,4944.68,2620.67,769.49,277.92,3668.09,351572,175991,527563,17,3374,62,10,0,321366,104197,425563,8,3374,171,40,0,6879.66,2577.22,37.46,821.2,429.94,52.36,3.1,0.87,28.06,34,20,58.82,69729,15611,232085,0,26.56,2000,600,0,0,0,0,754361,233301
ANDHRA PRADESH,10,KURNOOL,10196.49,6720.35,2491.52,984.62,4237.66,1719.21,573.54,6530.42,2526.74,1718.37,463.12,4708.23,383478,129956,513434,0,4669,2111,10,0,325762,174773,500535,13,4669,285,49,0,7470.95,2873.88,38.47,1131.5,966.9,85.45,162.8,9.67,5.94,0,0,0,43906,2105,151321,0,14.12,0,0,0,0,0,0,630786,86436
ANDHRA PRADESH,11,MAHBUBNAGAR,12463.21,8267.19,3086.64,1109.38,5863.24,1830.56,857.51,8551.3,3173.49,1229.98,857.51,5260.98,418559,66032,484591,3,5433,357,10,0,247349,263280,510629,9,5434,357,15,0,9734.32,2953.9,30.35,1196.86,1716.16,100,24.32,84.52,100,6,12.75,100,39194,20298,187857,0,24.05,0,0,0,0,0,0,750446,85960
ANDHRA PRADESH,12,MEDAK,9398.96,6237.97,2285.12,875.87,4003.9,1810.5,569.91,6384.31,4612.09,1726.25,503.62,6841.96,311743,96490,408233,50,5446,1873,10,0,315177,47977,363154,27,5002,1297,10,0,5932.07,4802.2,80.95,1507.7,1228.84,81.5,134.99,58.56,43.38,100,18.4,18.4,69631,17678,219743,0,27.7,200,0,0,0,0,0,511576,71449
ANDHRA PRADESH,13,NALGONDA,4057.62,2623.6,973.78,460.24,2247.46,1390.03,663.87,4301.36,1922.78,679.97,493.13,3095.88,215058,156761,371819,0,6628,44,10,0,235390,87693,323083,0,6628,955,10,10,1794.62,1425.75,79.45,1455.8,1107.1,76.05,2.2,94.98,100,0,38.25,0,29896,13915,166064,0,18.61,0,0,0,0,0,0,720569,107110
ANDHRA PRADESH,14,NELLORE,6774.39,4452.2,1705.65,616.54,3122.5,882.8,498.12,4503.42,1604.16,776.05,322.25,2702.46,226725,116678,343403,0,6415,1396,10,0,173892,19462,193354,0,5918,510,0,0,4406.08,1312.43,29.79,1467.06,1131.34,77.12,105.77,24.95,23.59,0,0,0,26402,12788,134702,0,22.54,0,0,0,0,0,0,567914,87984
ANDHRA PRADESH,15,NIZAMABAD,3563.44,2292.61,788.33,482.5,1939.81,1210.88,2155.82,5306.51,2381.02,1151.4,317.81,3850.23,225519,9474,234993,0,2477,32,10,0,225519,64759,290278,0,2477,32,36,0,2231.44,2673.67,100,495.4,725.24,100,1.6,0,0,0,0,0,30339,12276,182904,0,18.9,0,0,0,0,0,0,462799,63145
ANDHRA PRADESH,16,PRAKASAM,11629.2,7674.58,2891.99,1062.63,4617.5,1000.81,199.74,5818.05,3494.69,1000.03,198.88,4693.6,386617,193493,580110,0,7224,780,10,0,309633,143288,452921,0,7234,770,41,0,8947.35,3182.64,35.57,1540.8,1148.94,74.57,43.66,8.49,19.45,0,0,0,56382,19438,233813,0,24.49,0,0,0,0,0,0,692542,93185
ANDHRA PRADESH,17,RANGAREDDI,5820.64,3846.08,1396.59,577.97,2979.96,1594.8,142.82,4717.58,1881.32,1590.1,128.32,3599.74,212629,71610,284239,0,3726,467,10,0,181141,69147,250288,0,3726,467,10,0,3911.58,2597.35,66.4,783,458.23,58.52,26.77,19.54,72.99,0,0,0,31646,10474,139021,0,23.25,0,0,0,0,0,0,352247,47862
