State_Name,SL_No,District_Name,Total_Projects_Outlay,ApprShare_Center,ApprShare_State,ApprShare_Beneficiary,Rof_Center,Rof_State,Rof_Beneficiary,Rof_Total,ExpReported_Center,ExpReported_State,ExpReported_Beneficiary,ExpReported_Total,PO_IHHL_BPL,PO_IHHL_APL,PO_IHHL_TOTAL,PO_SCW,PO_School_Toilets,PO_Anganwadi_Toilets,PO_RSM,PO_PC,PP_IHHL_BPL,PP_IHHL_APL,PP_IHHL_TOTAL,PP_SCW,PP_School_Toilets,PP_Anganwadi_Toilets,PP_RSM,PP_PC,BPL_Appr.(C+S+B),BPL_Exp.(C+S+B),BPL_(%)_age,School_Appr.(C+S+B),School_Exp.(C+S+B),School_(%)_age,Anganwadi_Appr.(C+S+B),Anganwadi_Exp.(C+S+B),Anganwadi_(%)_age,Sanitary_Complex_Appr.(C+S+B),Sanitary_Complex_Exp.(C+S+B),Sanitary_Complex_(%)_age,IHHL_Objective_BPL,IHHL_Objective_APL,IHHL_Objective_Total,IHHL_BPL_Ach_Total_BPL,IHHL_BPL_Ach_SC,IHHL_BPL_Ach_ST,IHHL_BPL_Ach_General,IHHL_BPL_Ach_PH,IHHL_BPL_Ach_%_SC_ST,IHHL_APL_Ach_Total_APL,IHHL_APL_Ach_SC,IHHL_APL_Ach_ST,IHHL_APL_Ach_Small_Marginal_Farmers,IHHL_APL_Ach_Landless_Labourers,IHHL_APL_Ach_PH,IHHL_APL_Ach_Women_Headed_Households,IHHL_Total
ANDHRA PRADESH,1,ADILABAD,7845.08,5210.61,1918.19,716.28,3334.5,1026.28,632.57,4993.35,2665.1,1026.28,619.96,4311.34,11-06-2001,Feb-13,247475,148181,395656,0,4462,427,10,0,173930,52431,226361,0,4462,384,5592.07,2363.57,42.27,989,1229.1,100,30,12.1,40.33,0,0,0,247475,148181,395656,176300,26445,11519,138336,0,21.53,52431,0,0,0,0,0,0,228731
ANDHRA PRADESH,2,ANANTAPUR,6308.72,4059.29,1394.66,854.77,2213.51,1456.5,1331.82,5001.83,1242.57,1456.41,1325.3,4024.28,11-06-2001,Jan-13,363314,181335,544649,0,3421,284,10,0,366557,42000,408557,0,4258,302,3838.47,3016.22,78.58,884.2,745.05,84.26,14.2,11.19,78.8,0,10.41,0,363314,181335,544649,366557,54984,18328,293245,0,20,42000,0,0,0,0,0,0,408557
ANDHRA PRADESH,3,CHITTOOR,7680.84,5036.09,1875.03,769.72,3909.82,1329.78,532.18,5771.78,2315.79,1154.35,532.18,4002.32,28-03-2000,Feb-13,296465,236986,533451,0,8171,375,10,0,264888,190905,455793,0,8171,375,4829.6,2356.05,48.78,1800.86,1323.12,73.47,18.76,18.76,100,0,0,0,296465,236986,533451,269750,42131,8152,219467,0,18.64,190905,0,0,0,0,0,0,460655
ANDHRA PRADESH,4,CUDDAPAH,6440.21,3924.41,1662.14,853.66,2763.6,1332.28,1357.02,5452.9,1701.12,1332,796.67,3829.79,02-05-2003,Feb-13,251653,251610,503263,0,6802,277,10,0,238556,125493,364049,0,5186,277,3835.4,2780.36,72.49,1659.96,656.89,39.57,14.76,3.6,24.39,0,0,0,251653,251610,503263,239780,35967,7193,196620,0,18,125493,0,0,0,0,0,0,365273
ANDHRA PRADESH,5,EAST GODAVARI,9690.38,6324.81,2329.86,1035.71,5302.66,1886.72,1081.32,8270.7,4360.34,1886.62,1063.13,7310.09,23-04-2002,Feb-13,370255,191400,561655,50,7004,1164,10,0,345502,191400,536902,49,7004,781,6674.52,4797.41,71.88,1475.66,1481.44,100,81.16,21.48,26.47,100,86,86,370255,191400,561655,347305,88898,34192,218826,0,35.44,191400,44022,19140,0,0,0,0,538705
ANDHRA PRADESH,6,GUNTUR,12563.94,6298.09,3611.81,2654.04,3986.24,1783.72,698.21,6468.17,2684.27,1783.72,698.21,5166.21,23-04-2002,Feb-13,370996,319053,690049,0,5346,215,10,0,269588,85950,355538,0,5079,215,9644.83,3765.48,39.04,1332.16,983.83,73.85,13.19,9.93,75.28,0,0,0,370996,319053,690049,269608,36435,12604,220549,0,18.19,85950,0,0,0,0,0,0,355558
ANDHRA PRADESH,7,KARIMNAGAR,10849.48,7165.48,2612.85,1071.15,5602.87,1943.23,176.13,7722.23,5008.14,1939.23,176.13,7123.5,13-02-2003,Feb-13,365267,219763,585030,0,5848,298,10,0,363550,63025,426575,0,5848,298,7893.18,5804.58,73.54,1169.6,754.32,64.49,14.9,8.04,53.96,0,0,0,365267,219763,585030,369433,65535,14858,288995,7992,21.76,63025,0,0,0,0,0,0,432458
ANDHRA PRADESH,8,KHAMMAM,5033.95,3296.76,1226.56,510.63,2779.69,732.81,510.65,4023.15,2798.6,732.08,294.02,3824.7,25-11-1999,Feb-13,189225,4860,194085,0,6318,521,10,0,195763,4870,200633,0,6318,521,2990.37,1799.79,60.19,1263.6,1257.6,99.53,31.94,44.28,100,0,0,0,189225,4860,194085,198387,63593,32066,102728,0,48.22,4870,0,0,0,0,0,0,203257
ANDHRA PRADESH,9,KRISHNA,9115.68,5977.79,2174.82,963.07,3883.94,777.11,283.63,4944.68,2453.61,769.49,277.92,3501.02,13-02-2003,Feb-13,351572,175991,527563,17,3374,62,10,0,317154,104197,421351,8,3374,171,6879.66,2429.23,35.31,821.2,429.94,52.36,3.1,0.87,28.06,34,20,58.82,351572,175991,527563,318730,69729,15611,231610,0,26.78,104197,2000,600,0,0,0,0,422927
ANDHRA PRADESH,10,KURNOOL,10196.49,6720.35,2491.52,984.62,4237.66,1719.21,573.54,6530.42,2234.58,1718.37,463.12,4416.07,23-04-2002,Feb-13,383478,129956,513434,0,4669,2111,10,0,312382,174773,487155,13,4669,235,7470.95,2871.96,38.44,1131.5,748.18,66.12,162.8,9.67,5.94,0,0,0,383478,129956,513434,323616,43906,2105,151321,0,14.22,174773,0,0,0,0,0,0,498389
ANDHRA PRADESH,11,MAHBUBNAGAR,12463.21,8267.19,3086.64,1109.38,5863.24,1830.56,857.51,8551.3,3099.44,1202.59,857.51,5159.54,11-06-2001,Feb-13,418559,66032,484591,3,5433,357,10,0,241187,263280,504467,9,5434,357,9734.32,2914.29,29.94,1196.86,1455.76,100,24.32,6.76,27.8,6,10.75,100,418559,66032,484591,242169,37925,19829,184415,0,23.85,263280,0,0,0,0,0,0,505449
ANDHRA PRADESH,12,MEDAK,9398.96,6237.97,2285.12,875.87,4003.9,1742.5,569.91,6316.31,4065.73,1662.05,495.76,6223.54,13-02-2003,Feb-13,311743,96490,408233,50,5446,1873,10,0,310444,47977,358421,14,4752,814,5932.07,4287.24,72.27,1507.7,923.38,61.24,134.99,43.74,32.4,100,8.4,8.4,311743,96490,408233,310591,68832,16956,216853,0,27.62,47977,200,0,0,0,0,0,358568
ANDHRA PRADESH,13,NALGONDA,4057.62,2623.6,973.78,460.24,2247.46,1390.03,663.87,4301.36,1831.69,650.82,474.4,2956.9,03-03-2000,Feb-13,215058,156761,371819,0,6628,44,10,0,213196,87693,300889,0,6375,300,1794.62,1296.18,72.23,1455.8,1102.6,75.74,2.2,94.98,100,0,38.25,0,215058,156761,371819,224813,29896,13915,166064,0,19.49,87693,0,0,0,0,0,0,312506
ANDHRA PRADESH,14,NELLORE,6774.39,4452.2,1705.65,616.54,3122.5,882.8,498.12,4503.42,1574.81,767.87,322.25,2664.93,11-06-2001,Feb-13,226725,116678,343403,0,6415,1396,10,0,167877,19462,187339,0,5769,473,4406.08,1310.33,29.74,1467.06,1113.93,75.93,105.77,22.49,21.26,0,0,0,226725,116678,343403,169111,25573,12444,131094,0,22.48,19462,0,0,0,0,0,0,188573
ANDHRA PRADESH,15,NIZAMABAD,3563.44,2292.61,788.33,482.5,1939.81,1210.88,2155.82,5306.51,2381.02,1151.4,317.81,3850.23,11-06-2001,Feb-13,225519,9474,234993,0,2477,32,10,0,225519,64759,290278,0,2477,32,2231.44,2673.67,100,495.4,725.24,100,1.6,0,0,0,0,0,225519,9474,234993,225519,30339,12276,182904,0,18.9,64759,0,0,0,0,0,0,290278
ANDHRA PRADESH,16,PRAKASAM,11629.2,7674.58,2891.99,1062.63,4617.5,1000.81,199.74,5818.05,3438.9,999.71,198.88,4637.49,03-03-2000,Feb-13,386617,193493,580110,0,7224,780,10,0,305100,143163,448263,0,7185,770,8947.35,3065.36,34.26,1540.8,1148.94,74.57,43.66,8.49,19.45,0,0,0,386617,193493,580110,306266,55543,19218,231505,0,24.41,143238,0,0,0,0,0,0,449504
ANDHRA PRADESH,17,RANGAREDDI,5820.64,3846.08,1396.59,577.97,2979.96,1594.8,142.82,4717.58,1704.92,1589.21,128.32,3422.44,02-05-2003,Feb-13,212629,71610,284239,0,3726,467,10,0,174460,69147,243607,0,3726,467,3911.58,2597.35,66.4,783,458.23,58.52,26.77,19.54,72.99,0,0,0,212629,71610,284239,174460,29844,9873,134743,0,22.77,69147,0,0,0,0,0,0,243607
ANDHRA PRADESH,18,SRIKAKULAM,11000.93,7286.19,2778.43,936.31,3235.39,1183.51,113.87,4532.77,1465.95,673.93,113.86,2253.74,02-05-2003,Feb-13,302221,225272,527493,40,6398,266,10,0,114492,82270,196762,16,5580,128,8143.71,1323.14,16.25,1553.36,696.15,44.82,18.49,2.53,13.68,80,10.88,13.6,302221,225272,527493,117379,13451,9252,91789,0,19.34,82270,0,0,0,0,0,0,199649
ANDHRA PRADESH,19,VISAKHAPATNAM,7601.64,5006.22,1857.77,737.65,3547.35,3980.8,432.83,7960.98,1704.74,3079.46,399.24,5183.43,02-05-2003,Jan-13,252875,156460,409335,20,5074,0,10,0,178562,75765,254327,20,6378,547,5244.76,3687.91,70.32,1014.8,1117.55,100,30.25,16.31,53.92,40,43.52,100,252875,156460,409335,178731,17088,21758,139682,0,21.73,75765,0,0,0,0,0,0,254496
ANDHRA PRADESH,20,VIZIANAGARAM,5074.86,3369.99,1205.77,499.1,2012.02,855.89,315.26,3183.17,1300.06,843.02,257.41,2400.49,11-06-2001,Feb-13,220051,245678,465729,10,2999,1668,10,0,166474,159984,326458,8,3368,350,3307.45,1572.24,47.54,599.8,470.54,78.45,129.33,7.35,5.68,20,13.91,69.55,220051,245678,465729,166713,24357,10388,130242,0,20.84,159984,0,0,0,0,0,0,326697
ANDHRA PRADESH,21,WARANGAL,6027.11,3819.19,1309.33,898.59,2488.92,1044.29,184.76,3717.97,1493.59,547.57,184.76,2225.92,23-04-2002,Feb-13,330260,138180,468440,0,4122,2157,10,0,359732,345450,705182,0,4122,417,3929.91,1131.18,28.78,870.6,792.42,91.02,168.49,23.76,14.1,0,0,0,330260,138180,468440,359732,30645,15980,113831,0,12.96,345450,0,0,0,0,0,0,705182
ANDHRA PRADESH,22,WEST GODAVARI,9050.9,5877.01,2264.52,909.37,4280.96,5850,1148.58,11279.54,3704.82,5437.7,1123.37,10265.88,12-03-2003,Feb-13,344272,294425,638697,385,4551,216,10,0,314408,294425,608833,837,4398,316,5595.99,7714.24,100,1209.6,1235.71,100,19.26,10.34,53.69,281.05,498.54,100,344272,294425,638697,319477,108175,14026,185733,0,38.25,294425,100,20,0,0,0,0,613902
ARUNACHAL PRADESH,1,ANJAW,177.73,124.04,40.39,13.3,93.46,46.78,0,140.24,55.56,29.24,0,84.8,15-01-2008,Feb-13,3232,0,3232,8,44,46,1,0,1480,0,1480,1,48,48,117.93,41.58,35.26,8.8,13.6,100,2.6,1.95,75,16,0,0,3232,0,3232,1490,0,1490,0,0,100,0,0,0,0,0,0,0,1490
ARUNACHAL PRADESH,2,CHANGLANG,842.74,590.62,191.87,60.25,446.15,96.22,38.47,580.84,316.16,73.38,38.47,428.01,23-11-2005,Feb-13,15716,2799,18515,25,384,250,0,0,6785,2450,9235,19,384,218,548.48,186.29,33.96,76.8,76.8,100,17.96,21.6,100,50,36.8,73.6,15716,2799,18515,7295,0,7181,114,0,98.44,2450,0,2450,0,0,0,0,9745
ARUNACHAL PRADESH,3,DIBANG VALLEY,90.02,63.88,21.47,4.67,59.14,24.62,4.16,87.92,35.32,11.61,3.58,50.52,29-01-2002,Feb-13,1085,0,1085,0,102,27,0,0,1088,0,1088,0,40,10,34.86,32.64,93.63,32.98,8,24.26,2.22,0,0,0,0,0,1085,0,1085,1088,0,1088,0,0,100,0,0,0,0,0,0,0,1088
ARUNACHAL PRADESH,4,EAST KAMENG,440.35,306.8,102.83,30.72,266.78,92.23,8.84,367.85,185.21,43.96,8.84,238.01,23-11-2005,Feb-13,7016,1280,8296,25,288,216,0,0,4626,1280,5906,2,288,216,221.03,92.82,41.99,57.6,90.3,100,18,5.32,29.56,50,2,4,7016,1280,8296,4626,0,4626,0,0,100,1280,0,0,0,0,0,0,5906
ARUNACHAL PRADESH,5,EAST SIANG,457.78,311.35,113.17,33.26,267.43,112.25,0,379.68,172.6,64.15,0,236.75,23-11-2005,Dec-12,8222,4723,12945,25,244,42,6,0,4537,1412,5949,0,244,50,294.88,133.32,45.21,48.8,47.1,96.52,2.1,1.83,87.14,50,0,0,8222,4723,12945,4537,0,4537,0,0,100,1718,0,1680,0,0,0,0,6255
ARUNACHAL PRADESH,6,KURUNG KUMEY,1306.32,919.89,303.61,82.82,680.65,121.83,0,802.48,448.99,47.84,0,496.84,23-11-2005,Jan-13,22036,0,22036,30,684,164,0,0,11671,0,11671,2,684,164,819.12,245.04,29.92,196.56,136.8,69.6,8.2,8.2,100,60,0,0,22036,0,22036,11671,0,783,0,0,6.71,0,0,0,0,0,0,0,11671
ARUNACHAL PRADESH,7,LOHIT,354.99,243.65,82.74,28.6,228.98,82.12,30.6,341.7,210.12,50.45,23,283.57,03-03-2000,Jan-13,8800,0,8800,26,240,182,0,0,8410,1129,9539,23,240,182,145.53,126.98,87.25,48,48,100,9.9,9.26,93.54,52,37.89,72.87,8800,0,8800,8410,0,8410,0,0,100,1129,0,0,0,0,0,0,9539
ARUNACHAL PRADESH,8,LOWER DIBANG VALLEY,112.32,78.68,26.4,7.24,71.73,40.33,4.4,116.46,41.46,20.32,3.76,65.54,15-01-2008,Feb-13,2366,1200,3566,0,134,82,0,0,1513,1200,2713,0,134,82,50.92,29.04,57.03,28.66,20.74,72.37,4.5,4.86,100,0,0,0,2366,1200,3566,1513,0,1513,0,0,100,1200,0,0,0,0,0,0,2713
