State_Name,SL_No,District_Name,Total_Projects_Outlay,ApprShare_Center,ApprShare_State,ApprShare_Beneficiary,Rof_Center,Rof_State,Rof_Beneficiary,Rof_Total,ExpReported_Center,ExpReported_State,ExpReported_Beneficiary,ExpReported_Total,PO_IHHL_BPL,PO_IHHL_APL,PO_IHHL_TOTAL,PO_SCW,PO_School_Toilets,PO_Anganwadi_Toilets,PO_RSM,PO_PC,PP_IHHL_BPL,PP_IHHL_APL,PP_IHHL_TOTAL,PP_SCW,PP_School_Toilets,PP_Anganwadi_Toilets,PP_RSM,PP_PC,BPL_Appr.(C+S+B),BPL_Exp.(C+S+B),BPL_(%)_age,School_Appr.(C+S+B),School_Exp.(C+S+B),School_(%)_age,Anganwadi_Appr.(C+S+B),Anganwadi_Exp.(C+S+B),Anganwadi_(%)_age,Sanitary_Complex_Appr.(C+S+B),Sanitary_Complex_Exp.(C+S+B),Sanitary_Complex_(%)_age,IHHL_Objective_BPL,IHHL_Objective_APL,IHHL_Objective_Total,IHHL_BPL_Ach_Total_BPL,IHHL_BPL_Ach_SC,IHHL_BPL_Ach_ST,IHHL_BPL_Ach_General,IHHL_BPL_Ach_PH,IHHL_BPL_Ach_%_SC_ST,IHHL_APL_Ach_Total_APL,IHHL_APL_Ach_SC,IHHL_APL_Ach_ST,IHHL_APL_Ach_Small_Marginal_Farmers,IHHL_APL_Ach_Landless_Labourers,IHHL_APL_Ach_PH,IHHL_APL_Ach_Women_Headed_Households,IHHL_Total
ANDHRA PRADESH,12,MEDAK,9398.96,6237.97,2285.12,875.87,4003.9,1742.5,569.91,6316.31,3491.89,1662.05,495.76,5649.7,13-02-2003,Feb-13,311743,96490,408233,50,5446,1873,10,0,310444,47977,358421,14,4752,814,5932.07,4287.24,72.27,1507.7,923.38,61.24,134.99,43.74,32.4,100,8.4,8.4,311743,96490,408233,310444,68792,16936,216766,0,27.61,47977,200,0,0,0,0,0,358421
ANDHRA PRADESH,13,NALGONDA,4057.62,2623.6,973.78,460.24,2247.46,1390.03,663.87,4301.36,1820.97,646.98,471.93,2939.88,03-03-2000,Feb-13,215058,156761,371819,0,6628,44,10,0,213196,87693,300889,0,6375,300,1794.62,1296.18,72.23,1455.8,1102.6,75.74,2.2,94.98,100,0,38.25,0,215058,156761,371819,213196,29896,13915,166064,0,20.55,87693,0,0,0,0,0,0,300889
ANDHRA PRADESH,14,NELLORE,6774.39,4452.2,1705.65,616.54,3122.5,882.8,498.12,4503.42,1569.15,765.87,322.25,2657.27,11-06-2001,Feb-13,226725,116678,343403,0,6415,1396,10,0,167877,19462,187339,0,5769,473,4406.08,1310.33,29.74,1467.06,1113.93,75.93,105.77,22.49,21.26,0,0,0,226725,116678,343403,167877,25301,12294,130282,0,22.39,19462,0,0,0,0,0,0,187339
ANDHRA PRADESH,15,NIZAMABAD,3563.44,2292.61,788.33,482.5,1939.81,1210.88,2155.82,5306.51,2381.02,1151.4,317.81,3850.23,11-06-2001,Feb-13,225519,9474,234993,0,2477,32,10,0,225519,64759,290278,0,2477,32,2231.44,2673.67,100,495.4,725.24,100,1.6,0,0,0,0,0,225519,9474,234993,225519,30339,12276,182904,0,18.9,64759,0,0,0,0,0,0,290278
ANDHRA PRADESH,16,PRAKASAM,11629.2,7674.58,2891.99,1062.63,4617.5,1000.81,199.74,5818.05,3362.34,999.67,198.88,4560.89,03-03-2000,Feb-13,386617,193493,580110,0,7224,780,10,0,305100,143163,448263,0,7185,770,8947.35,3065.36,34.26,1540.8,1148.94,74.57,43.66,8.49,19.45,0,0,0,386617,193493,580110,305100,55310,19125,230665,0,24.4,143163,0,0,0,0,0,0,448263
ANDHRA PRADESH,17,RANGAREDDI,5820.64,3846.08,1396.59,577.97,2979.96,1594.8,142.82,4717.58,1681.35,1568.93,128.32,3378.6,02-05-2003,Feb-13,212629,71610,284239,0,3726,467,10,0,174460,69147,243607,0,3726,467,3911.58,2597.35,66.4,783,458.23,58.52,26.77,19.54,72.99,0,0,0,212629,71610,284239,174460,29844,9873,134743,0,22.77,69147,0,0,0,0,0,0,243607
ANDHRA PRADESH,18,SRIKAKULAM,11000.93,7286.19,2778.43,936.31,3235.39,1183.51,113.87,4532.77,1465.65,673.93,113.86,2253.44,02-05-2003,Feb-13,302221,225272,527493,40,6398,266,10,0,114492,82270,196762,16,5580,128,8143.71,1323.14,16.25,1553.36,696.15,44.82,18.49,2.53,13.68,80,10.88,13.6,302221,225272,527493,114492,13451,9252,91789,0,19.83,82270,0,0,0,0,0,0,196762
ANDHRA PRADESH,19,VISAKHAPATNAM,7601.64,5006.22,1857.77,737.65,3547.35,3980.8,432.83,7960.98,1693.39,3078.4,399.24,5171.03,02-05-2003,Jan-13,252875,156460,409335,20,5074,0,10,0,178562,75765,254327,20,6378,547,5244.76,3687.91,70.32,1014.8,1117.55,100,30.25,16.31,53.92,40,43.52,100,252875,156460,409335,178562,17088,21758,139682,0,21.75,75765,0,0,0,0,0,0,254327
ANDHRA PRADESH,20,VIZIANAGARAM,5074.86,3369.99,1205.77,499.1,2012.02,855.89,315.26,3183.17,1295.7,839.99,256.1,2391.78,11-06-2001,Feb-13,220051,245678,465729,10,2999,1668,10,0,166474,159984,326458,8,3368,350,3307.45,1572.24,47.54,599.8,470.54,78.45,129.33,7.35,5.68,20,13.91,69.55,220051,245678,465729,166474,24357,10388,130242,0,20.87,159984,0,0,0,0,0,0,326458
ANDHRA PRADESH,21,WARANGAL,6027.11,3819.19,1309.33,898.59,2488.92,1044.29,184.76,3717.97,1449.34,534.32,184.76,2168.42,23-04-2002,Feb-13,330260,138180,468440,0,4122,2157,10,0,359732,345450,705182,0,4122,417,3929.91,1131.18,28.78,870.6,792.42,91.02,168.49,23.76,14.1,0,0,0,330260,138180,468440,359732,30645,15980,113831,0,12.96,345450,0,0,0,0,0,0,705182
