State_Name,SL_No,District_Name,Total_Projects_Outlay,ApprShare_Center,ApprShare_State,ApprShare_Beneficiary,Rof_Center,Rof_State,Rof_Beneficiary,Rof_Total,ExpReported_Center,ExpReported_State,ExpReported_Beneficiary,ExpReported_Total,PO_IHHL_BPL,PO_IHHL_APL,PO_IHHL_TOTAL,PO_SCW,PO_School_Toilets,PO_Anganwadi_Toilets,PO_RSM,PO_PC,PP_IHHL_BPL,PP_IHHL_APL,PP_IHHL_TOTAL,PP_SCW,PP_School_Toilets,PP_Anganwadi_Toilets,PP_RSM,PP_PC,BPL_Appr.(C+S+B),BPL_Exp.(C+S+B),BPL_(%)_age,School_Appr.(C+S+B),School_Exp.(C+S+B),School_(%)_age,Anganwadi_Appr.(C+S+B),Anganwadi_Exp.(C+S+B),Anganwadi_(%)_age,Sanitary_Complex_Appr.(C+S+B),Sanitary_Complex_Exp.(C+S+B),Sanitary_Complex_(%)_age,IHHL_Objective_BPL,IHHL_Objective_APL,IHHL_Objective_Total,IHHL_BPL_Ach_Total_BPL,IHHL_BPL_Ach_SC,IHHL_BPL_Ach_ST,IHHL_BPL_Ach_General,IHHL_BPL_Ach_PH,IHHL_BPL_Ach_%_SC_ST,IHHL_APL_Ach_Total_APL,IHHL_APL_Ach_SC,IHHL_APL_Ach_ST,IHHL_APL_Ach_Small_Marginal_Farmers,IHHL_APL_Ach_Landless_Labourers,IHHL_APL_Ach_PH,IHHL_APL_Ach_Women_Headed_Households,IHHL_Total
ANDHRA PRADESH,1,ADILABAD,7845.08,5210.61,1918.19,716.28,3334.5,1026.28,632.57,4993.35,2233.98,1026.28,561.22,3821.48,247475,148181,395656,0,4462,427,10,0,173582,52431,226013,0,4462,352,0,0,5592.07,2214.94,39.61,989,1229.1,100,30,10.9,36.33,0,0,0,247475,148181,395656,173582,26037,11356,136189,0,21.54,52431,0,0,0,0,0,0,226013
ANDHRA PRADESH,2,ANANTAPUR,6308.72,4059.29,1394.66,854.77,2213.51,1456.5,1331.82,5001.83,1242.57,1456.41,1325.3,4024.28,363314,181335,544649,0,3421,284,10,0,366557,42000,408557,0,4258,302,0,0,3838.47,3016.22,78.58,884.2,745.05,84.26,14.2,11.19,78.8,0,10.41,0,363314,181335,544649,366557,54984,18328,293245,0,20,42000,0,0,0,0,0,0,408557
ANDHRA PRADESH,3,CHITTOOR,7680.84,5036.09,1875.03,769.72,3909.82,1329.78,532.18,5771.78,2164.48,1130.92,532.18,3827.58,296465,236986,533451,0,8171,375,10,0,263538,190905,454443,0,8171,375,11,0,4829.6,2351.93,48.7,1800.86,1323.12,73.47,18.76,18.76,100,0,0,0,296465,236986,533451,263538,41100,7779,214659,0,18.55,190905,0,0,0,0,0,0,454443
ANDHRA PRADESH,4,CUDDAPAH,6440.21,3924.41,1662.14,853.66,2763.6,1332.28,1357.02,5452.9,1680.5,1332,796.67,3809.17,251653,251610,503263,0,6802,277,10,0,237326,124993,362319,0,5078,277,0,0,3835.4,2780.36,72.49,1659.96,656.89,39.57,14.76,3.6,24.39,0,0,0,251653,251610,503263,237326,35599,7120,194607,0,18,124993,0,0,0,0,0,0,362319
ANDHRA PRADESH,5,EAST GODAVARI,9690.38,6324.81,2329.86,1035.71,5302.66,1886.72,1081.32,8270.7,4132.02,1886.18,1062.69,7080.9,370255,191400,561655,50,7004,1164,10,0,343537,191400,534937,49,7004,734,20,0,6674.52,4797.41,71.88,1475.66,1481.44,100,81.16,21.48,26.47,100,86,86,370255,191400,561655,343537,88898,34192,218826,0,35.83,191400,44022,19140,0,0,0,0,534937
ANDHRA PRADESH,6,GUNTUR,12563.94,6298.09,3611.81,2654.04,3986.24,1783.72,698.21,6468.17,2635.73,1783.72,698.21,5117.67,370996,319053,690049,0,5346,215,10,0,269588,85950,355538,0,5026,215,37,0,9644.83,3765.48,39.04,1332.16,983.83,73.85,13.19,9.93,75.28,0,0,0,370996,319053,690049,269588,36435,12604,220549,0,18.19,85950,0,0,0,0,0,0,355538
ANDHRA PRADESH,7,KARIMNAGAR,10849.48,7165.48,2612.85,1071.15,5602.87,1943.23,176.13,7722.23,4970.46,1939.23,176.13,7085.82,365267,219763,585030,0,5848,298,10,0,357666,63025,420691,0,5848,298,13,0,7893.18,5774.18,73.15,1169.6,753.34,64.41,14.9,8.04,53.96,0,0,0,365267,219763,585030,357666,63288,13529,280804,7992,21.48,63025,0,0,0,0,0,0,420691
ANDHRA PRADESH,8,KHAMMAM,5033.95,3296.76,1226.56,510.63,2779.69,732.81,510.65,4023.15,2569.46,732.08,294.02,3595.56,189225,4860,194085,0,6318,521,10,0,190507,4870,195377,0,6318,521,15,10,2990.37,1746.14,58.39,1263.6,1257.6,99.53,31.94,44.28,100,0,0,0,189225,4860,194085,190507,61596,31116,97795,0,48.67,4870,0,0,0,0,0,0,195377
ANDHRA PRADESH,9,KRISHNA,9115.68,5977.79,2174.82,963.07,3883.94,777.11,283.63,4944.68,2156.78,769.49,277.92,3204.19,351572,175991,527563,17,3374,62,10,0,317031,104197,421228,8,3374,171,40,0,6879.66,2279.24,33.13,821.2,429.94,52.36,3.1,0.87,28.06,34,2,5.88,351572,175991,527563,317031,60971,11502,231610,0,22.86,104197,2000,600,0,0,0,0,421228
ANDHRA PRADESH,10,KURNOOL,10196.49,6720.35,2491.52,984.62,4237.66,1719.21,573.54,6530.42,1923.82,1718.37,463.12,4105.32,383478,129956,513434,0,4669,2111,10,0,310945,173773,484718,13,4669,229,49,0,7470.95,2871.96,38.44,1131.5,748.18,66.12,162.8,9.67,5.94,0,0,0,383478,129956,513434,310945,43906,2105,151321,0,14.8,173773,0,0,0,0,0,0,484718
