State_Name,SL_No,District_Name,Sanction_Date,Reported_M_or_Y,Total_Projects_Outlay,ApprShare_Center,ApprShare_State,ApprShare_Beneficiary,Rof_Center,Rof_State,Rof_Beneficiary,Rof_Total,ExpReported_Center,ExpReported_State,ExpReported_Beneficiary,ExpReported_Total,Project_Cost_Lakhs,ApprShare_Central,ApprShare_State,ApprShare_Beneficiary,CompSanc_IHHL_BPL,CompSanc_IHHL_APL,CompSanc_IHHL_TOTAL,CompSanc_IHHL_SCW,CompSanc_School_Toilets,CompSanc_Anganwadi_Toilets,CompSanc_RSM_PC,Sanction_Date,Reported_Month_Year,PO_IHHL_BPL,PO_IHHL_APL,PO_IHHL_TOTAL,PO_SCW,PO_School_Toilets,PO_Anganwadi_Toilets,PO_RSM,PO_PC,PP_IHHL_BPL,PP_IHHL_APL,PP_IHHL_TOTAL,PP_SCW,PP_School_Toilets,PP_Anganwadi_Toilets,PP_RSM,PP_PC,SancAmt_Total,SancAmt_Center_Share,ReleaseAmt_Instal_No,ReleaseAmt_Instal_Part,ReleaseAmt_Date,ReleaseAmt_General,ReleaseAmt_SC,ReleaseAmt_ST,ReleaseAmt_Total,HH_PER-BASE_TOTAL,HH_PER-BASE_SC,HH_PER-BASE_ST,BPL_WT,BPL_WOT,APL_WT,APL_WOT,APL+BPL_WT,APL+BPL_WOT,SCH_WT,SCH_WOT,ANGAN_WT,ANGAN_WOT,SAN_WT,SAN_WOT,Appr_BPL,Exp_BPL,Age_BPL,Appr_School,Exp_School,Age_School,Appr_Angan,Exp_Angan,Age_Angan,Appr_San,Exp_San,Age_San,BPL_Obj,APL_Obj,IHHL_Total,BPL_Total,BPL_Ach_IHHL_SC,BPL_Ach_IHHL_ST,BPL_Ach_IHHL_Genral,BPL_Ach_IHHL_PH,BPL_SC&ST_%,APL_Total,APL_Ach_SC,APL_Ach_ST,APL_Ach_SMF,APL_Ach_LL_WH,APL_Ach_PH,APL_Ach_WHH,IHHL_Total
ANDHRA PRADESH,11,MAHBUBNAGAR,11-06-2001,Mar-13,12463.21,8267.19,3086.64,1109.38,5863.24,1830.56,857.51,8551.3,3099.44,1202.59,857.51,5159.54,12463.21,8267.19,3086.64,1109.38,418559,66032,484591,3,5433,357,10,11-06-2001,Mar-13,418559,66032,484591,3,5433,357,10,0,242169,263280,505449,9,5434,357,15,0,12463.21,8267.19,3,3,17-05-2012,906.04,330.53,62.63,1299.2,622104,71884,112368,116109,415718,40090,50187,156199,465905,1460,1136,38,124,0,0,9734.32,2927.94,30.08,1196.86,1716.16,100,24.32,60.92,100,6,10.75,100,418559,66032,484591,242169,37925,19829,184415,0,23.85,263280,0,0,0,0,0,0,505449
ANDHRA PRADESH,12,MEDAK,13-02-2003,Mar-13,9398.96,6237.97,2285.12,875.87,4003.9,1742.5,569.91,6316.31,4065.73,1662.05,495.76,6223.54,9398.96,6237.97,2285.12,875.87,311743,96490,408233,50,5446,1873,10,13-02-2003,Mar-13,311743,96490,408233,50,5446,1873,10,0,310591,47977,358568,14,4752,1049,10,0,9398.96,6237.97,3,1,17-05-2012,934.51,350.59,41.81,1326.91,439672,101701,30220,93949,311743,22094,11886,116043,323629,1766,1063,375,940,2,0,5932.07,4583.38,77.26,1507.7,1143.08,75.82,134.99,43.74,32.4,100,8.4,8.4,311743,96490,408233,310591,68832,16956,216853,0,27.62,47977,200,0,0,0,0,0,358568
ANDHRA PRADESH,13,NALGONDA,03-03-2000,Mar-13,4057.62,2623.6,973.78,460.24,2247.46,1390.03,663.87,4301.36,1831.69,650.82,474.4,2956.9,4057.62,2623.6,973.78,460.24,215058,156761,371819,0,6628,44,10,03-03-2000,Mar-13,215058,156761,371819,0,6628,44,10,0,224813,87693,312506,0,6487,395,10,10,4057.62,2623.6,3,3,17-05-2012,63.21,24.5,6.03,93.74,599022,40875,14035,151076,214790,103578,129578,254654,344368,1915,1368,588,43,0,0,1794.62,1311.24,73.07,1455.8,1102.6,75.74,2.2,94.98,100,0,38.25,0,215058,156761,371819,224813,29896,13915,166064,0,19.49,87693,0,0,0,0,0,0,312506
ANDHRA PRADESH,14,NELLORE,11-06-2001,Mar-13,6774.39,4452.2,1705.65,616.54,3122.5,882.8,498.12,4503.42,1574.81,767.87,322.25,2664.93,6774.39,4452.2,1705.65,616.54,226725,116678,343403,0,6415,1396,10,11-06-2001,Mar-13,226725,116678,343403,0,6415,1396,10,0,169111,19462,188573,0,5839,476,0,0,6774.39,4452.2,2,3,17-05-2012,433.97,253.66,41.2,728.83,462284,117945,58015,88584,226581,35594,111525,124178,338106,2747,340,559,362,3,0,4406.08,1312.43,29.79,1467.06,1115.33,76.02,105.77,24.95,23.59,0,0,0,226725,116678,343403,169111,25573,12444,131094,0,22.48,19462,0,0,0,0,0,0,188573
ANDHRA PRADESH,15,NIZAMABAD,11-06-2001,Mar-13,3563.44,2292.61,788.33,482.5,1939.81,1210.88,2155.82,5306.51,2381.02,1151.4,317.81,3850.23,3563.44,2292.61,788.33,482.5,225519,9474,234993,0,2477,32,10,11-06-2001,Mar-13,225519,9474,234993,0,2477,32,10,0,225519,64759,290278,0,2477,32,36,0,3563.44,2292.61,3,1,17-05-2012,73.66,23.4,4.74,101.8,477685,57733,15834,123201,225519,119491,9474,242692,234993,1039,1438,401,32,0,0,2231.44,2673.67,100,495.4,725.24,100,1.6,0,0,0,0,0,225519,9474,234993,225519,30339,12276,182904,0,18.9,64759,0,0,0,0,0,0,290278
ANDHRA PRADESH,16,PRAKASAM,03-03-2000,Mar-13,11629.2,7674.58,2891.99,1062.63,4617.5,1000.81,199.74,5818.05,3438.9,999.71,198.88,4637.49,11629.2,7674.58,2891.99,1062.63,386617,193493,580110,0,7224,780,10,03-03-2000,Mar-13,386617,193493,580110,0,7224,780,10,0,306266,143238,449504,0,7195,770,41,0,11629.2,7674.58,3,1,17-05-2012,1054.77,518.72,34.04,1607.53,687083,136917,25639,76962,252004,206763,151354,283725,403358,2188,1070,578,80,0,0,8947.35,3140.36,35.1,1540.8,1148.94,74.57,43.66,8.49,19.45,0,0,0,386617,193493,580110,306266,55543,19218,231505,0,24.41,143238,0,0,0,0,0,0,449504
ANDHRA PRADESH,17,RANGAREDDI,02-05-2003,Mar-13,5820.64,3846.08,1396.59,577.97,2979.96,1594.8,142.82,4717.58,1704.92,1589.21,128.32,3422.44,5820.64,3846.08,1396.59,577.97,212629,71610,284239,0,3726,467,10,02-05-2003,Mar-13,212629,71610,284239,0,3726,467,10,0,174460,69147,243607,0,3726,467,10,0,5820.64,3846.08,3,2,17-05-2012,266.34,114.22,16.07,396.63,378238,76675,24516,110984,170921,68327,28006,179311,198927,796,575,349,466,0,0,3911.58,2597.35,66.4,783,458.23,58.52,26.77,19.54,72.99,0,0,0,212629,71610,284239,174460,29844,9873,134743,0,22.77,69147,0,0,0,0,0,0,243607
ANDHRA PRADESH,18,SRIKAKULAM,02-05-2003,Mar-13,11000.93,7286.19,2778.43,936.31,3235.39,1183.51,113.87,4532.77,1465.95,673.93,113.86,2253.74,11000.93,7286.19,2778.43,936.31,302221,225272,527493,40,6398,266,10,02-05-2003,Mar-13,302221,225272,527493,40,6398,266,10,0,117379,82270,199649,16,5580,128,15,3,11000.93,7286.19,2,4,17-05-2012,782.75,119.16,34.14,936.05,560858,49017,28719,62347,302221,25155,171135,87502,473356,306,1176,17,259,0,1,8143.71,1323.14,16.25,1553.36,696.15,44.82,18.49,2.53,13.68,80,10.88,13.6,302221,225272,527493,117379,13451,9252,91789,0,19.34,82270,0,0,0,0,0,0,199649
ANDHRA PRADESH,19,VISAKHAPATNAM,02-05-2003,Mar-13,7601.64,5006.22,1857.77,737.65,3547.35,3980.8,432.83,7960.98,1704.74,3079.46,399.24,5183.43,7601.64,5006.22,1857.77,737.65,252875,156460,409335,20,5074,0,10,02-05-2003,Mar-13,252875,156460,409335,20,5074,0,10,0,178731,75765,254496,20,6378,559,0,0,7601.64,5006.22,2,4,17-05-2012,608.25,78.89,102.32,789.46,588402,185782,154403,141743,252749,41633,152277,183376,405026,1475,4495,243,0,2,0,5244.76,3694.94,70.45,1014.8,1117.55,100,30.25,16.31,53.92,40,43.52,100,252875,156460,409335,178731,17088,21758,139682,0,21.73,75765,0,0,0,0,0,0,254496
ANDHRA PRADESH,20,VIZIANAGARAM,11-06-2001,Mar-13,5074.86,3369.99,1205.77,499.1,2012.02,855.89,315.26,3183.17,1300.06,843.02,257.41,2400.49,5074.86,3369.99,1205.77,499.1,220051,245678,465729,10,2999,1668,10,11-06-2001,Mar-13,220051,245678,465729,10,2999,1668,10,0,166713,159984,326697,8,3368,350,12,0,,,,,,,,,,475573,49897,42960,90892,193302,14171,177208,105063,370510,559,146,86,0,0,4,3307.45,1580.14,47.78,599.8,470.54,78.45,129.33,7.35,5.68,20,13.91,69.55,220051,245678,465729,166713,24357,10388,130242,0,20.84,159984,0,0,0,0,0,0,326697
