State_Name,District_Name,Project_Objectives_IHHL_BPL,Project_Objectives_IHHL_APL,Project_Objectives_IHHL_TOTAL,Project_Objectives_SCW,Project_Objectives_School_Toilets,Project_Objectives_Anganwadi_Toilets,Project_Objectives_RSM,Project_Objectives_PC,Project_Performance-IHHL_BPL,Project_Performance-IHHL_APL,Project_Performance-IHHL_TOTAL,Project_Performance-SCW,Project_Performance-School_Toilets,Project_Performance-Anganwadi_Toilets,Project_Performance-RSM,Project_Performance-PC
ANDHRA PRADHESH,RANGAREDDI,212629,71610,284239,0,3726,467,10,0,177088,69147,246235,0,3726,467,10,0
ANDHRA PRADHESH,SRIKAKULAM,302221,225272,527493,40,6398,266,10,0,123242,82270,205512,16,5580,128,15,3
ANDHRA PRADHESH,VISAKHAPATNAM,252875,156460,409335,20,5074,0,10,0,178793,75765,254558,20,6378,560,0,0
ANDHRA PRADHESH,VIZIANAGARAM,220051,245678,465729,10,2999,1668,10,0,166750,159984,326734,8,3368,350,12,0
ANDHRA PRADHESH,WARANGAL,330260,138180,468440,0,4122,2157,10,0,359732,345450,705182,0,4122,481,0,0
ANDHRA PRADHESH,WEST GODAVARI,344272,294425,638697,385,4551,216,10,0,319797,294425,614222,837,4626,316,97,0
ARUNACHAL PRADHESH,ANJAW,3232,0,3232,8,44,46,1,0,1490,0,1490,2,48,48,0,0
ARUNACHAL PRADHESH,CHANGLANG,15716,2799,18515,25,384,250,0,0,7295,2450,9745,24,384,228,1,0
ARUNACHAL PRADHESH,DIBANG VALLEY,1085,0,1085,0,102,27,0,0,1088,0,1088,0,40,10,0,0
ARUNACHAL PRADHESH,EAST KAMENG,7016,1280,8296,25,288,216,0,0,5576,1280,6856,2,288,216,0,0
ARUNACHAL PRADHESH,EAST SIANG,8222,4723,12945,25,244,42,6,0,4537,1718,6255,4,244,50,0,0
ARUNACHAL PRADHESH,KURUNG KUMEY,22036,0,22036,30,684,164,0,0,11671,0,11671,3,684,164,0,0
ARUNACHAL PRADHESH,LOHIT,8800,0,8800,26,240,182,0,0,8410,1129,9539,23,240,182,1,0
ARUNACHAL PRADHESH,LOWER DIBANG VALLEY,2366,1200,3566,0,134,82,0,0,1513,1200,2713,0,134,82,0,0
ARUNACHAL PRADHESH,LOWER SUBANSIRI,5766,1164,6930,26,232,119,3,0,4516,1164,5680,19,232,119,3,0
ARUNACHAL PRADHESH,PAPUM PARE,1268,3778,5046,17,140,113,8,0,267,3778,4045,3,140,113,0,0
ARUNACHAL PRADHESH,TAWANG,5478,1210,6688,21,156,91,4,0,4191,1210,5401,13,156,75,1,0
ARUNACHAL PRADHESH,TIRAP,5780,470,6250,25,304,150,6,0,5780,470,6250,18,304,150,0,0
ARUNACHAL PRADHESH,UPPER SIANG,2634,964,3598,15,154,50,4,0,2326,964,3290,14,154,50,0,0
ARUNACHAL PRADHESH,UPPER SUBANSIRI,9045,461,9506,25,154,221,3,0,5872,461,6333,5,156,178,0,0
ARUNACHAL PRADHESH,WEST KAMENG,5644,252,5896,25,306,111,4,0,3744,252,3996,22,306,111,0,0
ARUNACHAL PRADHESH,WEST SIANG,11472,0,11472,25,378,2,0,0,6862,0,6862,5,378,20,0,0
ASSAM,BAGSHA,85697,63785,149482,15,1789,69,3,0,73500,21780,95280,15,1789,69,3,0
ASSAM,BARPETA,150747,93069,243816,0,1806,175,10,0,103579,33545,137124,0,2038,175,0,0
ASSAM,BONGAIGAON,51929,39654,91583,15,1222,59,3,0,5245,8881,14126,0,1252,59,0,0
ASSAM,CACHAR,119931,46293,166224,0,1839,1697,0,0,101328,20693,122021,1,1873,985,2,92
ASSAM,CHIRANG,29956,20899,50855,10,778,38,2,0,15666,2674,18340,3,778,38,2,0
ASSAM,DARRANG,86628,25633,112261,25,673,539,5,0,46085,6448,52533,0,673,243,0,0
ASSAM,DHEMAJI,80854,18546,99400,10,871,230,5,0,58498,15565,74063,10,887,230,5,4
ASSAM,DHUBRI,205324,42052,247376,50,1016,1902,2,0,120855,8790,129645,0,1181,576,4,9
ASSAM,DIBRUGARH,77606,45384,122990,0,969,900,4,0,69914,37030,106944,0,972,559,4,0
ASSAM,GOALPARA,65070,21747,86817,0,1840,951,3,0,55861,11252,67113,1,1840,804,3,4
ASSAM,GOLAGHAT,79743,27031,106774,0,1248,119,6,0,77985,22801,100786,0,1249,122,6,0
ASSAM,HAILAKANDI,49837,12445,62282,0,1140,35,4,0,49837,10570,60407,0,1140,35,4,0
ASSAM,JORHAT,65070,21747,86817,0,1840,951,6,0,53603,21747,75350,0,1852,701,3,1
ASSAM,KAMRUP,85785,52723,138508,0,521,1531,0,0,84725,21386,106111,0,521,975,0,0
ASSAM,KARBI ANGLONG,60953,19293,80246,0,3304,1406,4,0,9678,407,10085,0,2310,216,0,0
ASSAM,KARIMGANJ,78992,15409,94401,14,1051,912,3,0,76200,15409,91609,0,1054,623,1,0
ASSAM,KOKRAJHAR,84830,35087,119917,0,1157,146,3,0,76164,19928,96092,0,1226,146,2,1
ASSAM,LAKHIMPUR,73224,22938,96162,0,1432,276,4,0,60821,3900,64721,0,1432,276,7,3
ASSAM,MARIGAON,60770,105564,166334,0,326,797,3,0,56490,105564,162054,0,505,596,2,0
