State_Name,SL_No,District_Name,Total_Projects_Outlay,ApprShare_Center,ApprShare_State,ApprShare_Beneficiary,Rof_Center,Rof_State,Rof_Beneficiary,Rof_Total,ExpReported_Center,ExpReported_State,ExpReported_Beneficiary,ExpReported_Total,PO_IHHL_BPL,PO_IHHL_APL,PO_IHHL_TOTAL,PO_SCW,PO_School_Toilets,PO_Anganwadi_Toilets,PO_RSM,PO_PC,PP_IHHL_BPL,PP_IHHL_APL,PP_IHHL_TOTAL,PP_SCW,PP_School_Toilets,PP_Anganwadi_Toilets,PP_RSM,PP_PC,BPL_Appr.(C+S+B),BPL_Exp.(C+S+B),BPL_(%)_age,School_Appr.(C+S+B),School_Exp.(C+S+B),School_(%)_age,Anganwadi_Appr.(C+S+B),Anganwadi_Exp.(C+S+B),Anganwadi_(%)_age,Sanitary_Complex_Appr.(C+S+B),Sanitary_Complex_Exp.(C+S+B),Sanitary_Complex_(%)_age,IHHL_BPL_Ach_SC,IHHL_BPL_Ach_ST,IHHL_BPL_Ach_General,IHHL_BPL_Ach_PH,IHHL_BPL_Ach_%_SC_ST,IHHL_APL_Ach_SC,IHHL_APL_Ach_ST,IHHL_APL_Ach_Small_Marginal_Farmers,IHHL_APL_Ach_Landless_Labourers,IHHL_APL_Ach_PH,IHHL_APL_Ach_Women_Headed_Households,Rural_Households,Census_2001_IHHL
UTTAR PRADESH,22,ETAWAH,3550.2,2310.58,848.61,391.01,2318.32,1169,360.94,3848.26,2137.8,1169,355.15,3661.95,94097,223387,317484,44,2925,1223,3,1,94097,155801,249898,44,2925,1223,4,0,1832.18,2701.93,100,500.96,516.61,100,69.62,77.12,100,88,88,100,37669,0,56428,0,40.03,50800,220,6400,980,68,1065,214002,29416
UTTAR PRADESH,23,FAIZABAD,2800.59,1743.82,677.57,379.2,1962.89,1606.82,511.22,4080.93,1706.76,1516.38,342.77,3565.91,103376,105998,209374,10,2085,1140,10,0,101638,94622,196260,10,2085,1140,8,0,1830.67,2818.12,100,361.56,340.39,94.14,57.01,62.01,100,20,20.14,100,25790,0,76968,654,24.66,1136,0,2113,449,183,433,362059,36017
UTTAR PRADESH,24,FARRUKHABAD,4121.39,2650.64,1019.16,451.59,2984.15,2072.97,346.03,5403.15,2888.99,1671.21,309.64,4869.84,120471,54314,174785,35,3143,1227,2,1,120471,54314,174785,35,3143,1227,3,0,2820.05,3821.81,100,574.2,639.22,100,61.36,61.93,100,70,70,100,37587,0,82864,20,31.2,2414,0,5435,1774,214,643,239285,44794
UTTAR PRADESH,25,FATEHPUR,3596.43,2332.75,881.1,382.58,2601.11,1318.12,296.43,4215.66,1881.49,1237.68,293.67,3412.84,104414,202040,306454,15,3938,1548,5,0,99961,135418,235379,15,3938,1548,5,0,2049.25,2556.39,100,656.27,656.27,100,77.4,77.4,100,30,30,100,38984,0,61197,0,38.9,4010,0,540,174,44,32,416615,55186
UTTAR PRADESH,26,FIROZABAD,1308.36,884.5,335.54,88.32,1128.4,367.99,66.28,1562.67,1111.35,367.99,65.36,1544.7,19843,228195,248038,10,3232,963,3,1,19843,161798,181641,10,3232,963,0,0,400.47,933.01,100,500.1,402.52,80.49,48.16,48.15,99.98,20,18,90,6873,0,14005,0,32.86,2985,0,3609,1801,363,516,271428,30381
UTTAR PRADESH,27,GAUTAM BUDDHA NAGAR,1090.5,620.74,324.7,145.06,717.52,256.49,53.68,1027.69,596.81,225.37,54.36,876.54,14574,58357,72931,15,1414,716,1,1,14302,53142,67444,15,1582,716,0,0,243.51,569.35,100,432.17,189.31,43.8,35.81,35.95,100,30,33,100,3575,0,10695,0,22.61,0,0,0,0,0,0,109179,34892
UTTAR PRADESH,28,GHAZIABAD,1561.65,1078.31,417.11,66.23,1150.39,276.39,65.59,1492.37,816.66,242.06,64.31,1123.03,10810,85267,96077,5,3602,1075,5,0,10810,83365,94175,5,1946,1075,2,0,139.98,564.1,100,930.8,271.73,29.19,66.27,66.31,100,10,10,100,5673,0,5137,0,52.48,2447,0,1120,1024,197,264,242727,112203
UTTAR PRADESH,29,GHAZIPUR,5154.82,3292.96,1250.35,611.51,3593.31,2297.08,415.26,6305.66,3123.62,2134.4,414,5672.02,184061,288972,473033,100,3878,1517,10,0,182471,153061,335532,100,3878,1517,10,2,3174.66,4654.68,100,741.67,548.58,73.97,75.86,136.85,100,66.35,80.62,100,95744,0,90455,35,51.41,2830,0,3201,1604,170,487,485939,56393
UTTAR PRADESH,30,GONDA,4888.83,3125.16,1229.45,534.22,3419.05,1301.63,350.45,5071.14,2702.58,1300.96,350.45,4353.99,136500,198080,334580,16,4298,2031,6,2,118593,141759,260352,16,4298,1574,4,2,2958.78,3285.84,100,915.96,725.2,79.17,142.82,94.41,66.1,32,32,100,35831,0,85916,47,29.42,16562,0,4925,1133,232,1089,500060,42701
UTTAR PRADESH,31,GORAKHPUR,7032.97,4555.48,1683.08,794.41,4876.92,3014.28,1595,9486.2,4342.96,2815.9,504.5,7663.37,211033,280101,491134,121,6036,1823,10,0,211010,202482,413492,121,4877,1823,3,0,3838.29,5361.76,100,1175.62,769.98,65.5,91.16,91.17,100,106.85,106.86,100,38048,0,70342,0,18.03,1509,0,0,0,0,0,559062,62471
UTTAR PRADESH,32,HAMIRPUR,3391.22,2224.23,822.06,344.93,2213.48,1785.32,722.9,4721.71,1530.49,1277.21,360.85,3168.55,101382,75310,176692,0,1950,707,4,0,85181,50767,135948,0,1950,707,4,0,2556.02,2821.1,100,334,257.04,76.96,35.36,35.36,100,0,0,0,25138,0,61227,0,29.11,1108,0,849,169,112,151,171971,26337
UTTAR PRADESH,33,HARDOI,7897.01,5253.95,1864.62,778.44,5415.3,4989.94,799.75,11204.98,4760.29,4871.04,798.13,10429.45,199989,231215,431204,5,8478,1978,10,0,199989,212685,412674,5,5627,1978,10,5,3435.73,8700.09,100,1977.36,1015.9,51.38,98.9,101.54,100,10,20,100,79995,0,119994,0,40,1201,0,0,0,0,0,619495,81970
UTTAR PRADESH,34,JALAUN,3114.18,1957.02,812.48,344.68,1718.76,2186.39,370.1,4275.24,1902.54,1127.86,342.33,3372.74,101928,71232,173160,20,2686,873,12,0,90824,57321,148145,20,2700,873,6,0,2112.41,2732.36,100,465.3,401.55,86.3,43.66,43.74,100,40,40.2,100,18028,0,35259,0,19.64,2052,0,1052,344,101,116,216920,44640
UTTAR PRADESH,35,JAUNPUR,8986.42,5931.54,2152.12,902.76,6215.39,3900.16,1069.37,11184.92,4875.38,3460.8,1013.9,9350.08,250000,444693,694693,138,7179,3897,10,0,250924,337719,588643,138,5575,3897,8,8,4568.9,7312.76,100,1577.09,1112.73,70.56,194.86,204.85,100,145.32,145.31,99.99,90340,0,165465,0,35.32,3296,0,7357,2106,87,2476,615793,62663
UTTAR PRADESH,36,JHANSI,2066.57,1340.36,499.06,227.15,1627.88,963.52,282.68,2874.08,1572.13,871.67,276.18,2719.98,58826,78506,137332,20,2808,912,6,0,59119,53683,112802,20,2808,912,6,3,1018.09,1766.79,100,487.2,488.5,100,45.6,48.55,100,40,113.36,100,33063,0,27381,21,54.68,0,0,0,0,0,0,214711,26369
