State_Name,SL_No,District_Name,Total_Projects_Outlay,ApprShare_Center,ApprShare_State,ApprShare_Beneficiary,Rof_Center,Rof_State,Rof_Beneficiary,Rof_Total,ExpReported_Center,ExpReported_State,ExpReported_Beneficiary,ExpReported_Total,PO_IHHL_BPL,PO_IHHL_APL,PO_IHHL_TOTAL,PO_SCW,PO_School_Toilets,PO_Anganwadi_Toilets,PO_RSM,PO_PC,PP_IHHL_BPL,PP_IHHL_APL,PP_IHHL_TOTAL,PP_SCW,PP_School_Toilets,PP_Anganwadi_Toilets,PP_RSM,PP_PC,BPL_Appr.(C+S+B),BPL_Exp.(C+S+B),BPL_(%)_age,School_Appr.(C+S+B),School_Exp.(C+S+B),School_(%)_age,Anganwadi_Appr.(C+S+B),Anganwadi_Exp.(C+S+B),Anganwadi_(%)_age,Sanitary_Complex_Appr.(C+S+B),Sanitary_Complex_Exp.(C+S+B),Sanitary_Complex_(%)_age,IHHL_Objective_BPL,IHHL_Objective_APL,IHHL_Objective_Total,IHHL_BPL_Ach_Total_BPL,IHHL_BPL_Ach_SC,IHHL_BPL_Ach_ST,IHHL_BPL_Ach_General,IHHL_BPL_Ach_PH,IHHL_BPL_Ach_%_SC_ST,IHHL_APL_Ach_Total_APL,IHHL_APL_Ach_SC,IHHL_APL_Ach_ST,IHHL_APL_Ach_Small_Marginal_Farmers,IHHL_APL_Ach_Landless_Labourers,IHHL_APL_Ach_PH,IHHL_APL_Ach_Women_Headed_Households,IHHL_Total,Rural_Households,Census_2001_IHHL
ANDHRA PRADESH,11,MAHBUBNAGAR,12463.21,8267.19,3086.64,1109.38,5863.24,1830.56,857.51,8551.3,3173.49,1229.98,857.51,5260.98,418559,66032,484591,3,5433,357,10,0,247349,263280,510629,9,5434,357,15,0,9734.32,2953.9,30.35,1196.86,1716.16,100,24.32,84.52,100,6,12.75,100,418559,66032,484591,247349,39194,20298,187857,0,24.05,263280,0,0,0,0,0,0,510629,750446,85960
ANDHRA PRADESH,12,MEDAK,9398.96,6237.97,2285.12,875.87,4003.9,1819.5,569.91,6393.31,4634.26,1734.55,508.95,6877.76,311743,96490,408233,50,5446,1873,10,0,315770,47977,363747,27,5017,1297,10,0,5932.07,4834.8,81.5,1507.7,1228.84,81.5,134.99,58.56,43.38,100,18.4,18.4,311743,96490,408233,315770,69732,17714,220199,0,27.69,47977,200,0,0,0,0,0,363747,511576,71449
ANDHRA PRADESH,13,NALGONDA,4057.62,2623.6,973.78,460.24,2247.46,1390.03,663.87,4301.36,1934.41,681.3,493.99,3109.69,215058,156761,371819,0,6628,44,10,0,235418,87693,323111,0,6628,955,10,10,1794.62,1431.01,79.74,1455.8,1107.17,76.05,2.2,94.98,100,0,38.25,0,215058,156761,371819,235418,29896,13915,166092,0,18.61,87693,0,0,0,0,0,0,323111,720569,107110
ANDHRA PRADESH,14,NELLORE,6774.39,4452.2,1705.65,616.54,3122.5,882.8,498.12,4503.42,1684.89,811.47,336.83,2833.19,226725,116678,343403,0,6415,1396,10,0,173928,19462,193390,0,6035,527,0,0,4406.08,1401.53,31.81,1467.06,1172.3,79.91,105.77,24.95,23.59,0,0,0,226725,116678,343403,173928,26408,12788,134732,0,22.54,19462,0,0,0,0,0,0,193390,567914,87984
ANDHRA PRADESH,15,NIZAMABAD,3563.44,2292.61,788.33,482.5,1939.81,1210.88,2155.82,5306.51,2381.02,1151.4,317.81,3850.23,225519,9474,234993,0,2477,32,10,0,225519,64759,290278,0,2477,32,36,0,2231.44,2673.67,100,495.4,725.24,100,1.6,0,0,0,0,0,225519,9474,234993,225519,30339,12276,182904,0,18.9,64759,0,0,0,0,0,0,290278,462799,63145
ANDHRA PRADESH,16,PRAKASAM,11629.2,7674.58,2891.99,1062.63,4617.5,1000.81,199.74,5818.05,3497.6,1000.13,198.88,4696.61,386617,193493,580110,0,7224,780,10,0,309699,143288,452987,0,7234,770,41,0,8947.35,3184.32,35.59,1540.8,1148.94,74.57,43.66,8.49,19.45,0,0,0,386617,193493,580110,309699,56403,19438,233858,0,24.49,143288,0,0,0,0,0,0,452987,692542,93185
ANDHRA PRADESH,17,RANGAREDDI,5820.64,3846.08,1396.59,577.97,2979.96,1594.8,142.82,4717.58,1897.39,1590.1,128.32,3615.81,212629,71610,284239,0,3726,467,10,0,181472,69147,250619,0,3726,467,10,0,3911.58,2597.35,66.4,783,458.23,58.52,26.77,19.54,72.99,0,0,0,212629,71610,284239,181472,31735,10504,139233,0,23.28,69147,0,0,0,0,0,0,250619,352247,47862
ANDHRA PRADESH,18,SRIKAKULAM,11000.93,7286.19,2778.43,936.31,3235.39,1183.51,113.87,4532.77,2078.05,924.11,113.86,3116.03,302221,225272,527493,40,6398,266,10,0,134589,82270,216859,16,5712,128,38,3,8143.71,2105.33,25.85,1553.36,742.35,47.79,18.49,2.53,13.68,80,10.88,13.6,302221,225272,527493,134589,13701,9502,103832,0,17.24,82270,0,0,0,0,0,0,216859,580048,47635
ANDHRA PRADESH,19,VISAKHAPATNAM,7601.64,5006.22,1857.77,737.65,3547.35,3980.8,432.83,7960.98,1765.31,3106.75,399.24,5271.29,252875,156460,409335,20,5074,0,10,0,180513,75765,256278,20,6554,628,0,0,5244.76,3760.49,71.7,1014.8,1117.55,100,30.25,16.87,55.77,40,43.52,100,252875,156460,409335,180513,17118,21966,141429,0,21.65,75765,0,0,0,0,0,0,256278,583474,68708
ANDHRA PRADESH,20,VIZIANAGARAM,5074.86,3369.99,1205.77,499.1,2012.02,855.89,315.26,3183.17,1364.74,844,257.41,2466.15,220051,245678,465729,10,2999,1668,10,0,167271,159984,327255,8,3368,350,12,0,3307.45,1640.91,49.61,599.8,470.54,78.45,129.33,7.35,5.68,20,13.91,69.55,220051,245678,465729,167271,24357,10388,130242,0,20.77,159984,0,0,0,0,0,0,327255,475145,34909
ANDHRA PRADESH,21,WARANGAL,6027.11,3819.19,1309.33,898.59,2488.92,1044.29,184.76,3717.97,1570.18,567.94,184.76,2322.88,330260,138180,468440,0,4122,2157,10,0,359732,345450,705182,0,4122,515,0,0,3929.91,1198.09,30.49,870.6,809.92,93.03,168.49,23.76,14.1,0,0,0,330260,138180,468440,359732,30645,15980,113831,0,12.96,345450,0,0,0,0,0,0,705182,652254,89391
ANDHRA PRADESH,22,WEST GODAVARI,9050.9,5877.01,2264.52,909.37,4280.96,5850,1148.58,11279.54,3769.11,5598.31,1123.37,10490.79,344272,294425,638697,385,4551,216,10,0,323264,294425,617689,837,4722,506,97,0,5595.99,8114,100,1209.6,1366.41,100,19.26,14.58,75.7,281.05,498.54,100,344272,294425,638697,323264,108175,14026,185733,0,37.8,294425,100,20,0,0,0,0,617689,870607,233584
ARUNACHAL PRADESH,1,ANJAW,177.73,124.04,40.39,13.3,93.46,46.78,0,140.24,55.56,29.24,0,84.8,3232,0,3232,8,44,46,1,0,1490,0,1490,2,48,48,0,0,117.93,52.14,44.21,8.8,13.6,100,2.6,1.95,75,16,1.6,10,3232,0,3232,1490,0,1490,0,0,100,0,0,0,0,0,0,0,1490,4060,8180
ARUNACHAL PRADESH,2,CHANGLANG,842.74,590.62,191.87,60.25,446.15,96.22,38.47,580.84,322.16,83.42,38.47,444.05,15716,2799,18515,25,384,250,0,0,7298,2450,9748,24,384,228,1,0,548.48,226.85,41.36,76.8,76.8,100,17.96,22.6,100,50,46.8,93.6,15716,2799,18515,7298,0,7183,114,0,98.42,2450,0,2450,0,0,0,0,9748,24444,9050
ARUNACHAL PRADESH,3,DIBANG VALLEY,90.02,63.88,21.47,4.67,58.87,24.62,4.16,87.65,43.15,12.45,3.58,59.18,1085,0,1085,0,102,27,0,0,1088,0,1088,0,40,20,1,0,34.86,32.64,93.63,32.98,10.8,32.75,2.22,0,0,0,0,0,1085,0,1085,1088,0,1088,0,0,100,0,0,0,0,0,0,0,1088,1297,4181
ARUNACHAL PRADESH,4,EAST KAMENG,440.35,306.8,102.83,30.72,266.78,102.23,8.84,377.85,185.21,94.15,8.84,288.2,7016,1280,8296,25,288,216,0,0,5576,1280,6856,2,288,216,0,0,221.03,143.01,64.7,57.6,90.3,100,18,5.32,29.56,50,2,4,7016,1280,8296,5576,0,5576,0,0,100,1280,0,0,0,0,0,0,6856,11078,2449
ARUNACHAL PRADESH,5,EAST SIANG,457.78,311.35,113.17,33.26,267.43,112.25,0,379.68,184,68.46,0,252.46,8222,4723,12945,25,244,42,6,0,4540,1877,6417,4,244,50,0,0,294.88,162.61,55.14,48.8,47.1,96.52,2.1,1.83,87.14,50,7.67,15.34,8222,4723,12945,4540,0,4540,0,0,100,1877,0,1839,0,0,0,0,6417,12904,1986
ARUNACHAL PRADESH,6,KURUNG KUMEY,1306.32,919.89,303.61,82.82,680.65,121.83,0,802.48,448.99,47.84,0,496.84,22036,0,22036,30,684,164,0,0,11671,0,11671,3,684,164,0,0,819.12,255.83,31.23,196.56,136.8,69.6,8.2,8.2,100,60,3.6,6,22036,0,22036,11671,0,783,0,0,6.71,0,0,0,0,0,0,0,11671,15417,2698
ARUNACHAL PRADESH,7,LOHIT,354.99,243.65,82.74,28.6,228.44,82.12,30.6,341.16,215.52,58.38,23.92,297.82,8800,0,8800,26,240,182,0,0,8560,1129,9689,25,240,182,1,0,145.53,136.29,93.65,48,48,100,9.9,9.26,93.54,52,41.89,80.56,8800,0,8800,8560,0,8560,0,0,100,1129,0,0,0,0,0,0,9689,22412,8180
ARUNACHAL PRADESH,8,LOWER DIBANG VALLEY,112.32,78.68,26.4,7.24,71.37,43.78,5.14,120.29,49.94,23.66,4.5,78.1,2366,1200,3566,0,134,82,0,0,1521,1200,2721,0,134,82,0,0,50.92,41.44,81.38,28.66,20.74,72.37,4.5,4.86,100,0,0,0,2366,1200,3566,1521,0,1521,0,0,100,1200,0,0,0,0,0,0,2721,8626,0
ARUNACHAL PRADESH,9,LOWER SUBANSIRI,362.98,250.78,83.68,28.52,226.68,92.04,18.18,336.9,173.47,91.97,18.18,283.62,5766,1164,6930,26,232,119,3,0,4538,1164,5702,19,232,119,3,0,189.29,153.06,80.86,46.4,46.4,100,5.96,5.26,88.26,52,37.9,72.88,5766,1164,6930,4538,0,4538,0,0,100,1164,0,0,0,0,0,0,5702,12066,8616
ARUNACHAL PRADESH,10,PAPUM PARE,150.1,102.86,37.79,9.45,98.93,69.45,0,168.38,96.16,50.85,0,147.01,1268,3778,5046,17,140,113,8,0,267,3778,4045,3,140,113,0,0,44.04,5.34,12.13,28,58.92,100,5.66,15.8,100,34,3.6,10.59,1268,3778,5046,267,0,267,0,0,100,3778,0,3778,0,0,0,0,4045,13537,6114
ARUNACHAL PRADESH,11,TAWANG,321.84,224.27,72.34,25.23,194.63,66.64,12.45,273.72,138.75,35.64,11.27,185.66,5478,1210,6688,21,156,91,4,0,4191,1210,5401,13,156,75,1,0,178.79,98.67,55.19,31.2,31,99.36,5.36,0.75,13.99,42,28,66.67,5478,1210,6688,4191,0,4191,0,0,100,1210,0,1210,0,0,0,0,5401,7891,5557
ARUNACHAL PRADESH,12,TIRAP,403.07,280.89,95.66,26.52,243.67,74.48,17.42,335.57,269.15,60.88,17.42,347.45,5780,470,6250,25,304,150,6,0,10067,470,10537,25,334,201,0,0,196.44,213.99,100,60.8,65.4,100,7.5,9.96,100,50,31.66,63.32,5780,470,6250,10067,0,10067,0,0,100,470,0,0,0,0,0,0,10537,15458,6355
ARUNACHAL PRADESH,13,UPPER SIANG,200.81,139.74,47.07,14,127.64,53.12,15.07,195.83,120.5,52.51,15.01,188.01,2634,964,3598,15,154,50,4,0,2326,964,3290,14,154,50,0,0,94.52,106.17,100,30.8,30.9,100,2.5,1.16,46.4,30,28,93.33,2634,964,3598,2326,0,2326,0,0,100,964,0,964,0,0,0,0,3290,5652,1899
ARUNACHAL PRADESH,14,UPPER SUBANSIRI,467.27,323.21,108.07,35.99,298.3,121.83,20.23,440.36,275.58,99.11,20.23,394.92,9045,461,9506,25,154,221,3,0,7123,461,7584,5,156,200,0,0,268.99,295.04,100,30.8,32.14,100,21.32,19.7,92.4,50,10,20,9045,461,9506,7123,0,7123,0,0,100,461,0,0,0,0,0,0,7584,12952,4116
ARUNACHAL PRADESH,15,WEST KAMENG,387.3,269.67,91.67,25.96,251.78,89.89,12.14,353.81,174.11,48.82,12.14,235.07,5644,252,5896,25,306,111,4,0,3744,252,3996,22,306,111,0,0,185.94,95.07,51.13,61.2,61.2,100,5.56,5.55,99.82,50,31.2,62.4,5644,252,5896,3744,0,3744,0,0,100,252,0,0,0,0,0,0,3996,12542,5055
ARUNACHAL PRADESH,16,WEST SIANG,625.32,432.02,144.22,49.08,326.09,116.73,13.37,456.19,284.06,96.1,13.37,393.53,11472,0,11472,25,378,2,0,0,6931,34,6965,7,378,20,0,0,373.63,214.22,57.33,75.6,106.29,100,0.1,4.24,100,50,6.01,12.02,11472,0,11472,6931,0,6931,0,0,100,34,0,34,0,0,0,0,6965,15387,9985
ASSAM,1,BAGSHA,3930.13,2769.19,865.85,295.09,2564.67,484,208,3256.67,2607.37,479.28,208,3294.66,85697,63785,149482,15,1789,69,3,0,73500,21780,95280,15,1789,69,3,0,2954.87,2625.23,88.84,376.3,478.6,100,3.46,4.83,100,30,23.2,77.33,85697,63785,149482,73500,13690,31050,28630,130,60.87,21780,0,0,0,0,0,0,95280,188191,0
ASSAM,2,BARPETA,6162.6,4361.74,1348.62,452.24,3876.98,661.11,259.82,4797.91,3264.23,643.38,259.82,4167.43,150747,93069,243816,0,1806,175,10,0,103584,33545,137129,0,2038,175,0,0,5293.17,3514.47,66.4,361.2,384.71,100,8.76,14.07,100,0,0,0,150747,93069,243816,103584,3899,1488,98197,0,5.2,33545,0,0,0,0,0,0,137129,306688,190588
ASSAM,3,BONGAIGAON,2773.12,1950.68,635.65,186.79,1097.58,314.11,15.44,1427.13,121.11,292.44,15.44,428.99,51929,39654,91583,15,1222,59,3,0,5245,8881,14126,0,1252,59,0,0,2040.49,139.58,6.84,302.12,244.19,80.83,2.96,4.13,100,30,0,0,51929,39654,91583,5245,42,27,5176,0,1.32,8881,6,17,0,0,0,0,14126,124874,65431
ASSAM,4,CACHAR,4741.34,3346.64,1045.87,348.83,3015.78,578.47,305.14,3899.39,2330.76,578.47,278.31,3187.54,119931,46293,166224,0,1839,1697,0,0,102812,21070,123882,1,1873,985,2,92,3760.31,2622.93,69.75,367.57,351.8,95.71,126.76,58.34,46.02,0,0.37,0,119931,46293,166224,102812,11501,1461,89850,0,12.61,21070,0,0,0,0,0,0,123882,299194,182908
ASSAM,5,CHIRANG,1522.06,1074.34,340.85,106.87,959,193,30.1,1182.1,775.43,189.48,29.38,994.3,29956,20899,50855,10,778,38,2,0,21556,4252,25808,3,778,38,2,0,1082.56,512.98,47.39,155.6,186.89,100,1.9,2.56,100,20,4.8,24,29956,20899,50855,21556,1939,11321,8094,0,61.51,4252,256,744,0,0,0,0,25808,89657,0
ASSAM,6,DARRANG,3824.75,2681.62,848.25,294.88,2001.08,395.94,147.55,2544.57,1546.96,392.87,147.55,2087.38,86628,25633,112261,25,673,539,5,0,49721,6473,56194,0,673,243,0,0,3208.36,1825.75,56.91,131.6,127.9,97.19,41.76,17.01,40.73,50,0,0,86628,25633,112261,49721,0,0,49721,0,0,6473,0,0,0,0,0,0,56194,175393,120945
ASSAM,7,DHEMAJI,3228.33,2284.89,697.63,245.81,2058.67,353.63,158.36,2570.66,1859.89,353.63,158.36,2371.88,80854,18546,99400,10,871,230,5,0,58498,15565,74063,10,887,230,5,4,2757.39,1951.96,70.79,174.2,280.17,100,11.5,30.99,100,12.5,11.5,92,80854,18546,99400,58498,6564,26894,24282,0,57.2,15565,0,0,0,0,0,0,74063,119112,31371
ASSAM,8,DHUBRI,8964.87,6264.78,1985.57,714.52,4589.66,949.9,406.96,5946.51,3571.4,925.79,390.48,4887.67,205324,42052,247376,50,1016,1902,2,0,130246,8837,139083,0,1181,576,4,9,7353.36,4322.79,58.79,203.2,222.11,100,164.16,47.39,28.87,100,0,0,205324,42052,247376,130246,2118,0,128128,0,1.63,8837,0,0,0,0,0,0,139083,370734,119216
ASSAM,9,DIBRUGARH,3021.96,2136.12,653.02,232.82,1988.97,350.57,16.06,2355.6,1781.16,350.52,11.73,2143.41,77606,45384,122990,0,969,900,4,0,69914,38104,108018,0,972,559,4,0,2515.93,1807.41,71.84,200.64,175.39,87.42,63.76,28.89,45.31,0,0,0,77606,45384,122990,69914,1393,557,33478,0,2.79,38104,0,0,0,0,0,0,108018,218256,133108
ASSAM,10,GOALPARA,2837.73,2002.27,645.89,189.57,1864.88,376.47,163.96,2405.31,1483.15,376.47,159.23,2018.85,65070,21747,86817,0,1840,951,3,0,56142,11252,67394,1,1840,804,3,4,1936.37,1553.24,80.21,521.92,353.57,67.74,54.92,55.21,100,0,0.88,0,65070,21747,86817,56142,3045,9142,43955,0,21.71,11252,0,0,0,0,0,0,67394,168874,82698
ASSAM,11,GOLAGHAT,3133.34,2179.53,676.25,277.56,2026.68,400.98,96.93,2524.59,1927.61,400.98,96.42,2425,79743,27031,106774,0,1248,119,6,0,77985,22801,100786,0,1249,122,6,0,2449.84,2023.33,82.59,249.6,240.27,96.26,5.96,8.21,100,0,0,0,79743,27031,106774,77985,4688,7835,65462,0,16.06,22801,0,0,0,0,0,0,100786,202469,101692
ASSAM,12,HAILAKANDI,1737.93,1215.24,379.49,143.2,1136.71,248.95,130.43,1516.09,1114.93,248.95,130.33,1494.21,49837,12445,62282,0,1140,35,4,0,49837,10570,60407,0,1140,35,4,0,1296.94,1162.71,89.65,228,233.22,100,1.76,2.33,100,0,0,0,49837,12445,62282,49837,5360,826,43651,0,12.41,10570,0,0,0,0,0,0,60407,133055,71986
ASSAM,13,JORHAT,3071.84,2172.7,709.72,189.42,1827.95,376.48,128.12,2332.55,1754.7,376.48,127.25,2258.43,65070,21747,86817,0,1840,951,6,0,56651,21747,78398,0,1852,701,3,1,2244.67,1788.5,79.68,442.51,326.39,73.76,69.32,47.47,68.48,0,0,0,65070,21747,86817,56651,6805,13009,36837,0,34.98,21747,0,0,0,0,0,0,78398,181811,93180
ASSAM,14,KAMRUP,3018.34,2129.06,644.75,244.53,1988.28,366.25,237.69,2592.22,2026.11,366.21,196.59,2588.91,85785,52723,138508,0,521,1531,0,0,84725,21386,106111,0,521,975,0,0,2436.2,2314.88,95.02,102.5,82.6,80.59,114.12,57.25,50.17,0,0,0,85785,52723,138508,84725,0,0,35480,0,0,21386,0,0,0,0,0,0,106111,274590,155852
ASSAM,15,KARBI ANGLONG,3832.82,2713.59,935.24,183.99,1628.37,67.77,42.18,1738.32,910.17,50.97,15.22,976.36,60953,19293,80246,0,3304,1406,4,0,11846,407,12253,0,2450,247,0,0,2372.36,338.62,14.27,998.98,579.4,58,137.56,15.96,11.6,0,0,0,60953,19293,80246,11846,0,11846,0,0,100,407,0,0,0,0,0,0,12253,152873,53477
ASSAM,16,KARIMGANJ,2672.51,1865.25,586.72,220.54,1730.37,343.3,244.49,2318.16,1531.33,343.3,244.49,2119.11,78992,15409,94401,14,1051,912,3,0,76687,15409,92096,0,1054,623,1,0,2148.75,1784.67,83.06,209.76,238.36,100,60.36,43.84,72.63,17.5,0,0,78992,15409,94401,76687,21220,3785,51682,0,32.61,15409,0,0,0,0,0,0,92096,223720,141643
ASSAM,17,KOKRAJHAR,2979.14,2075.89,638.56,264.69,1935.06,394.05,117.58,2446.69,1929.01,390.49,79.37,2398.88,84830,35087,119917,0,1157,146,3,0,76764,20223,96987,0,1226,146,2,1,2245.27,1983.12,88.32,225.86,243.92,100,7.31,7.14,97.67,0,0,0,84830,35087,119917,76764,7741,42457,26313,14,65.39,20223,0,0,0,0,0,0,96987,168278,32373
ASSAM,18,LAKHIMPUR,3024.58,2138.81,646.27,239.5,2007.79,393.74,101.48,2503,1881.5,377.93,101.48,2360.9,73224,22938,96162,0,1432,276,4,0,60821,3900,64721,0,1432,276,7,3,2293.57,1971.94,85.98,286.4,286.7,100,13.8,19.48,100,0,0,0,73224,22938,96162,60821,138,999,59684,0,1.87,3900,0,0,0,0,0,0,64721,181790,77547
ASSAM,19,MARIGAON,1802.88,1249.95,375.72,177.21,1178.34,217.59,150.33,1546.26,1167.47,217.59,147.91,1532.98,60770,105564,166334,0,326,797,3,0,60770,105564,166334,0,505,596,2,0,1618.55,1319.13,81.5,57.06,79.1,100,49.92,24.99,50.06,0,0,0,60770,105564,166334,60770,7330,12890,38579,0,33.27,105564,0,0,0,0,0,0,166334,169007,66198
ASSAM,20,NAGAON,7161.99,5052.42,1594.4,515.17,4478.82,758,481.7,5718.52,4278.69,757.14,398.51,5434.34,168391,60850,229241,0,2468,621,10,0,159819,12336,172155,0,2468,621,0,0,6005.87,4786.58,79.7,622.54,435.78,70,42.06,43.47,100,0,0,0,168391,60850,229241,159819,7583,5791,144916,5,8.37,12336,0,0,0,0,0,0,172155,480208,265792
ASSAM,21,NALBARI,3139.74,2195.41,676.86,267.47,1858.97,337.55,78.35,2274.87,975.7,278.07,78.35,1332.11,88093,127387,215480,0,282,710,5,0,55279,20039,75318,0,282,597,0,0,2634.4,1187.61,45.08,56.4,53.22,94.36,42.76,41.4,96.82,0,0,0,88093,127387,215480,55279,184,0,31649,0,0.33,20039,0,0,0,0,0,0,75318,137639,102544
ASSAM,22,NORTH CACHAR HILLS,1293,913.76,305.08,74.16,502.17,0,16.19,518.36,103.5,0,16.19,119.69,21328,1102,22430,0,810,194,5,0,5398,0,5398,0,235,16,0,0,779.29,80.97,10.39,305.56,27.6,9.03,18.6,0,0,0,0,0,21328,1102,22430,5398,0,5398,0,0,100,0,0,0,0,0,0,0,5398,29499,11354
