State_Name,District_Name,Census_2001_Total_Rural_Households,Census_2011_Total_Rural_Households,Census_2001_IHHL,Census_2011_IHHL,C2011/TRH2011-C2001/TRH2001
ORISSA,JAGATSINGHAPUR,207895,237411,21037,52480,0.119860752
ORISSA,JAJAPUR,328179,378135,43000,75193,0.067826206
ORISSA,JHARSUGUDA,69018,83664,4948,7852,0.022160154
ORISSA,KALAHANDI,304484,377001,15574,31078,0.031285966
ORISSA,KANDHAMAL,136890,155335,9222,9751,-0.004593955
ORISSA,KENDRAPARA,278214,311465,20167,49170,0.085379489
ORISSA,KENDUJHAR,287318,349736,14478,32526,0.042611418
ORISSA,KHORDHA,202360,247940,22528,45385,0.071721969
ORISSA,KORAPUT,241724,283522,12142,23180,0.031526482
ORISSA,MALKANGIRI,102000,126306,4168,7528,0.018738541
ORISSA,MAYURBHANJ,443016,544764,22152,81889,0.10031743
ORISSA,NABARANGAPUR,214990,253461,9363,14740,0.014604041
ORISSA,NAYAGARH,174926,213265,24304,33917,0.020098128
ORISSA,NUAPADA,123352,151921,5135,19333,0.085628095
ORISSA,PURI,255809,317002,25593,49504,0.056115752
ORISSA,RAYAGADA,165245,191615,7171,12703,0.022898223
ORISSA,SAMBALPUR,148284,178958,8794,15326,0.026335089
ORISSA,SONEPUR,109649,140714,5062,11074,0.032533145
ORISSA,SUNDARGARH,263783,310762,15315,26001,0.025609444
PUDUCHERRY,PONDICHERRY,72199,95133,15450,37130,0.176303808
PUNJAB,AMRITSAR,318074,212566,72468,129269,0.380302052
PUNJAB,BARNALA,N/A,74819,0,60002,N/A
PUNJAB,BATHINDA,136966,170853,102816,144022,0.092290518
PUNJAB,FARIDKOT,61865,76262,32349,61057,0.277724912
PUNJAB,FATEHGARH SAHIB,64242,77684,31421,64123,0.336330107
PUNJAB,FEROZEPUR,218349,271536,85588,180933,0.274353556
PUNJAB,GURDASPUR,262697,309898,45188,155114,0.328516765
PUNJAB,HOSHIARPUR,219545,258523,54289,147357,0.322716105
PUNJAB,JALANDHAR,186698,213390,81468,162223,0.323855912
PUNJAB,KAPURTHALA,89242,106870,32110,82685,0.413888853
PUNJAB,LUDHIANA,234680,278323,150787,243564,0.232590997
PUNJAB,MANSA,93729,115334,42458,72554,0.176090486
PUNJAB,MOGA,121818,145530,75232,124316,0.236652327
PUNJAB,MUKTSAR,100676,122957,59750,88889,0.129439507
PUNJAB,NAWANSHAHR,92562,102297,32080,68308,0.321163457
PUNJAB,PATIALA,201550,209720,75960,162148,0.396285033
PUNJAB,RUPNAGAR,130279,96022,36816,54595,0.285974109
PUNJAB,S.A.S NAGAR,N/A,82601,0,50179,N/A
PUNJAB,SANGRUR,242490,215367,124746,169182,0.271114395
PUNJAB,TARN TARAN,N/A,175080,0,113465,N/A
RAJASTHAN,AJMER,231831,294870,24517,41519,0.035050662
RAJASTHAN,ALWAR,386044,505266,34049,74848,0.059936043
RAJASTHAN,BANSWARA,241135,339174,16203,23384,0.001749239
RAJASTHAN,BARAN,142417,191575,11470,14343,-0.005669288
RAJASTHAN,BARMER,286218,416017,17977,40307,0.034079099
RAJASTHAN,BHARATPUR,249270,338086,17857,26485,0.006700875
RAJASTHAN,BHILWARA,308972,394235,25174,41489,0.023762622
RAJASTHAN,BIKANER,155219,242492,32022,71545,0.088738598
RAJASTHAN,BUNDI,137196,177525,10060,14773,0.009890695
RAJASTHAN,CHITTORGARH,304661,268363,21284,25697,0.025893375
RAJASTHAN,CHURU,214132,254921,51249,119892,0.230976728
RAJASTHAN,DAUSA,172922,256059,15159,23695,0.004873465
RAJASTHAN,DHOLPUR,115965,161598,5776,7679,-0.002288979
RAJASTHAN,DUNGARPUR,188307,264893,12626,24214,0.024360411
RAJASTHAN,GANGANAGAR,215715,269763,166588,219300,0.040676105
RAJASTHAN,HANUMANGARH,196951,261513,152568,215127,0.047974965
RAJASTHAN,JAIPUR,371472,502634,43521,110520,0.102723439
RAJASTHAN,JAISALMER,70896,98284,5830,16401,0.08464042
RAJASTHAN,JALOR,225799,302242,18791,34269,0.030162622
RAJASTHAN,JHALAWAR,173773,237475,12145,17062,0.001957534
RAJASTHAN,JHUNJHUNU,246092,301647,60212,137908,0.212510672
RAJASTHAN,JODHPUR,293399,413367,26426,56566,0.046773606
RAJASTHAN,KARAULI,157032,225191,11899,18392,0.005898527
RAJASTHAN,KOTA,125774,149275,13997,18290,0.011238629
RAJASTHAN,NAGAUR,361435,483188,60892,128123,0.096688908
RAJASTHAN,PALI,283585,341833,32844,64035,0.071511188
RAJASTHAN,RAJSAMAND,175312,209743,16133,23612,0.020551362
RAJASTHAN,SAWAI MADHOPUR,144237,206526,13558,18225,-0.005752525
RAJASTHAN,SIKAR,272376,347063,55876,139420,0.196570919
RAJASTHAN,SIROHI,134758,161080,15146,26145,0.049916584
RAJASTHAN,TONK,158185,214114,10851,14696,3.94E-05
RAJASTHAN,UDAIPUR,415623,496777,32685,56486,0.035063962
SIKKIM,EAST SIKKIM,36226,32212,25404,27643,0.156894165
SIKKIM,NORTH SIKKIM,7601,7951,3569,5961,0.280173536
SIKKIM,SOUTH SIKKIM,24774,25476,14553,21617,0.261093731
SIKKIM,WEST SIKKIM,23122,26731,10912,22473,0.368777795
TAMIL NADU,COIMBATORE,365445,237155,59296,78982,0.170782599
TAMIL NADU,CUDDALORE,349119,425191,42252,84489,0.077683709
TAMIL NADU,DHARMAPURI,536728,315563,61249,33840,-0.006878623
TAMIL NADU,DINDIGUL,303586,352757,39443,66645,0.059002442
TAMIL NADU,ERODE,386299,324097,73450,196954,0.41756309
TAMIL NADU,KANCHIPURAM,293007,354476,43399,103803,0.144719143
TAMIL NADU,KANYAKUMARI(NAGERCOIL),131655,86390,79509,71816,0.227380584
TAMIL NADU,KARUR,158365,168830,18089,38855,0.115919276
TAMIL NADU,KRISHNAGIRI,N/A,344807,0,66210,N/A
TAMIL NADU,MADURAI,288534,319126,41380,65964,0.063287414
TAMIL NADU,NAGAPATTINAM,271034,323340,48303,100925,0.133915247
TAMIL NADU,NAMAKKAL,253804,284156,39158,88674,0.157776572
TAMIL NADU,NILGIRIS(UDHAGAMANDALAM),77689,84366,25006,35729,0.101626879
TAMIL NADU,PERAMBALUR,101065,124419,18667,44374,0.171946794
TAMIL NADU,PUDUKKOTTAI,262651,312868,28526,55329,0.068236547
TAMIL NADU,RAMANATHAPURAM,209831,232147,27177,52135,0.095059013
TAMIL NADU,SALEM,401861,454964,40686,66314,0.044512625
TAMIL NADU,SIVAGANGA,207692,236937,24676,56697,0.120480911
TAMIL NADU,THANJAVUR,328021,391191,56053,112661,0.117112515
TAMIL NADU,THENI,126851,158207,17115,39224,0.113006273
TAMIL NADU,THOOTHUKUDI,230027,239037,39871,67404,0.108649624
TAMIL NADU,TIRUCHIRAPPALLI,307655,358811,42385,86190,0.102442073
TAMIL NADU,TIRUNELVELI,354892,422597,54943,140433,0.177493392
TAMIL NADU,TIRUVALLUR,279436,325798,51968,92361,0.097517005
TAMIL NADU,TIRUVANNAMALAI,403461,477106,36505,59505,0.034241087
TAMIL NADU,TIRUVARUR,222931,262679,40791,82723,0.131944594
TAMIL NADU,VELLORE,477525,537022,62590,103369,0.061413925
TAMIL NADU,VILLUPURAM,549389,683022,49065,90241,0.042811891
TAMIL NADU,VIRUDHUNAGAR,247544,266882,26367,38947,0.039419011
TRIPURA,DHALAI,58349,73160,43024,48584,-0.073277521
TRIPURA,NORTH TRIPURA,102579,122693,87339,99984,-0.036519563
TRIPURA,SOUTH TRIPURA,150390,173665,116369,143409,0.051998017
TRIPURA,WEST TRIPURA,228362,238261,173852,203076,0.09102577
UTTAR PRADESH,AGRA,305785,367102,49909,61079,0.003165566
UTTAR PRADESH,ALIGARH,344079,406432,69821,86965,0.011050411
UTTAR PRADESH,ALLAHABAD,551528,696236,76916,108751,0.016738645
UTTAR PRADESH,AMBEDKAR NAGAR,268770,321866,30597,44689,0.025002663
UTTAR PRADESH,AURAIYA,170549,207674,27584,42285,0.041875883
UTTAR PRADESH,AZAMGARH,506147,608684,67852,102020,0.033551578
UTTAR PRADESH,BAGPAT,139809,162811,53873,95767,0.202876795
UTTAR PRADESH,BAHRAICH,353737,549894,48507,57667,-0.032257999
UTTAR PRADESH,BALLIA,352464,437289,61248,97249,0.048619746
UTTAR PRADESH,BALRAMPUR,239358,296167,25025,30347,-0.002084667
UTTAR PRADESH,BANDA,219795,273445,26281,54571,0.07999796
UTTAR PRADESH,BARABANKI,418418,514291,56246,67681,-0.002824791
UTTAR PRADESH,BAREILLY,367976,475575,154066,213134,0.029475733
UTTAR PRADESH,BASTI,300614,358566,36700,47032,0.009083457
UTTAR PRADESH,BIJNOR,375292,476873,165258,240417,0.063807979
UTTAR PRADESH,BUDAUN,398958,501193,125812,105352,-0.105149034
UTTAR PRADESH,BULANDSHAHR,364919,438742,111092,135518,0.004449364
UTTAR PRADESH,CHANDAULI,213262,256548,31608,48150,0.039472118
UTTAR PRADESH,CHITRAKOOT,111534,150784,8582,17843,0.04138969
UTTAR PRADESH,DEORIA,348143,426692,47321,71438,0.031498841
UTTAR PRADESH,ETAH,363123,245668,56956,22513,-0.065210497
UTTAR PRADESH,ETAWAH,170884,214002,29416,42295,0.025498175
UTTAR PRADESH,FAIZABAD,306277,362059,36017,52490,0.027380208
UTTAR PRADESH,FARRUKHABAD,189040,239285,44794,57307,0.002537513
UTTAR PRADESH,FATEHPUR,361137,416615,55186,76370,0.030498917
UTTAR PRADESH,FIROZABAD,220610,271428,30381,31039,-0.023359161
UTTAR PRADESH,GAUTAM BUDDHA NAGAR,113133,109179,34892,56392,0.208093827
UTTAR PRADESH,GHAZIABAD,220347,242727,112203,145152,0.088794694
UTTAR PRADESH,GHAZIPUR,394724,485939,56393,90595,0.04356595
UTTAR PRADESH,GONDA,410183,500060,42701,39374,-0.025363764
UTTAR PRADESH,GORAKHPUR,460589,559062,62471,103886,0.050189113
UTTAR PRADESH,HAMIRPUR,154483,171971,26337,42932,0.079161965
UTTAR PRADESH,HARDOI,505534,619495,81970,107538,0.011444404
UTTAR PRADESH,JALAUN,180892,216920,44640,61478,0.036636157
UTTAR PRADESH,JAUNPUR,506311,615793,62663,95087,0.030650049
UTTAR PRADESH,JHANSI,175858,214711,26369,44527,0.057436242
UTTAR PRADESH,JYOTIBA PHULE NAGAR,175305,234453,54799,94465,0.090324237
UTTAR PRADESH,KANNAUJ,181837,232517,25668,50438,0.075762383
UTTAR PRADESH,KANPUR DEHAT,245525,299000,40789,68913,0.064348539
UTTAR PRADESH,KANPUR NAGAR,231704,291529,41237,68800,0.058024347
UTTAR PRADESH,KANSHIRAM NAGAR,N/A,190576,0,21408,N/A
UTTAR PRADESH,KAUSHAMBI,209361,254926,28865,35156,3.48E-05
UTTAR PRADESH,KUSHINAGAR,417762,506922,41822,78514,0.054774157
UTTAR PRADESH,LAKHIMPUR KHERI,453592,630131,79935,115451,0.006990805
UTTAR PRADESH,LALITPUR,143363,186503,15235,22439,0.014045716
UTTAR PRADESH,LUCKNOW,226914,274212,40561,58835,0.035809727
UTTAR PRADESH,MAHAMAYA NAGAR(HATHRAS),173539,204968,31441,33902,-0.015773985
UTTAR PRADESH,MAHARAJGANJ,317928,400326,33777,66900,0.060872767
UTTAR PRADESH,MAHOBA,98738,129475,14264,23103,0.033972867
UTTAR PRADESH,MAINPURI,211836,262409,31067,35295,-0.012152133
UTTAR PRADESH,MATHURA,227438,290944,40064,57115,0.020155754
UTTAR PRADESH,MAU,206797,252219,29772,44291,0.031638055
UTTAR PRADESH,MEERUT,231969,268299,92454,142479,0.13248371
UTTAR PRADESH,MIRZAPUR,268723,335481,25945,64474,0.095634525
UTTAR PRADESH,MORADABAD,400914,520831,199294,248974,-0.019066907
UTTAR PRADESH,MUZAFFARNAGAR,400864,481057,168645,263896,0.127871545
UTTAR PRADESH,PILIBHIT,206509,297601,66176,105704,0.034736054
UTTAR PRADESH,PRATAPGARH,426967,163574,48683,57279,0.236151266
UTTAR PRADESH,RAE BARELI,462473,561905,58222,75254,0.008033799
UTTAR PRADESH,RAMPUR,217459,291440,120739,164453,0.009050879
UTTAR PRADESH,SAHARANPUR,336708,404600,120580,173416,0.070496524
UTTAR PRADESH,SANT KABIR NAGAR,201774,239614,25862,29528,-0.004941574
UTTAR PRADESH,SANT RAVIDAS NAGAR( BHADOHI),145015,187958,15823,23763,0.01731433
UTTAR PRADESH,SHAHJAHANPUR,324572,418787,94077,112907,-0.020244567
UTTAR PRADESH,SHRAVASTI,185252,180317,23835,18685,-0.025039515
UTTAR PRADESH,SIDDHARTHNAGAR,300496,352651,33113,36631,-0.006321244
UTTAR PRADESH,SITAPUR,531429,710299,65643,84856,-0.004056492
UTTAR PRADESH,SONBHADRA,198656,267308,13964,36667,0.066878988
UTTAR PRADESH,SULTANPUR,485768,595287,56329,78106,0.015248653
UTTAR PRADESH,UNNAO,407323,475335,55831,75254,0.021249693
UTTAR PRADESH,VARANASI,251302,301485,46372,81600,0.086133248
UTTARAKHAND,ALMORA,123380,126476,31424,65214,0.260930699
UTTARAKHAND,BAGESHWAR,50350,55748,11257,29837,0.31163705
UTTARAKHAND,CHAMOLI,66187,72744,13664,34181,0.263435303
UTTARAKHAND,CHAMPAWAT,37549,44386,7805,17916,0.19577906
UTTARAKHAND,DEHRADUN,102785,137051,53391,102175,0.22608189
UTTARAKHAND,HARIDWAR,159357,199642,63588,100292,0.103330627
UTTARAKHAND,NAINITAL,88709,112670,38960,78193,0.254811369
UTTARAKHAND,PAURI(GARHWAL),134970,137102,33071,66160,0.237535609
UTTARAKHAND,PITHORAGARH,85825,95130,17555,45702,0.275872142
UTTARAKHAND,RUDRAPRAYAG,48941,51064,12508,26049,0.254551513
UTTARAKHAND,TEHRI GARHWAL,110684,116988,27096,58644,0.256477152
UTTARAKHAND,UDHAM SINGH NAGAR,134997,194695,53060,110871,0.176414153
UTTARAKHAND,UTTARKASHI,52423,61149,14617,24158,0.11623979
WEST BENGAL,BANKURA,557646,691417,45723,114190,0.083160713
WEST BENGAL,BARDHAMAN,862458,1064226,232640,490739,0.191382248
WEST BENGAL,BIRBHUM,540822,711236,62961,133155,0.070799107
WEST BENGAL,COOCH BEHAR,475138,604602,111026,336643,0.323129943
WEST BENGAL,DAKSHIN DINAJPUR,278991,338680,42121,93272,0.12442241
WEST BENGAL,DARJEELING,212082,234411,99375,122530,0.054145617
WEST BENGAL,HOOGHLY,665263,777386,253793,467152,0.219433962
WEST BENGAL,HOWRAH,399845,388459,143324,233665,0.243068893
WEST BENGAL,JALPAIGURI,554114,620432,152385,230195,0.096017151
WEST BENGAL,MALDA,580336,729770,93040,185109,0.093332973
WEST BENGAL,MIDNAPUR EAST,N/A,978844,0,837779,N/A
WEST BENGAL,MIDNAPUR WEST,N/A,1109569,0,464610,N/A
WEST BENGAL,MURSHIDABAD,991967,1282692,178289,444813,0.167048039
WEST BENGAL,NADIA,736063,879934,322744,627523,0.274674467
WEST BENGAL,NORTH 24 PARAGANAS,802407,988219,428817,780037,0.254922836
WEST BENGAL,PURULIA,406674,496403,17785,30378,0.017463428
WEST BENGAL,SILIGURI,N/A,509709,0,0,N/A
WEST BENGAL,SOUTH 24 PARAGANAS,1080318,1291490,349271,710150,0.226564877
WEST BENGAL,UTTAR DINAJPUR,411308,529416,51883,109212,0.080146203
