Column,URL,File
BPL_Appr.(C+S+B),http://tsc.gov.in/tsc/Report/Financial/RptPercentageFinComponentStatewiseDistrictwise_net.aspx?id=FIN,PercentageFinComponentStatewiseDistrictwise_net.district.csv
BPL_Exp.(C+S+B),http://tsc.gov.in/tsc/Report/Financial/RptPercentageFinComponentStatewiseDistrictwise_net.aspx?id=FIN,PercentageFinComponentStatewiseDistrictwise_net.district.csv
BPL_(%)_age,http://tsc.gov.in/tsc/Report/Financial/RptPercentageFinComponentStatewiseDistrictwise_net.aspx?id=FIN,PercentageFinComponentStatewiseDistrictwise_net.district.csv
School_Appr.(C+S+B),http://tsc.gov.in/tsc/Report/Financial/RptPercentageFinComponentStatewiseDistrictwise_net.aspx?id=FIN,PercentageFinComponentStatewiseDistrictwise_net.district.csv
School_Exp.(C+S+B),http://tsc.gov.in/tsc/Report/Financial/RptPercentageFinComponentStatewiseDistrictwise_net.aspx?id=FIN,PercentageFinComponentStatewiseDistrictwise_net.district.csv
School_(%)_age,http://tsc.gov.in/tsc/Report/Financial/RptPercentageFinComponentStatewiseDistrictwise_net.aspx?id=FIN,PercentageFinComponentStatewiseDistrictwise_net.district.csv
Anganwadi_Appr.(C+S+B),http://tsc.gov.in/tsc/Report/Financial/RptPercentageFinComponentStatewiseDistrictwise_net.aspx?id=FIN,PercentageFinComponentStatewiseDistrictwise_net.district.csv
Anganwadi_Exp.(C+S+B),http://tsc.gov.in/tsc/Report/Financial/RptPercentageFinComponentStatewiseDistrictwise_net.aspx?id=FIN,PercentageFinComponentStatewiseDistrictwise_net.district.csv
Anganwadi_(%)_age,http://tsc.gov.in/tsc/Report/Financial/RptPercentageFinComponentStatewiseDistrictwise_net.aspx?id=FIN,PercentageFinComponentStatewiseDistrictwise_net.district.csv
Sanitary_Complex_Appr.(C+S+B),http://tsc.gov.in/tsc/Report/Financial/RptPercentageFinComponentStatewiseDistrictwise_net.aspx?id=FIN,PercentageFinComponentStatewiseDistrictwise_net.district.csv
Sanitary_Complex_Exp.(C+S+B),http://tsc.gov.in/tsc/Report/Financial/RptPercentageFinComponentStatewiseDistrictwise_net.aspx?id=FIN,PercentageFinComponentStatewiseDistrictwise_net.district.csv
Sanitary_Complex_(%)_age,http://tsc.gov.in/tsc/Report/Financial/RptPercentageFinComponentStatewiseDistrictwise_net.aspx?id=FIN,PercentageFinComponentStatewiseDistrictwise_net.district.csv
IHHL_Objective_BPL,http://tsc.gov.in/tsc/Report/Physical/RptCategoriesIHHLStatewiseDistrictwise_net.aspx?id=PHY,CategoriesIHHLStatewiseDistrictwise_net.district.csv
IHHL_Objective_APL,http://tsc.gov.in/tsc/Report/Physical/RptCategoriesIHHLStatewiseDistrictwise_net.aspx?id=PHY,CategoriesIHHLStatewiseDistrictwise_net.district.csv
IHHL_Objective_Total,http://tsc.gov.in/tsc/Report/Physical/RptCategoriesIHHLStatewiseDistrictwise_net.aspx?id=PHY,CategoriesIHHLStatewiseDistrictwise_net.district.csv
IHHL_BPL_Ach_Total_BPL,http://tsc.gov.in/tsc/Report/Physical/RptCategoriesIHHLStatewiseDistrictwise_net.aspx?id=PHY,CategoriesIHHLStatewiseDistrictwise_net.district.csv
IHHL_BPL_Ach_SC,http://tsc.gov.in/tsc/Report/Physical/RptCategoriesIHHLStatewiseDistrictwise_net.aspx?id=PHY,CategoriesIHHLStatewiseDistrictwise_net.district.csv
IHHL_BPL_Ach_ST,http://tsc.gov.in/tsc/Report/Physical/RptCategoriesIHHLStatewiseDistrictwise_net.aspx?id=PHY,CategoriesIHHLStatewiseDistrictwise_net.district.csv
IHHL_BPL_Ach_General,http://tsc.gov.in/tsc/Report/Physical/RptCategoriesIHHLStatewiseDistrictwise_net.aspx?id=PHY,CategoriesIHHLStatewiseDistrictwise_net.district.csv
IHHL_BPL_Ach_PH,http://tsc.gov.in/tsc/Report/Physical/RptCategoriesIHHLStatewiseDistrictwise_net.aspx?id=PHY,CategoriesIHHLStatewiseDistrictwise_net.district.csv
IHHL_BPL_Ach_%_SC_ST,http://tsc.gov.in/tsc/Report/Physical/RptCategoriesIHHLStatewiseDistrictwise_net.aspx?id=PHY,CategoriesIHHLStatewiseDistrictwise_net.district.csv
IHHL_APL_Ach_Total_APL,http://tsc.gov.in/tsc/Report/Physical/RptCategoriesIHHLStatewiseDistrictwise_net.aspx?id=PHY,CategoriesIHHLStatewiseDistrictwise_net.district.csv
IHHL_APL_Ach_SC,http://tsc.gov.in/tsc/Report/Physical/RptCategoriesIHHLStatewiseDistrictwise_net.aspx?id=PHY,CategoriesIHHLStatewiseDistrictwise_net.district.csv
IHHL_APL_Ach_ST,http://tsc.gov.in/tsc/Report/Physical/RptCategoriesIHHLStatewiseDistrictwise_net.aspx?id=PHY,CategoriesIHHLStatewiseDistrictwise_net.district.csv
IHHL_APL_Ach_Small_Marginal_Farmers,http://tsc.gov.in/tsc/Report/Physical/RptCategoriesIHHLStatewiseDistrictwise_net.aspx?id=PHY,CategoriesIHHLStatewiseDistrictwise_net.district.csv
IHHL_APL_Ach_Landless_Labourers,http://tsc.gov.in/tsc/Report/Physical/RptCategoriesIHHLStatewiseDistrictwise_net.aspx?id=PHY,CategoriesIHHLStatewiseDistrictwise_net.district.csv
IHHL_APL_Ach_PH,http://tsc.gov.in/tsc/Report/Physical/RptCategoriesIHHLStatewiseDistrictwise_net.aspx?id=PHY,CategoriesIHHLStatewiseDistrictwise_net.district.csv
IHHL_APL_Ach_Women_Headed_Households,http://tsc.gov.in/tsc/Report/Physical/RptCategoriesIHHLStatewiseDistrictwise_net.aspx?id=PHY,CategoriesIHHLStatewiseDistrictwise_net.district.csv
IHHL_Total,http://tsc.gov.in/tsc/Report/Physical/RptCategoriesIHHLStatewiseDistrictwise_net.aspx?id=PHY,CategoriesIHHLStatewiseDistrictwise_net.district.csv
