State_Name,SL_No,District_Name,Total_Projects_Outlay,ApprShare_Center,ApprShare_State,ApprShare_Beneficiary,Rof_Center,Rof_State,Rof_Beneficiary,Rof_Total,ExpReported_Center,ExpReported_State,ExpReported_Beneficiary,ExpReported_Total,PO_IHHL_BPL,PO_IHHL_APL,PO_IHHL_TOTAL,PO_SCW,PO_School_Toilets,PO_Anganwadi_Toilets,PO_RSM,PO_PC,PP_IHHL_BPL,PP_IHHL_APL,PP_IHHL_TOTAL,PP_SCW,PP_School_Toilets,PP_Anganwadi_Toilets,PP_RSM,PP_PC,BPL_Appr.(C+S+B),BPL_Exp.(C+S+B),BPL_(%)_age,School_Appr.(C+S+B),School_Exp.(C+S+B),School_(%)_age,Anganwadi_Appr.(C+S+B),Anganwadi_Exp.(C+S+B),Anganwadi_(%)_age,Sanitary_Complex_Appr.(C+S+B),Sanitary_Complex_Exp.(C+S+B),Sanitary_Complex_(%)_age,IHHL_Objective_BPL,IHHL_Objective_APL,IHHL_Objective_Total,IHHL_BPL_Ach_Total_BPL,IHHL_BPL_Ach_SC,IHHL_BPL_Ach_ST,IHHL_BPL_Ach_General,IHHL_BPL_Ach_PH,IHHL_BPL_Ach_%_SC_ST,IHHL_APL_Ach_Total_APL,IHHL_APL_Ach_SC,IHHL_APL_Ach_ST,IHHL_APL_Ach_Small_Marginal_Farmers,IHHL_APL_Ach_Landless_Labourers,IHHL_APL_Ach_PH,IHHL_APL_Ach_Women_Headed_Households,IHHL_Total
ANDHRA PRADESH,1,ADILABAD,7845.08,5210.61,1918.19,716.28,3334.50,1026.28,632.57,4993.35,2693.90,1026.28,619.96,4340.14,247475,148181,395656,0,4462,427,10,0,176642,52431,229073,0,5030,427,0,0,5592.07,2701.63,48.31,989.00,1254.10,100.00,30.00,13.50,45.00,0.00,0.00,0.00,247475,148181,395656,176642,26787,11519,138336,0,21.69,52431,0,0,0,0,0,0,229073
ANDHRA PRADESH,2,ANANTAPUR,6308.72,4059.29,1394.66,854.77,2213.51,1456.50,1331.82,5001.83,1242.57,1456.41,1325.30,4024.28,363314,181335,544649,0,3421,284,10,0,366557,42000,408557,0,4258,302,0,0,3838.47,3016.22,78.58,884.20,745.05,84.26,14.20,11.19,78.80,0.00,10.41,0.00,363314,181335,544649,366557,54984,18328,293245,0,20.00,42000,0,0,0,0,0,0,408557
ANDHRA PRADESH,3,CHITTOOR,7680.84,5036.09,1875.03,769.72,3909.82,1329.78,532.18,5771.78,2315.79,1154.35,532.18,4002.32,296465,236986,533451,0,8171,375,10,0,270810,192330,463140,0,8171,375,11,0,4829.60,2398.58,49.66,1800.86,1333.29,74.04,18.76,18.76,100,0.00,0.00,0.00,296465,236986,533451,270810,42307,8216,220287,0,18.66,192330,0,0,0,0,0,0,463140
ANDHRA PRADESH,4,CUDDAPAH,6440.21,3924.41,1662.14,853.66,2763.60,1332.28,1357.02,5452.90,1704.87,1332.00,796.67,3833.54,251653,251610,503263,0,6802,277,10,0,241087,125493,366580,0,5431,277,0,0,3835.40,2782.95,72.56,1659.96,672.04,40.49,14.76,3.60,24.39,0.00,0.00,0.00,251653,251610,503263,241087,36163,7233,197691,0,18.00,125493,0,0,0,0,0,0,366580
ANDHRA PRADESH,5,EAST GODAVARI,9690.38,6324.81,2329.86,1035.71,5302.66,1886.72,1081.32,8270.70,4360.34,1886.62,1063.13,7310.09,370255,191400,561655,50,7004,1164,10,0,347455,191400,538855,49,7004,781,20,0,6674.52,5024.40,75.28,1475.66,1481.44,100.00,81.16,21.48,26.47,100.00,88.20,88.20,370255,191400,561655,347455,88898,34192,218826,0,35.43,191400,44022,19140,0,0,0,0,538855
ANDHRA PRADESH,6,GUNTUR,12563.94,6298.09,3611.81,2654.04,3986.24,1783.72,698.21,6468.17,2686.87,1783.72,698.21,5168.81,370996,319053,690049,0,5346,215,10,0,269883,85950,355833,0,5116,215,37,0,9644.83,3807.80,39.48,1332.16,983.83,73.85,13.19,9.93,75.28,0.00,0.00,0.00,370996,319053,690049,269883,36475,12617,220791,0,18.19,85950,0,0,0,0,0,0,355833
ANDHRA PRADESH,7,KARIMNAGAR,10849.48,7165.48,2612.85,1071.15,5602.87,1943.23,176.13,7722.23,5203.46,1939.23,176.13,7318.82,365267,219763,585030,0,5848,298,10,0,375457,63025,438482,0,5848,298,13,0,7893.18,5997.35,75.98,1169.60,754.32,64.49,14.90,8.04,53.96,0.00,0.00,0.00,365267,219763,585030,375457,66511,15256,293646,7992,21.78,63025,0,0,0,0,0,0,438482
ANDHRA PRADESH,8,KHAMMAM,5033.95,3296.76,1226.56,510.63,2779.69,732.81,510.65,4023.15,2850.81,732.08,294.02,3876.91,189225,4860,194085,0,6318,521,10,0,199702,4870,204572,0,6318,521,15,10,2990.37,1997.31,66.79,1263.60,1257.60,99.53,31.94,44.28,100.00,0.00,0.00,0.00,189225,4860,194085,199702,63593,32066,102728,0,47.90,4870,0,0,0,0,0,0,204572
ANDHRA PRADESH,9,KRISHNA,9115.68,5977.79,2174.82,963.07,3883.94,777.11,283.63,4944.68,2505.68,769.49,277.92,3553.09,351572,175991,527563,17,3374,62,10,0,319205,104197,423402,8,3374,171,40,0,6879.66,2481.30,36.07,821.20,429.94,52.36,3.10,0.87,28.06,34.00,20.00,58.82,351572,175991,527563,319205,69729,15611,232085,0,26.74,104197,2000,600,0,0,0,0,423402
ANDHRA PRADESH,10,KURNOOL,10196.49,6720.35,2491.52,984.62,4237.66,1719.21,573.54,6530.42,2301.84,1718.37,463.12,4483.33,383478,129956,513434,0,4669,2111,10,0,324141,174773,498914,13,4669,250,49,0,7470.95,2873.88,38.47,1131.50,966.90,85.45,162.80,9.67,5.94,0.00,0.00,0.00,383478,129956,513434,324141,43906,2105,151321,0,14.19,174773,0,0,0,0,0,0,498914
ANDHRA PRADESH,11,MAHBUBNAGAR,12463.21,8267.19,3086.64,1109.38,5863.24,1830.56,857.51,8551.30,3117.33,1210.02,857.51,5184.86,418559,66032,484591,3,5433,357,10,0,244020,263280,507300,9,5434,357,15,0,9734.32,2927.94,30.08,1196.86,1716.16,100.00,24.32,84.52,100.00,6.00,10.75,100.00,418559,66032,484591,244020,38332,20014,185674,0,23.91,263280,0,0,0,0,0,0,507300
ANDHRA PRADESH,12,MEDAK,9398.96,6237.97,2285.12,875.87,4003.90,1742.50,569.91,6316.31,4088.95,1662.05,495.76,6246.76,311743,96490,408233,50,5446,1873,10,0,311591,47977,359568,14,4752,1049,10,0,5932.07,4605.38,77.64,1507.70,1144.30,75.90,134.99,43.74,32.40,100.00,8.40,8.40,311743,96490,408233,311591,69002,17021,217618,0,27.61,47977,200,0,0,0,0,0,359568
ANDHRA PRADESH,13,NALGONDA,4057.62,2623.60,973.78,460.24,2247.46,1390.03,663.87,4301.36,1848.34,656.78,478.23,2983.35,215058,156761,371819,0,6628,44,10,0,235390,87693,323083,0,6507,788,10,10,1794.62,1334.68,74.37,1455.80,1102.60,75.74,2.20,94.98,100.00,0.00,38.25,0.00,215058,156761,371819,235390,29896,13915,166064,0,18.61,87693,0,0,0,0,0,0,323083
ANDHRA PRADESH,14,NELLORE,6774.39,4452.20,1705.65,616.54,3122.50,882.80,498.12,4503.42,1577.31,768.07,322.25,2667.63,226725,116678,343403,0,6415,1396,10,0,170234,19462,189696,0,5839,476,0,0,4406.08,1312.43,29.79,1467.06,1116.00,76.07,105.77,24.95,23.59,0.00,0.00,0.00,226725,116678,343403,170234,25740,12519,131975,0,22.47,19462,0,0,0,0,0,0,189696
ANDHRA PRADESH,15,NIZAMABAD,3563.44,2292.61,788.33,482.50,1939.81,1210.88,2155.82,5306.51,2381.02,1151.40,317.81,3850.23,225519,9474,234993,0,2477,32,10,0,225519,64759,290278,0,2477,32,36,0,2231.44,2673.67,100.00,495.40,725.24,100.00,1.60,0.00,0.00,0.00,0.00,0.00,225519,9474,234993,225519,30339,12276,182904,0,18.90,64759,0,0,0,0,0,0,290278
ANDHRA PRADESH,16,PRAKASAM,11629.20,7674.58,2891.99,1062.63,4617.50,1000.81,199.74,5818.05,3440.57,999.84,198.88,4639.29,386617,193493,580110,0,7224,780,10,0,306666,143238,449904,0,7234,770,41,0,8947.35,3140.36,35.10,1540.80,1148.94,74.57,43.66,8.49,19.45,0.00,0.00,0.00,386617,193493,580110,306666,55616,19243,231807,0,24.41,143238,0,0,0,0,0,0,449904
ANDHRA PRADESH,17,RANGAREDDI,5820.64,3846.08,1396.59,577.97,2979.96,1594.80,142.82,4717.58,1753.40,1590.10,128.32,3471.82,212629,71610,284239,0,3726,467,10,0,174857,69147,244004,0,3726,467,10,0,3911.58,2597.35,66.40,783.00,458.23,58.52,26.77,19.54,72.99,0.00,0.00,0.00,212629,71610,284239,174857,29951,9908,134998,0,22.80,69147,0,0,0,0,0,0,244004
ANDHRA PRADESH,18,SRIKAKULAM,11000.93,7286.19,2778.43,936.31,3235.39,1183.51,113.87,4532.77,1468.12,674.56,113.86,2256.54,302221,225272,527493,40,6398,266,10,0,119565,82270,201835,16,5580,128,15,3,8143.71,1325.95,16.28,1553.36,696.15,44.82,18.49,2.53,13.68,80.00,10.88,13.60,302221,225272,527493,119565,13451,9252,91789,0,18.99,82270,0,0,0,0,0,0,201835
ANDHRA PRADESH,19,VISAKHAPATNAM,7601.64,5006.22,1857.77,737.65,3547.35,3980.80,432.83,7960.98,1705.65,3083.57,399.24,5188.45,252875,156460,409335,20,5074,0,10,0,178770,75765,254535,20,6378,560,0,0,5244.76,3694.94,70.45,1014.80,1117.55,100.00,30.25,16.31,53.92,40.00,43.52,100.00,252875,156460,409335,178770,17088,21961,139721,0,21.84,75765,0,0,0,0,0,0,254535
ANDHRA PRADESH,20,VIZIANAGARAM,5074.86,3369.99,1205.77,499.10,2012.02,855.89,315.26,3183.17,1300.36,843.10,257.41,2400.86,220051,245678,465729,10,2999,1668,10,0,166731,159984,326715,8,3368,350,12,0,3307.45,1580.14,47.78,599.80,470.54,78.45,129.33,7.35,5.68,20.00,13.91,69.55,220051,245678,465729,166731,24357,10388,130242,0,20.84,159984,0,0,0,0,0,0,326715
ANDHRA PRADESH,21,WARANGAL,6027.11,3819.19,1309.33,898.59,2488.92,1044.29,184.76,3717.97,1494.92,547.57,184.76,2227.25,330260,138180,468440,0,4122,2157,10,0,359732,345450,705182,0,4122,479,0,0,3929.91,1131.18,28.78,870.60,809.92,93.03,168.49,23.76,14.10,0.00,0.00,0.00,330260,138180,468440,359732,30645,15980,113831,0,12.96,345450,0,0,0,0,0,0,705182
ANDHRA PRADESH,22,WEST GODAVARI,9050.90,5877.01,2264.52,909.37,4280.96,5850.00,1148.58,11279.54,3722.86,5437.70,1123.37,10283.92,344272,294425,638697,385,4551,216,10,0,319677,294425,614102,837,4576,316,97,0,5595.99,7955.84,100.00,1209.60,1335.41,100.00,19.26,14.58,75.70,281.05,498.54,100.00,344272,294425,638697,319677,108175,14026,185733,0,38.23,294425,100,20,0,0,0,0,614102
ARUNACHAL PRADESH,1,ANJAW,177.73,124.04,40.39,13.30,93.46,46.78,0.00,140.24,55.56,29.24,0.00,84.80,3232,0,3232,8,44,46,1,0,1490,0,1490,2,48,48,0,0,117.93,52.14,44.21,8.80,13.60,100.00,2.60,1.95,75.00,16.00,1.60,10.0,3232,0,3232,1490,0,1490,0,0,100.00,0,0,0,0,0,0,0,1490
ARUNACHAL PRADESH,2,CHANGLANG,842.74,590.62,191.87,60.25,446.15,96.22,38.47,580.84,316.16,73.38,38.47,428.01,15716,2799,18515,25,384,250,0,0,7295,2450,9745,24,384,228,1,0,548.48,226.85,41.36,76.80,76.80,100,17.96,22.60,100.00,50.00,40.80,81.60,15716,2799,18515,7295,0,7181,114,0,98.44,2450,0,2450,0,0,0,0,9745
ARUNACHAL PRADESH,3,DIBANG VALLEY,90.02,63.88,21.47,4.67,58.87,24.62,4.16,87.65,37.45,12.45,3.58,53.48,1085,0,1085,0,102,27,0,0,1088,0,1088,0,40,10,0,0,34.86,32.64,93.63,32.98,10.80,32.75,2.22,0.00,0.00,0.00,0.00,0.00,1085,0,1085,1088,0,1088,0,0,100.00,0,0,0,0,0,0,0,1088
ARUNACHAL PRADESH,4,EAST KAMENG,440.35,306.80,102.83,30.72,266.78,92.23,8.84,367.85,185.21,43.96,8.84,238.01,7016,1280,8296,25,288,216,0,0,4626,1280,5906,2,288,216,0,0,221.03,92.82,41.99,57.60,90.30,100.00,18.00,5.32,29.56,50.00,2.00,4.00,7016,1280,8296,4626,0,4626,0,0,100.00,1280,0,0,0,0,0,0,5906
ARUNACHAL PRADESH,5,EAST SIANG,457.78,311.35,113.17,33.26,267.43,112.25,0.00,379.68,172.60,64.15,0.00,236.75,8222,4723,12945,25,244,42,6,0,4537,1718,6255,4,244,50,0,0,294.88,146.90,49.82,48.80,47.10,96.52,2.10,1.83,87.14,50.00,7.67,15.34,8222,4723,12945,4537,0,4537,0,0,100.00,1718,0,1680,0,0,0,0,6255
ARUNACHAL PRADESH,6,KURUNG KUMEY,1306.32,919.89,303.61,82.82,680.65,121.83,0.00,802.48,448.99,47.84,0.00,496.84,22036,0,22036,30,684,164,0,0,11671,0,11671,3,684,164,0,0,819.12,255.83,31.23,196.56,136.80,69.60,8.20,8.20,100,60.00,3.60,6.00,22036,0,22036,11671,0,783,0,0,6.71,0,0,0,0,0,0,0,11671
ARUNACHAL PRADESH,7,LOHIT,354.99,243.65,82.74,28.60,228.44,82.12,30.60,341.16,210.12,50.45,23.00,283.57,8800,0,8800,26,240,182,0,0,8410,1129,9539,23,240,182,1,0,145.53,126.98,87.25,48.00,48.00,100,9.90,9.26,93.54,52.00,37.89,72.87,8800,0,8800,8410,0,8410,0,0,100.00,1129,0,0,0,0,0,0,9539
ARUNACHAL PRADESH,8,LOWER DIBANG VALLEY,112.32,78.68,26.40,7.24,71.37,43.78,4.40,119.55,44.04,21.27,3.76,69.07,2366,1200,3566,0,134,82,0,0,1513,1200,2713,0,134,82,0,0,50.92,32.57,63.96,28.66,20.74,72.37,4.50,4.86,100.00,0.00,0.00,0.00,2366,1200,3566,1513,0,1513,0,0,100.00,1200,0,0,0,0,0,0,2713
ARUNACHAL PRADESH,9,LOWER SUBANSIRI,362.98,250.78,83.68,28.52,226.68,92.04,16.16,334.88,170.11,90.70,16.16,276.96,5766,1164,6930,26,232,119,3,0,4516,1164,5680,19,232,119,3,0,189.29,147.60,77.98,46.40,46.40,100,5.96,5.26,88.26,52.00,36.70,70.58,5766,1164,6930,4516,0,4516,0,0,100.00,1164,0,0,0,0,0,0,5680
