State_Name,SL_No,District_Name,Total_Projects_Outlay,ApprShare_Center,ApprShare_State,ApprShare_Beneficiary,Rof_Center,Rof_State,Rof_Beneficiary,Rof_Total,ExpReported_Center,ExpReported_State,ExpReported_Beneficiary,ExpReported_Total,PO_IHHL_BPL,PO_IHHL_APL,PO_IHHL_TOTAL,PO_SCW,PO_School_Toilets,PO_Anganwadi_Toilets,PO_RSM,PO_PC,PP_IHHL_BPL,PP_IHHL_APL,PP_IHHL_TOTAL,PP_SCW,PP_School_Toilets,PP_Anganwadi_Toilets,PP_RSM,PP_PC,BPL_Appr.(C+S+B),BPL_Exp.(C+S+B),BPL_(%)_age,School_Appr.(C+S+B),School_Exp.(C+S+B),School_(%)_age,Anganwadi_Appr.(C+S+B),Anganwadi_Exp.(C+S+B),Anganwadi_(%)_age,Sanitary_Complex_Appr.(C+S+B),Sanitary_Complex_Exp.(C+S+B),Sanitary_Complex_(%)_age,IHHL_BPL_Ach_SC,IHHL_BPL_Ach_ST,IHHL_BPL_Ach_General,IHHL_BPL_Ach_PH,IHHL_BPL_Ach_%_SC_ST,IHHL_APL_Ach_SC,IHHL_APL_Ach_ST,IHHL_APL_Ach_Small_Marginal_Farmers,IHHL_APL_Ach_Landless_Labourers,IHHL_APL_Ach_PH,IHHL_APL_Ach_Women_Headed_Households,Rural_Households,Census_2001_IHHL
ANDHRA PRADESH,13,NALGONDA,4057.62,2623.60,973.78,460.24,2247.46,1390.03,663.87,4301.36,1946.29,681.72,494.26,3122.26,215058,156761,371819,0,6628,44,10,0,235448,87693,323141,0,6628,955,10,10,1794.62,1432.66,79.83,1455.80,1107.17,76.05,2.20,94.98,100.00,0.00,38.25,0.00,29896,13915,166122,0,18.61,0,0,0,0,0,0,720569,107110
ANDHRA PRADESH,14,NELLORE,6774.39,4452.20,1705.65,616.54,3122.50,882.80,498.12,4503.42,1689.28,813.87,336.83,2839.98,226725,116678,343403,0,6415,1396,10,0,176186,19462,195648,0,6182,567,0,0,4406.08,1401.53,31.81,1467.06,1176.95,80.23,105.77,24.95,23.59,0.00,0.00,0.00,26890,12923,136373,0,22.60,0,0,0,0,0,0,567914,87984
ANDHRA PRADESH,15,NIZAMABAD,3563.44,2292.61,788.33,482.50,1939.81,1210.88,2155.82,5306.51,2381.02,1151.40,317.81,3850.23,225519,9474,234993,0,2477,32,10,0,225519,64759,290278,0,2477,32,36,0,2231.44,2673.67,100.00,495.40,725.24,100.00,1.60,0.00,0.00,0.00,0.00,0.00,30339,12276,182904,0,18.90,0,0,0,0,0,0,462799,63145
ANDHRA PRADESH,16,PRAKASAM,11629.20,7674.58,2891.99,1062.63,4617.50,1000.81,199.74,5818.05,3680.21,1000.33,198.88,4879.42,386617,193493,580110,0,7224,780,10,0,313786,143298,457084,0,7234,770,41,0,8947.35,3364.71,37.61,1540.80,1148.94,74.57,43.66,8.49,19.45,0.00,0.00,0.00,57493,19518,236775,0,24.54,0,0,0,0,0,0,692542,93185
ANDHRA PRADESH,17,RANGAREDDI,5820.64,3846.08,1396.59,577.97,2979.96,1594.80,142.82,4717.58,1958.33,1590.10,128.32,3676.75,212629,71610,284239,0,3726,467,10,0,181878,69147,251025,0,3726,467,10,0,3911.58,2597.35,66.40,783.00,458.23,58.52,26.77,19.54,72.99,0.00,0.00,0.00,31844,10540,139494,0,23.30,0,0,0,0,0,0,352247,47862
ANDHRA PRADESH,18,SRIKAKULAM,11000.93,7286.19,2778.43,936.31,3235.39,1183.51,113.87,4532.77,2209.19,980.15,113.86,3303.20,302221,225272,527493,40,6398,266,10,0,138592,82270,220862,16,5712,128,38,3,8143.71,2292.51,28.15,1553.36,742.35,47.79,18.49,2.53,13.68,80.00,10.88,13.60,13701,9502,103832,0,16.74,0,0,0,0,0,0,580048,47635
ANDHRA PRADESH,19,VISAKHAPATNAM,7601.64,5006.22,1857.77,737.65,3547.35,3980.80,432.83,7960.98,1776.06,3109.43,399.24,5284.73,252875,156460,409335,20,5074,0,10,0,182139,75765,257904,20,6599,669,0,0,5244.76,3760.49,71.70,1014.80,1117.55,100.00,30.25,16.87,55.77,40.00,43.52,100.00,17118,21966,143055,0,21.46,0,0,0,0,0,0,583474,68708
ANDHRA PRADESH,20,VIZIANAGARAM,5074.86,3369.99,1205.77,499.10,2012.02,855.89,315.26,3183.17,1408.47,844.74,257.41,2510.63,220051,245678,465729,10,2999,1668,10,0,168497,159984,328481,8,3368,357,12,0,3307.45,1681.63,50.84,599.80,470.54,78.45,129.33,7.35,5.68,20.00,13.91,69.55,24357,10388,130242,0,20.62,0,0,0,0,0,0,475145,34909
ANDHRA PRADESH,21,WARANGAL,6027.11,3819.19,1309.33,898.59,2488.92,1044.29,184.76,3717.97,1667.29,609.71,184.76,2461.76,330260,138180,468440,0,4122,2157,10,0,359732,345450,705182,0,4122,538,0,0,3929.91,1322.94,33.66,870.60,822.52,94.48,168.49,23.76,14.10,0.00,0.00,0.00,30645,15980,113831,0,12.96,0,0,0,0,0,0,652254,89391
ANDHRA PRADESH,22,WEST GODAVARI,9050.90,5877.01,2264.52,909.37,4280.96,5850.00,1148.58,11279.54,3990.86,5598.31,1123.37,10712.54,344272,294425,638697,385,4551,216,10,0,323264,294425,617689,837,4732,518,97,0,5595.99,8313.48,100.00,1209.60,1376.51,100.00,19.26,17.78,92.32,281.05,498.54,100.00,108175,14026,185733,0,37.80,100,20,0,0,0,0,870607,233584
ARUNACHAL PRADESH,1,ANJAW,177.73,124.04,40.39,13.30,93.46,46.78,0.00,140.24,81.00,29.24,0.00,110.24,3232,0,3232,8,44,46,1,0,1490,0,1490,2,48,48,0,0,117.93,72.48,61.46,8.80,13.60,100.00,2.60,1.95,75.00,16.00,4.00,25.00,0,1490,0,0,100.00,0,0,0,0,0,0,4060,8180
ARUNACHAL PRADESH,2,CHANGLANG,842.74,590.62,191.87,60.25,446.15,96.22,38.47,580.84,397.76,91.52,38.47,527.75,15716,2799,18515,25,384,250,0,0,7536,2670,10206,24,384,248,1,0,548.48,284.25,51.83,76.80,76.80,100,17.96,22.60,100.00,50.00,46.80,93.60,0,7422,114,0,98.49,0,2670,0,0,0,0,24444,9050
ARUNACHAL PRADESH,3,DIBANG VALLEY,90.02,63.88,21.47,4.67,58.87,24.62,4.16,87.65,50.69,15.96,3.58,70.24,1085,0,1085,0,102,27,0,0,1088,0,1088,0,40,27,1,0,34.86,35.29,100.00,32.98,10.80,32.75,2.22,2.70,100.00,0.00,0.00,0.00,0,1088,0,0,100.00,0,0,0,0,0,0,1297,4181
ARUNACHAL PRADESH,4,EAST KAMENG,440.35,306.80,102.83,30.72,266.78,102.23,8.84,377.85,249.54,94.15,8.84,352.53,7016,1280,8296,25,288,216,0,0,5576,1280,6856,2,288,216,0,0,221.03,189.14,85.57,57.60,90.30,100.00,18.00,12.32,68.44,50.00,3.20,6.40,0,5576,0,0,100.00,0,0,0,0,0,0,11078,2449
ARUNACHAL PRADESH,5,EAST SIANG,457.78,311.35,113.17,33.26,267.43,112.25,0.00,379.68,232.41,82.15,0.00,314.56,8222,4723,12945,25,244,42,6,0,4674,1945,6619,8,244,50,0,0,294.88,198.92,67.46,48.80,48.29,98.95,2.10,1.93,91.90,50.00,12.99,25.98,0,4674,0,0,100.00,0,1907,0,0,0,0,12904,1986
