Date,State_Name,SL_No,District_Name,Sanction_Date,Reported_Month_Year,PO_IHHL_BPL,PO_IHHL_APL,PO_IHHL_TOTAL,PO_SCW,PO_School_Toilets,PO_Anganwadi_Toilets,PO_RSM,PO_PC,PP_IHHL_BPL,PP_IHHL_APL,PP_IHHL_TOTAL,PP_SCW,PP_School_Toilets,PP_Anganwadi_Toilets,PP_RSM,PP_PC
03-12-2012,MIZORAM,1,AIZAWL,23-11-2005,Oct-12,16525,3497,20022,60,1025,454,5,0,9922,3004,12926,59,634,320,0,0
03-12-2012,MIZORAM,2,CHAMPHAI,23-11-2005,Nov-12,11077,1949,13026,54,1097,282,3,0,11077,1949,13026,46,726,267,0,0
03-12-2012,MIZORAM,3,KOLASIB,23-11-2005,Nov-12,8833,720,9553,20,360,97,3,0,8664,300,8964,21,242,97,0,0
03-12-2012,MIZORAM,4,LAWNGTLAI,15-07-2005,Oct-12,16544,2773,19317,149,908,141,2,0,16544,2773,19317,149,396,94,0,0
03-12-2012,MIZORAM,5,LUNGLEI,15-07-2005,Nov-12,19280,4665,23945,150,1287,218,3,0,17229,4665,21894,152,628,128,0,0
03-12-2012,MIZORAM,6,MAMIT,02-05-2003,Oct-12,5459,2000,7459,50,734,222,0,0,5334,2000,7334,46,352,201,0,0
03-12-2012,MIZORAM,7,SAIHA,20-02-2003,Oct-12,7238,567,7805,0,214,99,2,0,5917,567,6484,0,169,10,0,0
03-12-2012,MIZORAM,8,SERCHHIP,15-07-2005,Nov-12,4947,2804,7751,77,280,117,2,0,4361,2804,7165,77,80,92,0,0
03-12-2012,MIZORAM,8,Total,,,89903,18975,108878,560,5905,1630,20,0,79048,18062,97110,550,3227,1209,0,0
03-12-2012,NAGALAND,1,DIMAPUR,10-10-2000,Oct-12,28927,3331,32258,0,450,215,3,0,19618,2972,22590,8,328,186,1,0
03-12-2012,NAGALAND,2,KIPHIRE,04-08-2010,Oct-12,14316,78,14394,10,194,77,4,0,0,52,52,0,0,0,0,0
03-12-2012,NAGALAND,3,KOHIMA,22-03-2001,Oct-12,25610,13063,38673,189,365,184,3,0,23889,9226,33115,178,285,184,2,0
03-12-2012,NAGALAND,4,LONGLENG,04-08-2010,Oct-12,6438,0,6438,8,26,40,2,0,0,0,0,0,0,0,0,0
03-12-2012,NAGALAND,5,MOKOKCHUNG,22-03-2001,Oct-12,11000,2312,13312,10,430,110,2,0,10325,2226,12551,5,250,135,0,0
03-12-2012,NAGALAND,6,MON,20-02-2006,Oct-12,20631,7839,28470,17,368,99,2,0,11627,5632,17259,8,214,81,2,0
03-12-2012,NAGALAND,7,PEREN,31-07-2006,Oct-12,9018,2325,11343,6,95,148,3,0,6695,1752,8447,3,178,102,1,0
03-12-2012,NAGALAND,8,PHEK,20-01-2007,Oct-12,18742,1160,19902,11,155,89,2,0,16141,938,17079,7,292,73,2,0
03-12-2012,NAGALAND,9,TUENSANG,20-01-2007,Oct-12,13027,0,13027,5,214,81,3,0,9269,0,9269,5,220,52,1,0
03-12-2012,NAGALAND,10,WOKHA,31-07-2006,Oct-12,11813,1146,12959,7,134,196,3,0,7266,938,8204,5,60,44,1,0
03-12-2012,NAGALAND,11,ZUNHEBOTO,23-04-2002,Oct-12,20570,0,20570,12,541,63,2,0,13855,0,13855,1,358,148,1,0
03-12-2012,NAGALAND,11,Total,,,180092,31254,211346,275,2972,1302,29,0,118685,23736,142421,220,2185,1005,11,0
03-12-2012,ORISSA,1,ANGUL,24-09-2004,Oct-12,109581,77228,186809,24,2040,795,10,0,61973,36868,98841,4,2040,795,32,32
