Date,State_Name,SL_No,District_Name,Sanction_Date,Reported_M_or_Y,Total_Projects_Outlay,ApprShare_Center,ApprShare_State,ApprShare_Beneficiary,Rof_Center,Rof_State,Rof_Beneficiary,Rof_Total,ExpReported_Center,ExpReported_State,ExpReported_Beneficiary,ExpReported_Total
3/15/2013,ARUNACHAL PRADESH,9,LOWER SUBANSIRI,23-11-2005,13-Feb,362.98,250.78,83.68,28.52,203.1,92.04,16.16,311.3,148.82,44.82,16.16,209.8
3/15/2013,ARUNACHAL PRADESH,10,PAPUM PARE,23-11-2005,13-Feb,150.1,102.86,37.79,9.45,95.09,69.45,0,164.54,69.77,50.85,0,120.62
3/15/2013,ARUNACHAL PRADESH,11,TAWANG,23-11-2005,13-Feb,321.84,224.27,72.34,25.23,166.54,66.64,10.47,243.65,129.27,30.41,10.47,170.15
3/15/2013,ARUNACHAL PRADESH,12,TIRAP,23-11-2005,13-Feb,403.07,280.89,95.66,26.52,207.45,74.48,17.42,299.35,176.46,52.27,17.42,246.15
3/15/2013,ARUNACHAL PRADESH,13,UPPER SIANG,23-11-2005,13-Feb,200.81,139.74,47.07,14,115.82,53.12,7.84,176.78,92.79,22.66,7.84,123.28
3/15/2013,ARUNACHAL PRADESH,14,UPPER SUBANSIRI,29-01-2002,13-Feb,467.27,323.21,108.07,35.99,273.95,69.85,19.07,362.87,166.27,66.3,16.08,248.65
3/15/2013,ARUNACHAL PRADESH,15,WEST KAMENG,23-11-2005,13-Feb,387.3,269.67,91.67,25.96,235.19,89.89,12.14,337.22,174.11,48.82,12.14,235.07
3/15/2013,ARUNACHAL PRADESH,16,WEST SIANG,3/3/2000,13-Feb,625.32,432.02,144.22,49.08,222.54,116.73,12.82,352.09,229.3,75.87,12.7,317.88
3/15/2013,ARUNACHAL PRADESH,,Total :-,,,6700.94,4662.35,1562.98,475.61,3121.1,1223.99,170.05,4515.14,2614.94,674.55,158.26,3447.75
3/15/2013,ASSAM,1,BAGSHA,15-01-2008,13-Feb,3930.13,2769.19,865.85,295.09,2369.85,484,208,3061.85,2271.37,450.28,208,2929.66
