Date,State_Name,SL_No,District_Name,SancAmt_Total,SancAmt_Center_Share,ReleaseAmt_Instal_No,ReleaseAmt_Instal_Part,ReleaseAmt_Date,ReleaseAmt_General,ReleaseAmt_SC,ReleaseAmt_ST,ReleaseAmt_Total
03-10-2012,,1,ADILABAD,7845.08,5210.61,2,4,17-05-2012,680.66,301.6,134.12,1116.38
03-10-2012,,2,CHITTOOR,7680.84,5036.09,3,2,17-05-2012,350.64,151.53,10.83,513
03-10-2012,,3,EAST GODAVARI,9690.38,6324.81,4,1,17-05-2012,223.12,89.4,8.61,321.13
03-10-2012,,4,GUNTUR,12563.94,6298.09,3,2,17-05-2012,932.09,412.56,41.15,1385.8
03-10-2012,,5,KARIMNAGAR,10849.48,7165.48,3,3,17-05-2012,489.36,196.34,11.19,696.89
03-10-2012,,6,KHAMMAM,5033.95,3296.76,3,4,17-05-2012,90.8,36.96,26.51,154.27
03-10-2012,,7,KRISHNA,9115.68,5977.79,2,4,17-05-2012,829.83,381.55,21.29,1232.67
03-10-2012,,8,KURNOOL,10196.49,6720.35,3,1,17-05-2012,1080.28,393.71,17.74,1491.73
03-10-2012,,9,MAHBUBNAGAR,12463.21,8267.19,3,3,17-05-2012,906.04,330.53,62.63,1299.2
03-10-2012,,10,MEDAK,9398.96,6237.97,3,1,17-05-2012,934.51,350.59,41.81,1326.91
03-10-2012,,11,NALGONDA,4057.62,2623.6,3,3,17-05-2012,63.21,24.5,6.03,93.74
03-10-2012,,12,NELLORE,6774.39,4452.2,2,3,17-05-2012,433.97,253.66,41.2,728.83
03-10-2012,,13,NIZAMABAD,3563.44,2292.61,3,1,17-05-2012,73.66,23.4,4.74,101.8
03-10-2012,,14,PRAKASAM,11629.2,7674.58,3,1,17-05-2012,1054.77,518.72,34.04,1607.53
03-10-2012,,15,RANGAREDDI,5820.64,3846.08,3,2,17-05-2012,266.34,114.22,16.07,396.63
03-10-2012,,16,SRIKAKULAM,11000.93,7286.19,2,4,17-05-2012,782.75,119.16,34.14,936.05
03-10-2012,,17,VISAKHAPATNAM,7601.64,5006.22,2,4,17-05-2012,608.25,78.89,102.32,789.46
03-10-2012,,18,WEST GODAVARI,9050.9,5877.01,3,4,17-05-2012,572.67,244.61,13.39,830.67
03-10-2012,,18,Total,154336.77,99593.63,,,,10372.95,4021.93,627.81,15022.69
03-10-2012,,1,DIBANG VALLEY,90.02,63.88,1,4,28-08-2012,1.8,0.3,1.43,3.53
03-10-2012,,2,EAST KAMENG,440.35,306.8,1,4,28-08-2012,9.78,--,38.67,48.45
03-10-2012,,3,EAST SIANG,457.78,311.35,2,1,28-08-2012,16.72,0.14,38.89,55.75
03-10-2012,,4,LOHIT,354.99,243.65,2,1,28-08-2012,3.23,0.6,1.91,5.74
03-10-2012,,5,LOWER DIBANG VALLEY,112.32,78.68,1,4,28-08-2012,3.45,0.4,2.73,6.58
03-10-2012,,6,TAWANG,321.84,224.27,1,4,28-08-2012,8.64,0.5,27.04,36.18
03-10-2012,,7,TIRAP,403.07,280.89,1,4,28-08-2012,9.37,0.1,36.07,45.54
03-10-2012,,8,UPPER SUBANSIRI,467.27,323.21,2,1,28-08-2012,2.96,--,13.99,16.95
03-10-2012,,9,WEST KAMENG,387.3,269.67,2,2,28-08-2012,4.47,0.5,3.46,8.43
03-10-2012,,9,Total,3034.94,2102.4,,,,60.42,2.54,164.19,227.15
03-10-2012,,1,BAGSHA,3930.13,2769.19,2,2,24-08-2012,92.5,10.81,19.1,122.41
03-10-2012,,2,DIBRUGARH,3021.96,2136.12,2,2,24-08-2012,65.45,3.1,5.26,73.81
03-10-2012,,3,GOALPARA,2837.73,2002.27,2,3,24-08-2012,54.37,3.48,10.12,67.97
03-10-2012,,4,GOLAGHAT,3133.34,2179.53,3,1,24-08-2012,67.81,5.27,7.34,80.42
03-10-2012,,5,HAILAKANDI,1737.93,1215.24,2,4,24-08-2012,27.5,4.24,0.04,31.78
03-10-2012,,6,JORHAT,3071.84,2172.7,1,4,24-08-2012,353.7,44.61,57.52,455.83
03-10-2012,,7,KAMRUP,3018.34,2129.06,2,2,24-08-2012,49.33,5.39,7.23,61.95
03-10-2012,,8,KARIMGANJ,2672.51,1865.25,2,3,24-08-2012,64.68,11.9,0.18,76.76
03-10-2012,,9,KOKRAJHAR,2979.14,2075.89,2,3,24-08-2012,44.84,2.32,20.31,67.47
03-10-2012,,10,LAKHIMPUR,3024.58,2138.81,2,2,24-08-2012,28.88,4.08,9.07,42.03
03-10-2012,,11,MARIGAON,1802.88,1249.95,2,3,24-08-2012,10.51,2.28,2.02,14.81
03-10-2012,,12,NALBARI,3139.74,2195.41,1,4,24-08-2012,330.48,38.62,68.23,437.33
03-10-2012,,13,SIBSAGAR,3209.83,2259.72,2,2,24-08-2012,77.3,3.06,3.03,83.39
03-10-2012,,14,SONITPUR,4851,3387.94,2,4,24-08-2012,163.08,12.03,21.72,196.83
03-10-2012,,15,TINSUKIA,2840.31,1984.83,2,2,24-08-2012,348.35,9.97,22.97,381.29
03-10-2012,,16,UDALGURI,4038.66,2841.7,1,4,24-08-2012,436.88,51.05,90.2,578.13
03-10-2012,,16,Total,49309.92,34603.61,,,,2215.66,212.21,344.34,2772.21
03-10-2012,,1,ARARIA,4630.29,3129.75,2,2,31-05-2012,415.66,100.89,4.14,520.69
03-10-2012,,2,ARWAL,2565.43,1738.33,2,2,31-05-2012,164.61,60.57,0.1,225.28
03-10-2012,,3,AURANGABAD,7219.24,4914.68,2,2,31-05-2012,547.5,284.67,0.34,832.51
03-10-2012,,4,BANKA,4127.69,2814.26,2,1,31-05-2012,343.23,75.09,11.49,429.81
03-10-2012,,5,BEGUSARAI,7272.2,4860.75,2,2,31-05-2012,656.49,170.6,0.24,827.33
03-10-2012,,6,BHAGALPUR,7537.71,5096.06,2,4,31-05-2012,465.26,87.48,8.49,561.23
03-10-2012,,7,BHOJPUR,8121.9,5485.61,2,3,31-05-2012,568.63,167.3,1.5,737.43
03-10-2012,,8,BUXAR,4307.11,2913.81,2,2,31-05-2012,352.97,91.74,1.23,445.94
03-10-2012,,9,DARBHANGA,16395.84,11001.64,2,1,31-05-2012,1364.31,391.78,0.18,1756.27
03-10-2012,,10,GAYA,14167.89,9534.99,2,1,31-05-2012,798.03,666.22,0.61,1464.86
03-10-2012,,11,GOPALGANJ,7334.04,4959.89,2,4,31-05-2012,551.32,117.72,1.08,670.12
03-10-2012,,12,JAMUI,5779.45,3907.68,2,1,31-05-2012,472.28,161.78,18.7,652.76
03-10-2012,,13,JEHANABAD,2847.71,1938.98,2,3,31-05-2012,178.94,65.84,0.11,244.89
03-10-2012,,14,KAIMUR(BHABUA),4138.38,2800.15,2,3,31-05-2012,231,109.38,5.31,345.69
03-10-2012,,15,KATIHAR,9951.14,6644.42,2,2,31-05-2012,1071.92,150.64,44.03,1266.59
03-10-2012,,16,KHAGARIA,6200.88,4186.01,2,4,31-05-2012,390.79,103.05,0.06,493.9
03-10-2012,,17,LAKHISARAI,3873.52,2606.26,2,4,31-05-2012,216.51,65.69,1.29,283.49
03-10-2012,,18,MADHEPURA,6079.8,4102.27,2,4,31-05-2012,629.71,202.38,2.9,834.99
03-10-2012,,19,MADHUBANI,4307.83,2924.08,2,3,31-05-2012,240.31,56.56,0.06,296.93
03-10-2012,,20,MUNGER,4328.34,2930.99,2,1,31-05-2012,414.6,108.92,5.8,529.32
03-10-2012,,21,MUZAFFARPUR,12397.69,8249.19,2,2,31-05-2012,905.71,272.36,0.57,1178.64
03-10-2012,,22,NALANDA,8291.48,5641.43,2,1,31-05-2012,634.19,273.08,0.19,907.46
03-10-2012,,23,NAWADA,8281.04,5596.7,2,2,31-05-2012,522.78,284.9,0.56,808.24
03-10-2012,,24,PASHCHIM CHAMPARAN,10631.22,7171.33,2,4,31-05-2012,702.89,188.77,7.93,899.59
03-10-2012,,25,PATNA,11231.64,7578.82,3,1,31-05-2012,1108.14,419.51,0.61,1528.26
03-10-2012,,26,PURBA CHAMPARAN,14276.55,9661.14,2,2,31-05-2012,1267.87,293.85,1.07,1562.79
03-10-2012,,27,PURNIA,7906.83,5346.65,3,1,31-05-2012,863.84,190.51,26.69,1081.04
03-10-2012,,28,SAHARSA,4626.7,3124.67,2,4,31-05-2012,472.5,145.24,1.04,618.78
03-10-2012,,29,SAMASTIPUR,16274.76,10977.32,2,1,31-05-2012,1331.03,471.06,0.88,1802.97
03-10-2012,,30,SARAN,9567.69,6509.42,2,4,31-05-2012,1093.87,224.62,1.46,1319.95
03-10-2012,,31,SASARAM(ROHTAS),8409.6,5626.82,2,3,31-05-2012,500.32,190.09,4.25,694.66
03-10-2012,,32,SHEIKHPURA,2431.4,1655.25,2,4,31-05-2012,224.23,91.42,0.03,315.68
03-10-2012,,33,SHEOHAR,2628.12,1769.25,2,2,31-05-2012,175.05,44.08,0.01,219.14
03-10-2012,,34,SITAMARHI,14638.66,9882.78,2,1,31-05-2012,832.38,166.8,0.37,999.55
03-10-2012,,35,SIWAN,10940.13,7369.19,2,2,31-05-2012,830.87,163,2.77,996.64
03-10-2012,,36,SUPAUL,7611.1,5138.02,2,2,31-05-2012,597.69,162.71,1.33,761.73
03-10-2012,,37,VAISHALI,7275.82,4841.58,2,4,31-05-2012,494.52,204.45,0.44,699.41
03-10-2012,,37,Total,288606.82,194630.17,,,,22631.95,7024.75,157.86,29814.56
03-10-2012,,1,AHMEDABAD,2767.54,1325.24,3,2,24-08-2012,77.91,14.08,0.68,92.67
03-10-2012,,2,AMRELI,2491.08,1399.65,3,2,24-08-2012,129.13,18.31,0.12,147.56
03-10-2012,,3,ANAND,2680.53,1249.35,3,1,24-08-2012,108.55,9.11,0.62,118.28
03-10-2012,,4,BANAS KANTHA,4321.31,2796.79,3,2,24-08-2012,140.87,26.5,8.61,175.98
03-10-2012,,5,BHARUCH,2688.39,1655.71,3,1,24-08-2012,142.09,11.13,43.46,196.68
03-10-2012,,6,BHAVNAGAR,1017.5,668.26,3,2,24-08-2012,21.93,1.9,0.02,23.85
03-10-2012,,7,DAHOD,3755.19,2424.65,3,2,24-08-2012,95.49,4.2,73.8,173.49
03-10-2012,,8,DANGS,807.73,528.9,3,1,24-08-2012,17.21,0.25,18.86,36.32
03-10-2012,,9,JAMNAGAR,2182.87,1459.78,3,2,24-08-2012,112.15,14.38,0.41,126.94
03-10-2012,,10,JUNAGADH,2207.5,1511.29,2,3,24-08-2012,117.29,21.37,0.61,139.27
03-10-2012,,11,KACHCHH,1929.39,1254.55,3,2,24-08-2012,153.51,32.91,10.46,196.88
03-10-2012,,12,KHEDA,4524.98,2938.23,3,2,24-08-2012,385.24,30.74,3.57,419.55
03-10-2012,,13,MAHESANA,2434.98,1611.23,3,1,24-08-2012,212.21,27.48,0.41,240.1
03-10-2012,,14,NARMADA,1990.23,1321.12,3,1,24-08-2012,57.57,2.33,51.64,111.54
03-10-2012,,15,NAVSARI,2111.87,1378.84,3,2,24-08-2012,57.38,2.89,29.92,90.19
