Date,State_Name,SL_No,District_Name,SancAmt_Total,SancAmt_Center_Share,ReleaseAmt_Instal_No,ReleaseAmt_Instal_Part,ReleaseAmt_Date,ReleaseAmt_General,ReleaseAmt_SC,ReleaseAmt_ST,ReleaseAmt_Total
2/18/2013,MAHARASHTRA,32,YAVATMAL,7505.57,4912.82,2,3,27-08-2012,380.15,72.4,62.98,515.53
2/18/2013,MAHARASHTRA,32,Total,145056.94,95179.86,,,,9053,1809.89,1009.94,11872.83
2/18/2013,MANIPUR,1,BISHNUPUR,669.2,467.84,2,2,28-08-2012,30.89,0.49,0.86,32.24
2/18/2013,MANIPUR,2,IMPHAL EAST,1008.5,700.15,2,1,28-08-2012,137.32,3.99,4.49,145.8
2/18/2013,MANIPUR,3,SENAPATI,2509.77,1766.2,1,2,28-08-2012,126.51,0.72,268.13,395.36
2/18/2013,MANIPUR,4,TAMENGLONG,883.84,617.51,1,4,28-08-2012,23.19,--,108.98,132.17
2/18/2013,MANIPUR,5,THOUBAL,1351.23,954.19,2,1,28-08-2012,202.32,2.23,2.51,207.06
2/18/2013,MANIPUR,5,Total,6422.54,4505.89,,,,520.23,7.43,384.97,912.63
2/18/2013,MEGHALAYA,1,EAST GARO HILLS,1899.42,1355.15,2,1,28-08-2012,6.85,0.01,38.81,45.67
2/18/2013,MEGHALAYA,2,EAST KHASI HILLS,2784.15,1957.65,2,2,28-08-2012,11.59,0.15,43.47,55.21
2/18/2013,MEGHALAYA,3,JAINTIA HILLS,1625.05,1141.78,1,3,28-08-2012,35.1,0.41,177.55,213.06
2/18/2013,MEGHALAYA,4,RI BHOI,1553.53,1074.04,2,4,28-08-2012,4.88,0.04,15.11,20.03
2/18/2013,MEGHALAYA,5,SOUTH GARO HILLS,1237.23,858.26,1,3,28-08-2012,23.56,0.12,123.51,147.19
2/18/2013,MEGHALAYA,6,WEST GARO HILLS,2772.29,1669.52,2,1,28-08-2012,8.05,0.36,16.89,25.3
2/18/2013,MEGHALAYA,7,WEST KHASI HILLS,2137.32,1506.47,1,3,28-08-2012,42.79,0.02,242.73,285.54
2/18/2013,MEGHALAYA,7,Total,14008.99,9562.87,,,,132.82,1.11,658.07,792
2/18/2013,NAGALAND,1,DIMAPUR,1254.41,884.82,1,4,27-08-2012,57.6,--,103.21,160.81
2/18/2013,NAGALAND,2,KOHIMA,713.9,511.98,2,2,27-08-2012,1.66,--,7.61,9.27
2/18/2013,NAGALAND,3,MOKOKCHUNG,516.6,362.24,2,2,27-08-2012,5.93,--,28.57,34.5
2/18/2013,NAGALAND,4,PEREN,395.83,278.51,1,4,27-08-2012,1.66,--,7.62,9.28
2/18/2013,NAGALAND,5,PHEK,732,511.32,1,4,27-08-2012,2.11,--,11.65,13.76
2/18/2013,NAGALAND,6,TUENSANG,578.09,403.52,1,3,27-08-2012,11.54,--,61.5,73.04
2/18/2013,NAGALAND,7,ZUNHEBOTO,1052.73,740.54,2,1,27-08-2012,15,--,80.71,95.71
2/18/2013,NAGALAND,7,Total,5243.56,3692.93,,,,95.5,--,300.87,396.37
2/18/2013,RAJASTHAN,1,ALWAR,2926.71,1977.54,2,4,26-09-2012,273.49,101.52,19.55,394.56
2/18/2013,RAJASTHAN,2,BANSWARA,7953.45,5351.42,1,4,26-09-2012,472.93,52.58,394.33,919.84
2/18/2013,RAJASTHAN,,,,,2,1,26-11-2012,4.55,--,--,4.55
2/18/2013,RAJASTHAN,3,BARMER,5374.94,3609.71,3,1,26-11-2012,522.77,156.32,24.82,703.91
2/18/2013,RAJASTHAN,4,BHILWARA,5066.56,3380.14,3,1,26-09-2012,425.26,137.55,34.5,597.31
2/18/2013,RAJASTHAN,5,BIKANER,2829.04,1882.61,3,2,26-11-2012,95.78,50.09,0.14,146.01
2/18/2013,RAJASTHAN,6,BUNDI,2179.99,1474.56,2,2,26-09-2012,102.68,42.84,22.13,167.65
2/18/2013,RAJASTHAN,7,CHURU,1919.85,1298.81,3,1,26-09-2012,144.21,74.73,0.54,219.48
2/18/2013,RAJASTHAN,8,DAUSA,2615.75,1778.84,2,2,26-09-2012,125.64,71.5,38.06,235.2
2/18/2013,RAJASTHAN,9,DUNGARPUR,5544.01,3702.03,2,4,26-09-2012,197.03,18.75,132.05,347.83
2/18/2013,RAJASTHAN,10,HANUMANGARH,1618.48,1100.11,2,3,26-09-2012,94.24,62.81,0.33,157.38
2/18/2013,RAJASTHAN,11,JAISALMER,1833.55,1267.2,3,1,26-09-2012,149.92,42.47,6.23,198.62
2/18/2013,RAJASTHAN,12,JODHPUR,4214.75,2889.55,2,3,26-09-2012,255.39,84.47,6.16,346.02
2/18/2013,RAJASTHAN,13,KARAULI,4108.01,2792.19,2,4,26-09-2012,162.32,103.31,43.39,309.02
2/18/2013,RAJASTHAN,14,KOTA,2359.75,1583.05,2,2,26-09-2012,105.58,53.06,15.57,174.21
2/18/2013,RAJASTHAN,15,NAGAUR,2519.29,1713.76,2,4,26-09-2012,135.43,57.38,0.26,193.07
2/18/2013,RAJASTHAN,16,PALI,2389.22,1619.13,2,3,26-09-2012,113.18,41.37,5.92,160.47
2/18/2013,RAJASTHAN,17,RAJSAMAND,2974.59,2015.74,2,4,26-09-2012,255.49,60.24,27,342.73
2/18/2013,RAJASTHAN,18,SIKAR,1862.18,1271.68,3,1,26-09-2012,86.87,24.92,2.02,113.81
2/18/2013,RAJASTHAN,19,UDAIPUR,9000.49,5994.56,3,1,26-11-2012,704.25,82.27,367.3,1153.82
2/18/2013,RAJASTHAN,19,Total,69290.61,46702.63,,,,4427.01,1318.18,1140.3,6885.49
2/18/2013,SIKKIM,1,EAST SIKKIM,768.19,501.5,2,3,28-08-2012,17.14,1.6,3.7,22.44
2/18/2013,SIKKIM,2,NORTH SIKKIM,270.69,178.95,2,3,28-08-2012,4.45,0.23,4.07,8.75
2/18/2013,SIKKIM,3,SOUTH SIKKIM,466.58,301.51,2,3,28-08-2012,32.52,2.27,0.56,35.35
2/18/2013,SIKKIM,4,WEST SIKKIM,548.36,356.6,3,1,28-08-2012,2.59,0.18,0.56,3.33
2/18/2013,SIKKIM,4,Total,2053.82,1338.56,,,,56.7,4.28,8.89,69.87
2/18/2013,TAMIL NADU,1,COIMBATORE,3517.04,2233.12,3,3,29-05-2012,122.15,52.77,1.31,176.23
2/18/2013,TAMIL NADU,2,CUDDALORE,5955.58,3893.32,3,2,29-05-2012,277.71,247.81,1.38,526.9
2/18/2013,TAMIL NADU,3,DHARMAPURI,3498.86,2279.71,3,3,29-05-2012,90.82,24.81,1.56,117.19
2/18/2013,TAMIL NADU,4,DINDIGUL,3871.65,2044.42,3,3,29-05-2012,197,85.43,0.44,282.87
2/18/2013,TAMIL NADU,5,ERODE,3097.77,1991.28,3,3,29-05-2012,15.57,5.98,0.13,21.68
2/18/2013,TAMIL NADU,6,KANCHIPURAM,4541.1,2209.82,3,4,29-05-2012,48.95,53.39,0.77,103.11
2/18/2013,TAMIL NADU,7,KANYAKUMARI(NAGERCOIL),2124.05,938.81,3,3,29-05-2012,12.05,0.83,0.04,12.92
2/18/2013,TAMIL NADU,8,KARUR,2101.46,1343.58,4,2,29-05-2012,4.1,1.96,0.01,6.07
2/18/2013,TAMIL NADU,9,KRISHNAGIRI,6151,4049.14,2,4,29-05-2012,382.85,104.6,6.58,494.03
2/18/2013,TAMIL NADU,10,MADURAI,4273.73,2793.22,3,3,29-05-2012,163.09,62.16,0.23,225.48
2/18/2013,TAMIL NADU,11,NAGAPATTINAM,3738.82,2489.81,3,3,29-05-2012,83.83,78.22,0.13,162.18
2/18/2013,TAMIL NADU,12,NAMAKKAL,2357,1516.25,3,4,29-05-2012,43.89,20.99,1.97,66.85
2/18/2013,TAMIL NADU,13,NILGIRIS(UDHAGAMANDALAM),1423.43,875.08,2,2,29-05-2012,65.56,44.27,4.02,113.85
2/18/2013,TAMIL NADU,14,PERAMBALUR,3340.23,2146.04,3,3,29-05-2012,71.67,55.33,0.47,127.47
2/18/2013,TAMIL NADU,15,PUDUKKOTTAI,4012.67,2638.5,3,4,29-05-2012,133.43,45.79,0.04,179.26
2/18/2013,TAMIL NADU,16,RAMANATHAPURAM,2262.6,1183.45,3,4,29-05-2012,10.56,4.4,--,14.96
2/18/2013,TAMIL NADU,17,SALEM,5827.49,3808.23,4,1,29-05-2012,197.91,68.41,9.27,275.59
2/18/2013,TAMIL NADU,18,SIVAGANGA,3170.89,1964.33,3,3,29-05-2012,117.09,43.03,0.04,160.16
2/18/2013,TAMIL NADU,19,THANJAVUR,7560.24,4017.84,3,2,29-05-2012,412.59,25.05,0.09,437.73
2/18/2013,TAMIL NADU,20,THENI,2213.13,1095.61,3,3,29-05-2012,52.02,25.05,0.09,77.16
2/18/2013,TAMIL NADU,21,THOOTHUKUDI,2592.94,1207.55,3,4,29-05-2012,47.64,23.94,0.05,71.63
2/18/2013,TAMIL NADU,22,TIRUCHIRAPPALLI,2020.75,939.24,3,3,29-05-2012,12.07,4.88,0.11,17.06
2/18/2013,TAMIL NADU,23,TIRUNELVELI,2623.83,1716.56,3,4,29-05-2012,46.46,19.14,0.08,65.68
2/18/2013,TAMIL NADU,24,TIRUVALLUR,6505.18,4249.62,3,2,29-05-2012,354.78,292.99,8.37,656.14
2/18/2013,TAMIL NADU,25,TIRUVANNAMALAI,5575.39,2703.4,3,3,29-05-2012,139,68.68,4.56,212.24
2/18/2013,TAMIL NADU,26,TIRUVARUR,2038.24,1333.31,3,3,29-05-2012,21.37,22.63,0.03,44.03
2/18/2013,TAMIL NADU,27,VELLORE,4395.49,2813.71,3,4,29-05-2012,136.62,67.6,3.08,207.3
2/18/2013,TAMIL NADU,28,VILLUPURAM,9153.83,6053.89,3,3,29-05-2012,574.38,406.54,13.41,994.33
2/18/2013,TAMIL NADU,29,VIRUDHUNAGAR,4422.62,2837.17,3,2,29-05-2012,255.13,133.75,0.21,389.09
2/18/2013,TAMIL NADU,29,Total,114367.01,69366.01,,,,4090.29,2090.43,58.47,6239.19
2/18/2013,TRIPURA,1,DHALAI,1443.04,956.68,2,4,28-08-2012,7.56,4.62,11.74,23.92
2/18/2013,TRIPURA,2,NORTH TRIPURA,1902.5,1190.38,2,4,28-08-2012,45.3,12.92,18.75,76.97
2/18/2013,TRIPURA,3,SOUTH TRIPURA,3314.95,1892.4,2,4,28-08-2012,2.71,1.17,2.08,5.96
2/18/2013,TRIPURA,4,WEST TRIPURA,3178.03,2080.78,3,1,28-08-2012,8.66,4.17,5.06,17.89
2/18/2013,TRIPURA,4,Total,9838.52,6120.24,,,,64.23,22.88,37.63,124.74
