Date,State_Name,SL_No,District_Name,HH_PER-BASE_TOTAL,HH_PER-BASE_SC,HH_PER-BASE_ST,BPL_WT,BPL_WOT,APL_WT,APL_WOT,APL+BPL_WT,APL+BPL_WOT,SCH_WT,SCH_WOT,ANGAN_WT,ANGAN_WOT,SAN_WT,SAN_WOT
3/15/2013,TAMIL NADU,2,CUDDALORE,328393,115536,3083,144984,91351,39552,52506,184536,143857,1919,7,960,4,215,2
3/15/2013,TAMIL NADU,3,DHARMAPURI,246382,43875,9266,9981,150760,25438,60203,35419,210963,43,2064,1,590,0,0
3/15/2013,TAMIL NADU,4,DINDIGUL,364300,32790,6459,30944,63183,62882,207291,93826,270474,51,955,64,962,6,19
3/15/2013,TAMIL NADU,5,ERODE,418456,55823,3162,122472,72109,113442,110433,235914,182542,691,838,322,548,62,3
3/15/2013,TAMIL NADU,6,KANCHIPURAM,351630,103164,3706,80685,92590,130221,48134,210906,140724,233,1159,156,889,6,1
3/15/2013,TAMIL NADU,7,KANYAKUMARI(NAGERCOIL),157339,3828,991,54242,43565,52546,6986,106788,50551,167,362,667,340,0,0
3/15/2013,TAMIL NADU,8,KARUR,190023,22226,0,77627,45854,43678,22864,121305,68718,419,177,284,105,78,19
3/15/2013,TAMIL NADU,9,KRISHNAGIRI,354046,41290,3364,37857,204585,38684,72920,76541,277505,700,2132,441,431,31,15
3/15/2013,TAMIL NADU,10,MADURAI,346204,75980,466,14940,138106,84048,109110,98988,247216,140,918,107,698,62,0
3/15/2013,TAMIL NADU,11,NAGAPATTINAM,324861,109815,426,79718,55156,116336,73651,196054,128807,441,657,265,309,434,5
3/15/2013,TAMIL NADU,12,NAMAKKAL,296413,64867,17018,20251,108048,97478,70636,117729,178684,480,345,413,246,309,50
3/15/2013,TAMIL NADU,13,NILGIRIS(UDHAGAMANDALAM),93227,19877,3970,2662,39137,5263,46165,7925,85302,309,142,14,232,0,46
3/15/2013,TAMIL NADU,14,PERAMBALUR,271373,85252,2386,3514,179051,25405,63403,28919,242454,25,751,3,618,5,38
3/15/2013,TAMIL NADU,15,PUDUKKOTTAI,261027,68737,0,94606,123196,31516,11709,126122,134905,1355,216,1230,146,498,0
3/15/2013,TAMIL NADU,16,RAMANATHAPURAM,251706,65186,16,39702,104975,30902,76127,70604,181102,11,1244,2,737,0,3
3/15/2013,TAMIL NADU,17,SALEM,420822,84743,23096,56467,217776,36742,109837,93209,327613,49,1679,33,923,1,0
3/15/2013,TAMIL NADU,18,SIVAGANGA,245067,47024,52,57078,119466,38525,29998,95603,149464,725,149,421,158,0,0
3/15/2013,TAMIL NADU,19,THANJAVUR,367816,2499,24,38254,173769,58866,96927,97120,270696,336,2,239,2,453,0
3/15/2013,TAMIL NADU,20,THENI,142295,38509,568,34902,34568,41046,31779,75948,66347,393,5,445,36,232,0
3/15/2013,TAMIL NADU,21,THOOTHUKUDI,276025,71915,537,42857,91637,30417,111114,73274,202751,354,235,4,647,422,2
3/15/2013,TAMIL NADU,22,TIRUCHIRAPPALLI,333944,75701,3150,63322,77672,69458,123492,132780,201164,625,411,430,437,51,0
3/15/2013,TAMIL NADU,23,TIRUNELVELI,309987,83603,608,90113,27037,117187,75650,207300,102687,177,391,251,592,18,0
3/15/2013,TAMIL NADU,24,TIRUVALLUR,328105,100686,8679,61731,134609,73690,58075,135421,192684,260,889,244,947,539,1
