Date,State_Name,SL_No,District_Name,Date_of_Sanction,Project_Cost_Lakhs,ApprShare_Central,ApprShare_State,ApprShare_Beneficiary,CompSanc_IHHL_BPL,CompSanc_IHHL_APL,CompSanc_IHHL_TOTAL,CompSanc_IHHL_SCW,CompSanc_School_Toilets,CompSanc_Anganwadi_Toilets,CompSanc_RSM_PC
3/15/2013,ARUNACHAL PRADESH,20,NAGALAND,11,7957.58,5607.04,1759.75,590.79,180092,31254,211346,275,2972,1302,29
3/15/2013,ARUNACHAL PRADESH,21,ORISSA,30,156204.83,104509.1,37841.95,13853.78,4485050,2571598,7056648,818,70663,25160,289
3/15/2013,ARUNACHAL PRADESH,22,PUDUCHERRY,1,572.56,481.72,0,90.84,18000,0,18000,0,26,16,3
3/15/2013,ARUNACHAL PRADESH,23,PUNJAB,20,24134.47,15139.89,6532.4,2462.18,623198,544370,1167568,411,7464,3274,81
3/15/2013,ARUNACHAL PRADESH,24,RAJASTHAN,32,102243.17,69096.73,25759.93,7386.51,1960903,5023430,6984333,1544,85662,32269,317
3/15/2013,ARUNACHAL PRADESH,25,SIKKIM,4,2053.82,1338.56,440.74,274.52,51302,35712,87014,789,1604,340,12
3/15/2013,ARUNACHAL PRADESH,26,TAMIL NADU,29,114367.01,69366.01,28683.56,16317.44,4422133,4244955,8667088,1438,53678,27970,249
3/15/2013,ARUNACHAL PRADESH,27,TRIPURA,4,9838.52,6120.24,2400.5,1317.78,454757,169017,623774,226,6833,6024,35
3/15/2013,ARUNACHAL PRADESH,28,UTTAR PRADESH,71,294726,192171.8,71925.16,30629.04,8303794,12372693,20676487,2366,269860,107302,428
3/15/2013,ARUNACHAL PRADESH,29,UTTARAKHAND,13,15091.07,9993.12,3641.26,1456.69,441631,444670,886301,470,3925,1601,81
3/15/2013,ARUNACHAL PRADESH,30,WEST BENGAL,19,174147.94,111799.51,43820.36,18528.07,6619158,4997498,11616656,1140,134081,84168,441
3/15/2013,ARUNACHAL PRADESH,,Total,607,2267236.73,1488892.13,554919.94,223424.66,61838922,63887805,125726727,33684,1375234,534931,4634
3/15/2013,ASSAM,1,BAGSHA,15-01-2008,3930.13,2769.19,865.85,295.09,85697,63785,149482,15,1789,69,3
